effects	r_sq	p
sample_type	0.03130309218786536	9.99000999000999e-4
miseq_run	0.026302981069939863	9.99000999000999e-4
miseq_run:ext_plate	0.06467220089348344	9.99000999000999e-4
sample_type:miseq_run:ext_plate	0.007573308969103133	0.14985014985014986
Residuals	0.8701484168796083	NA
