genus	statistic	p.value	parameter	method	WM	C	WMC	WMN	p.value.adj
Acetatifactor	21.962200699488843	6.642315731688757e-5	3	Kruskal-Wallis rank sum test	0	0.02	0	0	9.270954370786615e-4
Clostridiales Unclassified	21.367726820125352	8.82948035313011e-5	3	Kruskal-Wallis rank sum test	0	0.01	0	0	9.270954370786615e-4
Clostridium IV	22.189860652731916	5.955846976536148e-5	3	Kruskal-Wallis rank sum test	0	0.001	0	0	9.270954370786615e-4
Oscillibacter	23.89503661513426	2.62726433878091e-5	3	Kruskal-Wallis rank sum test	0	0.015	0	5e-4	9.270954370786615e-4
Peptostreptococcaceae Unclassified	20.02675445312102	1.6758906091208223e-4	3	Kruskal-Wallis rank sum test	0.031	0	0.042	0	0.0014077481116614907
Ruminococcaceae Unclassified	19.254244751664096	2.422210458487112e-4	3	Kruskal-Wallis rank sum test	0.001	0.083	0	0	0.0016955473209409784
Enterobacteriaceae Unclassified	17.44913640690876	5.712551946043346e-4	3	Kruskal-Wallis rank sum test	0.274	0.002	0.217	0.2905	0.003427531167626008
Bacteroides	16.5911062643887	8.576367708219575e-4	3	Kruskal-Wallis rank sum test	0.255	0.007	0.391	0.459	0.004123642433739703
Blautia	16.27164182107148	9.974491760916236e-4	3	Kruskal-Wallis rank sum test	0.084	0	0.08	0.128	0.004123642433739703
Clostridium XlVb	16.1033033665777	0.0010800015897889698	3	Kruskal-Wallis rank sum test	0	0.006	0	0	0.004123642433739703
Lachnospiraceae Unclassified	16.187812785321235	0.001037743826733268	3	Kruskal-Wallis rank sum test	0.003	0.615	0.002	0.0025	0.004123642433739703
Pseudoflavonifractor	15.89025947402332	0.0011942676754099677	3	Kruskal-Wallis rank sum test	0	0.005	0	0	0.004179936863934887
Firmicutes Unclassified	15.500204164965284	0.0014354477611279919	3	Kruskal-Wallis rank sum test	0	0.002	0	0	0.004637600459028897
Butyricicoccus	13.411437623250244	0.0038262885126449037	3	Kruskal-Wallis rank sum test	0	0.003	0	0	0.011478865537934712
Clostridium XlVa	13.153314355429037	0.004316516492613121	3	Kruskal-Wallis rank sum test	0	0.012	0	0	0.012086246179316737
Acetitomaculum	12.499999999999948	0.005852662593326871	3	Kruskal-Wallis rank sum test	0	0	0	5e-4	0.014459519348219329
Faecalibacterium	12.499999999999948	0.005852662593326871	3	Kruskal-Wallis rank sum test	0	0	0	5e-4	0.014459519348219329
Lactobacillus	11.762793650793647	0.00824151652653846	3	Kruskal-Wallis rank sum test	0.003	0.01	0.002	0	0.01923020522858974
Turicibacter	9.507606043997379	0.023250582409421978	3	Kruskal-Wallis rank sum test	0	0.004	0	0.0075	0.051396024273459115
Anaerostipes	9.247658079625287	0.026173073124076074	3	Kruskal-Wallis rank sum test	0	0	0	0	0.05496345356055976
Coriobacteriaceae Unclassified	9.000000000000005	0.029290886534888164	3	Kruskal-Wallis rank sum test	0	0	0	0	0.05858177306977633
Unclassified	6.6979473656998	0.08217445776509438	3	Kruskal-Wallis rank sum test	0	0.003	0	0	0.15687851027881655
Akkermansia	4.202592996486117	0.24040240530398585	3	Kruskal-Wallis rank sum test	0.003	0.131	0.238	0.1	0.4389956966420611
