day	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj
4	26.563372199439016	1.705442244848404e-6	2	Kruskal-Wallis rank sum test	19.985	63.737	48.403	NA	1.8759864693332444e-5
6	26.754905517762637	6.6266613133529e-6	3	Kruskal-Wallis rank sum test	8.172	69.922	40.3375	6.707	3.6446637223440955e-5
5	23.34465725806453	3.4224660089325494e-5	3	Kruskal-Wallis rank sum test	19.0105	68.537	39.416	16.404	1.1820207790934768e-4
3	22.870000431462216	4.298257378521734e-5	3	Kruskal-Wallis rank sum test	17.3545	45.1655	38.637	13.183	1.1820207790934768e-4
-1	20.37620967741934	1.4183810153391616e-4	3	Kruskal-Wallis rank sum test	18.692999999999998	68.997	27.6635	17.061	3.120438233746156e-4
10	15.051383399209485	5.390556748110434e-4	2	Kruskal-Wallis rank sum test	38.9045	75.929	49.379000000000005	NA	9.882687371535795e-4
-5	15.429924951138275	0.0014837799084101216	3	Kruskal-Wallis rank sum test	79.854	86.346	25.167	58.75	0.002159908284765052
0	15.308876811594203	0.001570842388920038	3	Kruskal-Wallis rank sum test	19.976	8.7045	27.3585	13.948	0.002159908284765052
30	10.661764705882355	0.004839797717939296	2	Kruskal-Wallis rank sum test	44.242000000000004	79.80250000000001	41.294	NA	0.005915308321925807
2	8.878615384615387	0.011804107766216564	2	Kruskal-Wallis rank sum test	17.9315	30.9265	38.964	NA	0.012984518542838221
1	9.577579737335839	0.022520204535584728	3	Kruskal-Wallis rank sum test	17.043	13.292	41.575500000000005	14.066	0.022520204535584728
