otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	WMN	p.value.adj
Porphyromonadaceae (OTU 44)	71.82866467228716	6.304018216310506e-13	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0215	0	0	1.6264366998081107e-10
Blautia (OTU 19)	62.31268072812876	5.2042534575164146e-11	7	Kruskal-Wallis rank sum test	0.064	0	0	0	0	0	0.07	0.101	6.713486960196175e-9
Ruminococcaceae (OTU 27)	60.86838233435296	1.0124186239349949e-10	7	Kruskal-Wallis rank sum test	0	0.009	0	0	0	0	0	0	8.706800165840957e-9
Lachnospiraceae (OTU 31)	58.62943437200868	2.8329076761829377e-10	7	Kruskal-Wallis rank sum test	0	0.004	0	0	0	0	0	0	1.8272254511379947e-8
Lachnospiraceae (OTU 24)	52.12643058903079	5.512967830386014e-9	7	Kruskal-Wallis rank sum test	0	0.007	0.0025	0	0	0	0	0	2.8446914004791836e-7
Ruminococcaceae (OTU 50)	51.498965326910515	7.328320132131613e-9	7	Kruskal-Wallis rank sum test	0	0.004	0	0	0	0	0	0	3.1511776568165937e-7
Porphyromonadaceae (OTU 21)	50.67228719064448	1.0657218242711803e-8	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.009	0	0	3.436952883274556e-7
Porphyromonadaceae (OTU 25)	50.67228719064448	1.0657218242711803e-8	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0135	0	0	3.436952883274556e-7
Enterobacteriaceae (OTU 2)	50.324739419872174	1.247214168843309e-8	7	Kruskal-Wallis rank sum test	0.3	0.002	0.001	0.122	0.1235	0.0665	0.255	0.352	3.5753472840174857e-7
Ruminococcaceae (OTU 54)	49.05193199121709	2.2164168591778026e-8	7	Kruskal-Wallis rank sum test	0	0.004	0	0	0	0	0	0	5.477527742373298e-7
Oscillibacter (OTU 57)	48.9360286711485	2.3353800451979177e-8	7	Kruskal-Wallis rank sum test	0	0.003	0	0	0	0	0	0	5.477527742373298e-7
Lachnospiraceae (OTU 33)	48.58246199648155	2.7389789600980684e-8	7	Kruskal-Wallis rank sum test	0	0.008	0	0	0	0	0	0	5.888804764210847e-7
