genus	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	1RM1	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-C	RM-WMR	RM-CWM	FRM-C	FRM-WMR	FRM-CWM	WMC-C	WMC-WMR	WMC-CWM	M1-WM	M1-C	M1-WMR	M1-CWM	M1-RM	M1-FRM	M1-WMC	1RM1-WM	1RM1-C	1RM1-WMR	1RM1-CWM	1RM1-RM	1RM1-FRM	1RM1-WMC	1RM1-M1	RM-WM	FRM-WM	FRM-RM	WMC-WM	WMC-RM	WMC-FRM
Acetatifactor	Kruskal-Wallis rank sum test	0	0.005	0.001	0	0	0	0	0.0015	0.002	8.504468555558297e-4	0.033857412972175115	0.029213756851058134	0.06519359821307538	0.00111941664431178	0.32255557163657156	4.605847287736545e-4	0.0253142080407379	0.0488658660811445	0.009325188832471635	0.11150570680445787	0.16838108653931985	0.0017263210168019666	0.05576063900420528	0.09105798765619288	0.006018305424865277	0.11150570680445787	0.5612080206507808	0.06514408279650634	0.0027659282227319145	0.033857412972175115	0.010846263670395522	0.016199130999388862	0.09072872906223281	0.40484766020158436	0.1328607270163617	0.009325188832471635	0.06585298804947515	0.029213756851058134	1	NA	NA	NA	NA	NA	NA
Akkermansia	Kruskal-Wallis rank sum test	0.0025	0.144	0.006	0.208	0.001	0.002	0.11549999999999999	0.0155	0.025	0.029768049090658326	0.6274749483707013	0.034784437530432956	0.030065064717905817	0.6036867380032366	0.034784437530432956	0.0014861978075613972	0.17133702867193965	0.0014861978075613972	0.034784437530432956	0.5889320130904394	0.034784437530432956	0.4922974772303814	0.1328001717580809	0.25622028481192205	0.2617842497331916	0.034784437530432956	0.6118308310131214	0.034784437530432956	0.034784437530432956	0.4350463051483496	0.04795204795204795	0.2617842497331916	0.040091635905756956	0.4922974772303814	0.05152150313006418	0.034784437530432956	0.4922974772303814	0.0995631848440666	0.7697299565249969	0.3449949663498329	0.9505490015219569	0.4922974772303814	0.05864370747470682	0.006465769087510094	0.05152150313006418
Anaeroplasma	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.09261465099897412	NA	0.09261465099897412	NA	0.05430514998672186	NA	0.08579855225723321	NA	NA	0.1319640840165495	NA	NA	0.09261465099897412	NA	NA	NA	0.11333147361138862	NA	NA	NA	NA	NA	NA	0.11333147361138862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteroidales Unclassified	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.02	0.015	0.7862542789636013	0.6817612462044045	0.6986315660540721	0.9476301066109178	0.6986315660540721	0.6295969444132851	0.688508544270903	NA	0.5394927367787705	0.7755215038215932	NA	0.688508544270903	0.7058174725836502	0.6295969444132851	1	0.0034403501859825267	1.852987828096301e-4	0.0048981734486748425	5.280657881754565e-4	8.134807733010967e-4	0.01774570103002385	0.005559996809632354	0.0404226570227012	0.0048981734486748425	0.0365828654480226	0.015792866196897473	0.010357999232122965	0.10501223903833332	0.07396788541189658	0.6295969444132851	0.6120577010998589	0.6986315660540721	NA	0.9642726362829659	0.5394927367787705	0.6986315660540721
Bacteroides	Kruskal-Wallis rank sum test	0.6965	0.031	0.569	0.455	0.6685000000000001	0.298	0.5595	0.20900000000000002	0.11	5.049388233240319e-4	0.07379046293073442	0.002247752247752248	0.0037636355419700847	0.12834805854332196	0.13268646530204134	0.06462755213938497	0.8784770784770783	0.30204902794956473	0.3262206330030881	0.03560076287349015	0.8642266824085004	0.006178029897262323	0.8784770784770783	0.2758860440539025	0.002247752247752248	0.8642266824085004	0.0034251462822891396	0.49001852333692386	0.40492650589694007	0.8642266824085004	0.07535321821036108	0.002247752247752248	0.8717301777649944	0.0034251462822891396	0.4589393734112764	0.40492650589694007	0.5320197044334976	0.02877122877122877	0.17634996582365003	0.34808817321008184	0.0034251462822891396	0.4380128106356669	0.1275726003700975	0.8642266824085004	0.1275726003700975
Bifidobacterium	Kruskal-Wallis rank sum test	0	0.001	0	0.003	0.011	0.017	0	0	0.003	0.011313329762675902	0.3535927430330858	0.07535252943967402	0.0028787548151785677	0.13168627270268096	0.014643808512387868	0.001870226031817248	0.001870226031817248	0.01315273500003709	0.003767073558650735	0.006892382387033813	0.009543724430639274	0.13520360343821997	0.7413121344868037	0.01741124094988455	0.1045453528079386	0.20280194535432486	0.5767063309902504	0.03551645820747248	0.003767073558650735	0.014862643060638154	0.9618274665989623	0.004874544525528859	0.2334243961034858	0.028312693774832247	0.9718437741928448	0.044601773773794436	0.016876404051081435	0.03841994750955012	0.05657758908118518	0.0013492462077229447	0.0025430504040431126	0.22450931799305493	0.1571066608791362	0.001870226031817248	0.008763257771243383
Blautia	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0.0125	0	0	0.030193753153053438	0.14301082653133496	NA	0.6388993731807153	0.0019626780869170424	0.030193753153053438	NA	NA	0.008926298599633658	NA	NA	0.06984597388126106	1.4436716684267722e-5	0.0019626780869170424	0.0019626780869170424	0.19478300233903695	NA	NA	0.0521156622650829	NA	NA	0.004770285123735719	0.19478300233903695	NA	NA	0.0521156622650829	NA	NA	0.004770285123735719	NA	0.06984597388126106	0.2313514723177979	NA	0.030193753153053438	3.705596469567018e-4	0.008718583621336198
Butyricicoccus	Kruskal-Wallis rank sum test	0	0.001	0.002	0	0	0	0	5e-4	0.001	0.009960426769255246	0.0011507317712021758	0.10600092064976095	0.577529887984263	0.00494569688950881	5.290572549224348e-4	0.00494569688950881	5.290572549224348e-4	0.5392548571738505	0.04890987458958547	0.010417638603191033	0.7077723648264789	0.044406705354547	0.00494569688950881	0.7077723648264789	0.04585959152434577	0.5349865294828133	0.044406705354547	0.054594519016931825	0.03173496834821218	0.1541834787361131	0.20485985160209222	0.016865053235519137	0.7293298010585042	0.049578475410707555	0.016865053235519137	0.009960426769255246	0.07289333664200648	0.07764478636558526	0.7293298010585042	NA	NA	NA	0.4148821518254873	0.3596618245191804	0.5997912233297503
Clostridiales Unclassified	Kruskal-Wallis rank sum test	0	0.002	0.002	0	0	0	0	0.0025	0.0075	0.062313354373627096	0.22423663088555124	0.8818921175123464	0.865253019219129	0.015661584315898452	0.07733752352286345	0.0032716584914707753	0.015661584315898452	0.3582905373492613	0.027453961664703777	0.06340319611538106	0.3582905373492613	0.027453961664703777	0.06340319611538106	0.8592234935383506	0.22423663088555124	0.8968797306791603	0.893528797756803	0.10155047817341949	0.04076321017015674	0.1002389554456818	0.22423663088555124	0.06340319611538106	0.45112358876788705	0.3582905373492613	0.027453961664703777	0.015661584315898452	0.062313354373627096	0.06340319611538106	0.5780595306831089	0.29012100394538215	0.3292373365529818	0.7266919396024157	1	0.22840381345411506	0.2642945211287053
Clostridium IV	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.28868552036122036	0.6252664147226888	0.17221679080733077	0.9585070755501323	0.17221679080733077	0.5880878824775998	0.17221679080733077	NA	0.5880878824775998	0.33806944924604815	NA	0.6252664147226888	0.17221679080733077	NA	0.5880878824775998	0.8683558129632701	0.5845519458266083	0.5880878824775998	0.8683558129632701	0.5845519458266083	0.6252664147226888	0.5880878824775998	0.8683558129632701	0.5845519458266083	0.5880878824775998	0.8683558129632701	0.5845519458266083	0.6252664147226888	0.5880878824775998	1	0.5880878824775998	0.7145095561916646	NA	0.6252664147226888	NA	NA
Clostridium XlVa	Kruskal-Wallis rank sum test	0	0.003	0	0.002	0	0	0	0.0045000000000000005	0.0035	0.05972761581286488	0.7900635924103775	0.18271996093844697	0.24536411651681278	0.4339747088069102	0.4650345104136637	0.0028672530174188703	0.20664648274896935	0.029408124131632706	0.029408124131632706	0.2916517996136165	0.1080099315343891	0.029408124131632706	0.5103791496993828	0.12017242264663974	0.11704024365091602	0.8980917452802457	0.21205699482814772	0.7900635924103775	0.01742719896908546	0.05972761581286488	0.05972761581286488	0.18271996093844697	0.7900635924103775	0.4329327944894565	0.796741627663287	0.01742719896908546	0.05972761581286488	0.10393688466564413	0.7900635924103775	0.2916517996136165	0.360547749066698	0.7517502823473267	0.6690862768112843	0.796741627663287	0.677686187398549
Clostridium XlVb	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.001	0.05941969405684498	0.4636507832326701	0.2070358466674318	0.4636507832326701	0.09422607829743955	1	0.058750917775739306	0.45430967307685943	0.45430967307685943	0.15287782746483947	0.6442202028356577	0.6334278607292307	0.15287782746483947	1	1	0.1859149007674321	0.6614731880629003	0.5759589792898389	0.45430967307685943	0.15287782746483947	0.45430967307685943	0.4636507832326701	0.058750917775739306	0.7278843694446899	0.1629383935261487	0.09422607829743955	0.058750917775739306	0.15287782746483947	0.15287782746483947	0.6459459329450646	NA	NA	NA	0.4636507832326701	0.45430967307685943	0.6442202028356577
Enterobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0.056499999999999995	0.002	0	0.136	0.2545	0.183	0.27549999999999997	0	5e-4	3.2440414153442397e-4	0.001395671327486997	0.22915881231194923	0.061711985335558946	6.167062152611901e-5	7.581581390098236e-4	6.167062152611901e-5	9.934561107016317e-4	0.01738868352629234	0.0019785039772065287	0.0058152787206745445	0.20359855542760347	4.231063054592467e-4	0.002006175948060154	0.04504364468483461	0.002616375840263522	0.07273457656672747	0.3724742840386987	0.001395671327486997	0.002006175948060154	0.00921854598962278	0.0038340269020117968	0.0028189175366386617	0.3691507503864186	0.8857007130200365	0.0019397567524812012	0.0020711418269976334	0.01212190971003755	0.004375649053857176	0.25728085386362964	4.231063054592467e-4	0.013147769466246078	0.8386124190848898	9.402362343538815e-4	0.8749348484333004	0.6631793574668515
Erysipelotrichaceae Unclassified	Kruskal-Wallis rank sum test	0.001	0	0.0025	0	0	0	0	0	0.001	0.256587963201485	0.21538119238119358	0.012247156528648575	0.5820748485508453	0.5119571553855223	0.03717222365763678	0.8418249458053407	0.02084388593452781	0.48885092088451204	0.6568944248601738	0.26091969242168794	0.9314944732069866	0.21538119238119358	0.012247156528648575	0.11879505618820686	0.21538119238119358	0.5608318151773015	0.02084388593452781	0.2779812787596943	0.7338734829647998	0.5119571553855223	0.48885092088451204	0.8898528809884597	0.21538119238119358	0.256587963201485	0.5162443962045472	0.21538119238119358	0.6568944248601738	0.02084388593452781	0.1300377785828781	0.256587963201485	0.8418249458053407	0.5853081975073987	0.06556335661255307	0.2763355863807643	0.21538119238119358
Firmicutes Unclassified	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0	0	0	0	0.03586103312233179	0.6116323486764266	0.03586103312233179	0.47616503892134915	0.0032408957479173163	NA	0.01219314850229304	NA	NA	0.09165180211948537	NA	NA	0.06343309451228209	0.6116323486764266	0.4421740997801524	0.6229236672047269	0.06343309451228209	NA	NA	NA	NA	0.6116323486764266	0.7649218863152439	0.3268489124391294	0.5465242502750256	0.3268489124391294	0.4605560785300551	0.6116323486764266	0.8655295444825546	0.6116323486764266	0.5465242502750256	0.6461651638602879	NA	0.9350522533653003	0.5231444720278987	0.6229236672047269
Lachnospiraceae Unclassified	Kruskal-Wallis rank sum test	0.0195	0.165	0.1495	0.049	0.0165	0.002	0.002	0.1265	0.08	0.0012658856180593058	0.0022917593225049264	0.7883208937223174	0.08091586789974213	0.016925665250572715	0.04806482645173021	0.0010584962956194186	0.002216645734342519	0.07484980624185551	0.019103908103504777	0.04887746568922829	0.24304013562703589	0.00109186939306185	0.004152988707545312	0.0022917593225049264	0.0521391255511522	0.1607119876968138	0.44355644355644364	0.6279644921522317	0.06630794752402033	0.0894783350168472	0.012963943536942638	0.016925665250572715	0.09256966096285567	0.1607119876968138	0.6340899835836878	0.019466999464645068	0.23528754728594026	0.009446587206768707	0.6623376623376624	0.7883208937223174	0.7883208937223174	0.6521837094224071	0.02639161358052068	0.0022917593225049264	0.822814877942077
Lactobacillus	Kruskal-Wallis rank sum test	0.014	0.025	0.0155	0.026	0.006	0.017	0.002	0.0125	0.028499999999999998	0.04898691197178613	0.4471652399764376	0.4471652399764376	0.18118842014466033	0.9273293130105899	0.39864134024919684	0.14882449959512895	0.30121178799620646	0.12852182010859356	0.30121178799620646	0.93542654799916225	0.6059603965157819	0.006327210292903275	0.03840349159473491	0.020551532082753326	0.4471652399764376	0.03302136246522067	0.4071517823627582	0.13719279830616884	1	0.4471652399764376	0.30121178799620646	0.04836292003706045	0.4471652399764376	0.30121178799620646	0.9424772357563171	0.2516283638536292	0.26585179526355995	0.020551532082753326	0.020551532082753326	0.6393047378687539	0.9313332222446719	0.4071517823627582	0.03840349159473491	0.2516283638536292	0.09655907564715216
Oscillibacter	Kruskal-Wallis rank sum test	0	0.006	0.002	0	0	0	0	0.0015	0.005	3.507957766952922e-4	0.09042116435852016	0.22622840931849691	0.9441493716004095	2.2206641377189877e-5	0.04775083064266445	1.0200354923924734e-4	0.02771152865936884	0.35951949465357996	0.007054165775442649	0.14900955250946546	0.5998369893269231	0.0011510660213945622	0.14830366673965076	1	0.04079757362454984	0.03744264817925224	0.8617455464769751	0.025724505430661442	0.010985756761342539	0.08662625779256451	0.0718513088547519	0.013106566629310396	0.5754400887986753	0.6730560400788099	0.004002251420428567	0.0032978146984668126	0.04079757362454984	0.025724505430661442	0.3421466631859545	0.42444560857158053	0.666875585778887	NA	0.9625537902289855	0.36620113041952906	0.6361422065618563
Peptostreptococcaceae Unclassified	Kruskal-Wallis rank sum test	0.0035	0	0	0.009	0.023	0.033	0	0	0	1.8426626961089908e-4	0.020522378571166195	0.5359562646194419	0.31060352534999486	2.6259404834055335e-4	0.010784130374242942	3.891136411836692e-5	0.002172422666884747	0.01750050659909599	5.980499052236495e-4	0.005309691848927761	0.010784130374242942	0.6850837407401295	0.8358403042873054	0.005309691848927761	0.003096122460879937	0.3695414740958452	0.3049918653506536	0.005309691848927761	0.0027337728758012984	0.006808352849699719	0.3049918653506536	0.003096122460879937	0.3695414740958452	0.3049918653506536	0.005309691848927761	0.0027337728758012984	0.006808352849699719	0.3049918653506536	NA	0.0044262865792672025	0.005309691848927761	0.36802530359390484	0.002315584092713178	0.0018881910300069514	0.005309691848927761
Porphyromonadaceae Unclassified	Kruskal-Wallis rank sum test	0.0035	0.273	0.095	0	0	0.10099999999999999	0.0035	0.558	0.6665	0.007097032884326337	0.759390015719196	0.03175942872922173	0.01994664118252258	2.4447418012418453e-5	0.03175942872922173	0.002229569043730859	0.1728668490826907	0.6241180883788374	0.8548449298576651	0.3235273254818507	0.0033495950353217567	0.003960585470598986	0.6919091829612496	0.005001134403583433	0.003960585470598986	0.0032263993186452187	0.005001134403583433	0.0011346429239336153	0.0032263993186452187	0.07192807192807193	0.005001134403583433	0.003960585470598986	0.0032263993186452187	0.005001134403583433	0.0011346429239336153	0.0032263993186452187	0.04363636363636363	0.005001134403583433	0.359447004608295	0.12541688928896227	0.12541688928896227	0.02094380820738889	0.964380554915952	0.024232273182557662	0.012535031858015586
Pseudoflavonifractor	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0	0.10923830994833889	0.28049432424334386	0.28049432424334386	0.28049432424334386	0.25541800355055566	1	0.10804971166728963	0.28049432424334386	0.28049432424334386	0.25541800355055566	0.4189581809968036	0.40128219949381855	0.1525162385144603	0.31865917195108745	0.31865917195108745	0.3872812370633255	0.31865917195108745	0.9602886618514429	0.9063480736752183	0.3438540857803578	0.5815110230651771	0.4258928477402945	0.28049432424334386	0.5320280309490145	0.7599380078468018	0.7114146837468086	0.25541800355055566	0.37165643589065717	0.28049432424334386	0.7114146837468086	NA	NA	NA	NA	NA	NA
Ruminococcaceae Unclassified	Kruskal-Wallis rank sum test	0	0.024	0.011	0.003	0	0	0	0.006999999999999999	0.003	2.3081975318386166e-4	0.002520975988687594	0.05500327413653583	0.025247180597225492	3.0879970579725154e-4	0.045681526163698485	7.415038736568964e-5	3.0879970579725154e-4	0.0019735324918306227	0.002520975988687594	0.007749852107854399	0.025213103997429324	3.6827260161751747e-4	0.002520975988687594	0.012259540743489327	0.003175289553286543	0.022001246905923862	0.5425918820674657	0.20328995901359126	4.31391319174824e-4	0.011763248788841569	0.003175289553286543	0.0249892587284288	0.0045367232021217944	0.1190647577243455	1	0.0020388936269342024	0.025247180597225492	0.012690362469254311	0.3212279118680465	0.030591003695140413	0.166344952110373	NA	0.2476761422243868	0.2953234922738138	0.5425918820674657
Turicibacter	Kruskal-Wallis rank sum test	0.008	0.012	0.024	0.038	0.012	0.007	0	0.026000000000000002	0.016	0.7385111304499055	0.40233008008628224	0.6230418171267726	0.09169140133216015	0.0921787618178261	0.19368722169573538	0.7520946153235202	0.7934936596923008	0.10841351546253006	0.6230418171267726	0.0921787618178261	0.062231024191892685	0.029951365935266875	0.008183475891111682	0.008183475891111682	0.34777331952121754	0.4514398532273202	0.7520946153235202	0.7001305601391922	0.5279582858681106	0.19645070670105752	0.014310855371207156	0.8756531886431761	0.9744923766574443	0.736406450692165	0.2788369531084802	0.7199179937128906	0.7520946153235202	0.09169140133216015	0.616600790513834	0.5199844882599538	0.9744923766574443	0.19645070670105752	0.0921787618178261	0.008183475891111682	0.019279167096735446
Unclassified	Kruskal-Wallis rank sum test	0	0.004	0	0	0	0	0	0	0	0.005061083224996555	NA	0.009070567591923406	0.4060178481790808	0.0027067724303796305	0.417007771211389	0.0027067724303796305	NA	0.40011755306398705	0.04658564794661509	NA	0.5193184944502331	0.009070567591923406	NA	0.417007771211389	0.40011755306398705	0.049735678702248265	0.4060178481790808	0.9047580418270481	0.3897012972177389	0.5193184944502331	0.4060178481790808	0.2115799207386938	0.3261572025280711	0.2650182554509559	0.4060178481790808	0.1578945255009149	0.40011755306398705	0.2650182554509559	0.5481728271401596	NA	NA	NA	NA	NA	NA
