otu	statistic	p.value	parameter	method	WM	WMR	CWM	RM	FRM	WMC	M1	1RM1	p.value.adj
Porphyromonadaceae (OTU 44)	65.33483741034667	1.2879335401117737e-11	7	Kruskal-Wallis rank sum test	0	0	0	0	0.007	0	0.006500000000000001	0.011	4.1342666637587935e-9
Porphyromonadaceae (OTU 48)	59.69399611885733	1.7375347538464913e-10	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.010499999999999999	0.0125	2.7887432799236187e-8
Porphyromonadaceae (OTU 8)	54.94383183683834	1.5296035733022059e-9	7	Kruskal-Wallis rank sum test	0	0	0	0	0.023	5e-4	0.044	0.0495	1.2275068675750203e-7
Porphyromonadaceae (OTU 25)	55.04999995228371	1.4572812815277423e-9	7	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0	0.012	0.0215	1.2275068675750203e-7
Enterobacteriaceae (OTU 2)	53.77819587337024	2.6018425613459205e-9	7	Kruskal-Wallis rank sum test	0.056499999999999995	0	0.136	0.2545	0.183	0.275	0	5e-4	1.670382924384081e-7
Lachnospiraceae (OTU 30)	52.606091623556516	4.4339205536602805e-9	7	Kruskal-Wallis rank sum test	0	0.006	0	0	0	0	5e-4	0.002	2.37214749620825e-7
Peptostreptococcaceae (OTU 12)	51.1669302248086	8.518437208333121e-9	7	Kruskal-Wallis rank sum test	0.0035	0	0.009	0.023	0.033	0	0	0	3.906311919821331e-7
Bifidobacterium (OTU 28)	49.63755741721005	1.7015300917308743e-8	7	Kruskal-Wallis rank sum test	0	0	0.003	0.011	0.017	0	0	0.003	6.827389493070133e-7
Porphyromonadaceae (OTU 10)	49.14373476878908	2.1264873982706874e-8	7	Kruskal-Wallis rank sum test	0	0	0	0	0.004	0	0.084	0.077	7.437628822391568e-7
Porphyromonadaceae (OTU 14)	48.9535292023175	2.3170183247325756e-8	7	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.007	0	0.055499999999999994	0.0495	7.437628822391568e-7
Bacteroidales (OTU 38)	47.93724743704585	3.6626084824842835e-8	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.0195	0.015	1.0688157480704136e-6
Butyricicoccus (OTU 56)	46.46816104632624	7.086962256513092e-8	7	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0	5e-4	0.001	1.8957624036172522e-6
Porphyromonadaceae (OTU 6)	45.56674969419561	1.0613787474894811e-7	7	Kruskal-Wallis rank sum test	0	0	0	0	0.018	0.0015	0.1965	0.2285	2.5249094313928655e-6
Porphyromonadaceae (OTU 87)	45.484437904716636	1.101206605591904e-7	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0.0025	2.5249094313928655e-6
Lachnospiraceae (OTU 32)	45.260929526294724	1.2170105945370977e-7	7	Kruskal-Wallis rank sum test	0	0.004	0	0	0	0	0.003	0.0015	2.604402672309389e-6
Porphyromonadaceae (OTU 15)	42.15354064468431	4.857688657237962e-7	7	Kruskal-Wallis rank sum test	0	0	0	0	0.01	0	0.0635	0	9.745737868583661e-6
Blautia (OTU 19)	40.960785604209136	8.237503438146419e-7	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0125	0	0	1.5554344727323534e-5
Lachnospiraceae (OTU 49)	40.761103404093504	8.997349555435063e-7	7	Kruskal-Wallis rank sum test	0	0.0025	0	0	0	0	0	0	1.6045273373859194e-5
Porphyromonadaceae (OTU 122)	40.60517418309471	9.63875856358645e-7	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.006500000000000001	0	1.628442894163816e-5
Lachnospiraceae (OTU 128)	39.95440705128208	1.284335934520054e-6	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	2.0613591749046865e-5
