day	statistic	p.value	parameter	method	WM	C	WMC	WMR	p.value.adj
6	15.003663003662993	5.520723221776922e-4	2	Kruskal-Wallis rank sum test	1.645371	3.46404	1.806647	NA	0.0011041446443553844
30	4.036363636363632	0.13289687623299315	2	Kruskal-Wallis rank sum test	3.285212	3.563889	NA	3.428078	0.13289687623299315
