genus	method	C	CWM	RM	FRM	CWM-C	RM-C	RM-CWM	FRM-C	FRM-CWM	FRM-RM
Akkermansia	Kruskal-Wallis rank sum test	0.171	0.05650000000000001	0.325	0.429	0.2002392206712403	0.2002392206712403	0.021614587085536856	0.19589613732576325	0.10923716646902851	0.9592760180995477
Butyricicoccus	Kruskal-Wallis rank sum test	0.0015	0	0.001	0	0.0012102445010085622	0.6593288341747734	8.515137107339681e-4	0.5604530003825258	0.03811070608578763	0.5718840683323171
Clostridiales Unclassified	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.02189759968577379	0.4784139858944045	0.06051525592175204	0.13100073134017132	NA	0.22188422316294193
Clostridium XlVb	Kruskal-Wallis rank sum test	0.0015	0	0	0.003	0.07914419309817282	0.15708569006910006	0.3861298032199577	0.3861298032199577	0.019158732967495335	0.02563067895751015
Enterobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0.044	0.2635	0.0465	0.112	8.229420330645261e-4	0.5824144895352327	2.4229371382420247e-4	0.5824144895352327	0.014460166147587038	0.1226567550096962
Lachnospiraceae Unclassified	Kruskal-Wallis rank sum test	0.153	0.014499999999999999	0.0625	0.237	0.019213485742836496	0.12732914663890885	0.030761497202069405	0.35789690141854974	0.015391548979795906	0.030540972612855904
Lactobacillus	Kruskal-Wallis rank sum test	0.063	0.0295	0.0275	0.096	0.003820689051608188	0.003820689051608188	1	1	0.05573895958491985	0.05573895958491985
Oscillibacter	Kruskal-Wallis rank sum test	0.001	0	0	0	0.008270312338985546	0.0835871630757043	0.19959091999197331	0.556939857158131	0.057166059128681446	0.38514029934269395
Peptostreptococcaceae Unclassified	Kruskal-Wallis rank sum test	0.0025	0.028499999999999998	0.001	0.001	0.027376176595173895	0.21716152582633289	0.027376176595173895	0.18104504347488243	0.027376176595173895	0.7442938151660694
Porphyromonadaceae Unclassified	Kruskal-Wallis rank sum test	0.0825	0	0	0.047	0.0016387113818424333	0.2569748901533517	0.6495374341044475	0.3480624342536976	0.04788130627824931	0.3480624342536976
Ruminococcaceae Unclassified	Kruskal-Wallis rank sum test	0.013000000000000001	0	0.006	0.012	0.0011374105585070684	0.031024780814413074	0.0011374105585070684	0.7588360122293011	0.008897380222702294	0.14889162019731364
Turicibacter	Kruskal-Wallis rank sum test	0.0055	0.035500000000000004	0.0195	0.001	0.016251408521903418	0.07682652153963232	0.07682652153963232	0.422229427292559	0.016251408521903418	0.07682652153963232
