otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	1RM1	p.value.adj
Bacteroides (OTU 1)	69.03931811683648	7.631474620330079e-12	8	Kruskal-Wallis rank sum test	0.586	0.001	0.515	0.011	0.003	0.002	0.012	0.721	0.5275000000000001	8.852510559582891e-10
Enterobacteriaceae (OTU 2)	69.74763206940074	5.517033239969164e-12	8	Kruskal-Wallis rank sum test	0.177	0.674	0.002	0.511	0.843	0.7484999999999999	0.881	0.14700000000000002	0.0395	8.852510559582891e-10
Lactobacillus (OTU 9)	67.10459539977226	1.8484714843176325e-11	8	Kruskal-Wallis rank sum test	0.007	0.121	0.005	0.195	0.086	0.1315	0.038	0.0015	0.006	1.4294846145389691e-9
Peptostreptococcaceae (OTU 12)	64.36794805286466	6.434530725048186e-11	8	Kruskal-Wallis rank sum test	0.016	0.139	0	0.08	0.020999999999999998	0.0905	0.003	0.0015	0	3.732027820527947e-9
Porphyromonadaceae (OTU 8)	62.18713439102821	1.7323170024685345e-10	8	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	5e-4	0.013	0.0235	8.037950891454e-9
Erysipelotrichaceae (OTU 39)	60.60642466812207	3.543670958655335e-10	8	Kruskal-Wallis rank sum test	0.001	0	0.0115	0	0	0	0	0	0.0055	1.3702194373467293e-8
Lachnospiraceae (OTU 120)	55.301830740265864	3.856962188878693e-9	8	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	0	0.0025	0	1.278307468314081e-7
Lachnospiraceae (OTU 49)	54.88043917518193	4.657545075486305e-9	8	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0	0	1.3506880718910285e-7
Lachnospiraceae (OTU 16)	51.74703539674922	1.8833943154009976e-8	8	Kruskal-Wallis rank sum test	0.005	0	0.0025	0	0	0	0	0.017	0.001	4.854972013033683e-7
Lachnospiraceae (OTU 20)	50.79936950882483	2.8682331961390298e-8	8	Kruskal-Wallis rank sum test	0	0	0.010499999999999999	0.001	0	0	0	0	0	6.654301015042549e-7
Lachnospiraceae (OTU 62)	50.18069748580678	3.772653298730011e-8	8	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0	0	7.956868775503295e-7
Turicibacter (OTU 5)	46.94372091204187	1.5717350402486712e-7	8	Kruskal-Wallis rank sum test	0.07	0	0.0315	0	0	0	0	0.041999999999999996	0.019	3.038687744480764e-6
Olsenella (OTU 114)	46.69826326251975	1.750459335185223e-7	8	Kruskal-Wallis rank sum test	0	0	0.002	0	0	0	0	0	0	3.1238966597151674e-6
Butyricicoccus (OTU 56)	46.44483720565949	1.95617973074708e-7	8	Kruskal-Wallis rank sum test	0	0	0.0025	0	0	0	0	0	0	3.2416692680951613e-6
Lachnospiraceae (OTU 30)	43.587948961013566	6.805803594251831e-7	8	Kruskal-Wallis rank sum test	0	0	0.006	0	0	0	0	0	0	8.202181493721336e-6
Clostridium (OTU 268)	43.499999999999666	7.070846115277015e-7	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0	0	8.202181493721336e-6
Chitinophagaceae (OTU 523)	43.499999999999666	7.070846115277015e-7	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0	0	8.202181493721336e-6
Lachnospiraceae (OTU 990)	43.499999999999666	7.070846115277015e-7	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0	0	8.202181493721336e-6
Ruminococcaceae (OTU 1700)	43.499999999999666	7.070846115277015e-7	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0	0	8.202181493721336e-6
Bacteroidales (OTU 4703)	43.499999999999666	7.070846115277015e-7	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0	0	8.202181493721336e-6
Lachnospiraceae (OTU 75)	42.700236901964054	1.0002933068792448e-6	8	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0	0.004	1.105085939028499e-5
Porphyromonadaceae (OTU 14)	41.819845390562	1.4638445038396278e-6	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0	0.0075	1.5436905676854255e-5
Porphyromonadaceae (OTU 6)	41.51675905514259	1.6684217219776136e-6	8	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0.001	0.0195	0.14300000000000002	1.682929736951332e-5
Lachnospiraceae (OTU 17)	38.42437305308204	6.283823610245304e-6	8	Kruskal-Wallis rank sum test	0.019	0	0.0035	0	0	0	0	0.0025	0.004	6.074362823237127e-5
Porphyromonadaceae (OTU 7)	37.22067627198283	1.0481559335275011e-5	8	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0	0	0.05600000000000001	9.72688706313521e-5
Lachnospiraceae (OTU 104)	36.540493263363054	1.3978421955356944e-5	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.004	5e-4	1.2473053437087736e-4
Lachnospiraceae (OTU 32)	36.23363657569398	1.5912383593331432e-5	8	Kruskal-Wallis rank sum test	0	0	0.006	0	0	0	0	0	0	1.3672862939455158e-4
Clostridiales (OTU 91)	34.5123127055441	3.279868751318701e-5	8	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0	0	2.717605536806924e-4
Lachnospiraceae (OTU 4)	34.38884870924614	3.453671451968049e-5	8	Kruskal-Wallis rank sum test	0	0	0.0195	0.001	0	0	5e-4	0	0	2.7629371615744394e-4
Lachnospiraceae (OTU 74)	34.14781571099317	3.819591773587099e-5	8	Kruskal-Wallis rank sum test	0	0	5e-4	0	0	0	0	0	0	2.95381763824069e-4
Clostridium_sensu (OTU 53)	33.981818181819165	4.093591970252755e-5	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	3.06359140999561e-4
Dorea (OTU 134)	33.371050506629174	5.279250491613302e-5	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.001	3.827456606419644e-4
Lachnospiraceae (OTU 77)	32.69368560105663	6.992613224875941e-5	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	4.506350744920051e-4
Lachnospiraceae (OTU 88)	32.69800502047807	6.98011583527114e-5	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	4.506350744920051e-4
Lachnospiraceae (OTU 102)	32.69800502047807	6.98011583527114e-5	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	4.506350744920051e-4
Lachnospiraceae (OTU 110)	32.69584516810869	6.986362188118906e-5	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	4.506350744920051e-4
Alistipes (OTU 18)	31.71607407407408	1.0470118955804785e-4	8	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0.001	0	0	6.392283151965027e-4
Lachnospiraceae (OTU 70)	31.740053973729495	1.0367258850622224e-4	8	Kruskal-Wallis rank sum test	0	0	0.003	0	0	0	0	0	0	6.392283151965027e-4
Blautia (OTU 19)	31.451457145089453	1.1674085925072454e-4	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.0325	0	0	6.944584447735408e-4
Porphyromonadaceae (OTU 10)	30.933212191622395	1.4440105989902506e-4	8	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0	0.001	0.059000000000000004	8.375261474143453e-4
Ruminococcaceae (OTU 153)	30.430039215686417	1.773906663919964e-4	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	5e-4	0.0010037715756815405
Oscillibacter (OTU 371)	28.32196969696951	4.167455598062181e-4	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.003	0	0	0.002302023092262919
Lachnospiraceae (OTU 26)	28.0508350163229	4.6467852356712737e-4	8	Kruskal-Wallis rank sum test	0	0	0.0015	0	0	0	0	0	0	0.002507102731804036
Anaerostipes (OTU 840)	27.984674329501757	4.7717140326948896e-4	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.002515994671784578
Lachnospiraceae (OTU 66)	26.784674089991633	7.701166414717501e-4	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	5e-4	0.0039703791293654676
Lachnospiraceae (OTU 11)	25.778817775012435	0.0011458338127685122	8	Kruskal-Wallis rank sum test	0	0	0.0045000000000000005	0	0	0	0	0	0	0.005548138179670038
Lactobacillus (OTU 23)	25.790574690442124	0.0011405489595404119	8	Kruskal-Wallis rank sum test	0.007	0.001	0.008	0.001	0	0.001	0.006	0.007	0.0035	0.005548138179670038
Lachnospiraceae (OTU 46)	25.72317408278506	0.001171172088992317	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.005548138179670038
Lachnospiraceae (OTU 76)	25.72179917369944	0.0011718050465682407	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.005548138179670038
Lachnospiraceae (OTU 24)	25.60278375819415	0.0012278787119055213	8	Kruskal-Wallis rank sum test	0	0	0.009999999999999998	0	0	0	0	0	0	0.005697357223241618
Lachnospiraceae (OTU 149)	25.267186998823906	0.0014004593549737253	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.006370717065762828
Bifidobacterium (OTU 28)	25.203244048314808	0.0014359239876479582	8	Kruskal-Wallis rank sum test	0	0.002	0	0.004	0.002	0	5e-4	0.008	0.007	0.006406430098737044
Acetatifactor (OTU 55)	24.24271658685246	0.00208653702965362	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.008644224837136427
Lachnospiraceae (OTU 140)	24.244827586206945	0.002084832717121695	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.008644224837136427
Clostridiales (OTU 141)	24.244827586206945	0.002084832717121695	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.008644224837136427
Coriobacteriaceae (OTU 158)	24.244827586206945	0.002084832717121695	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.008644224837136427
Ruminococcaceae (OTU 52)	23.907625272331135	0.0023749527313307495	8	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0	0	0.009666474274890069
Lachnospiraceae (OTU 36)	21.99305868565765	0.00492874227129703	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.01971496908518812
Pseudoflavonifractor (OTU 69)	20.594218576279342	0.008307144666503744	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.032011390125191365
Lachnospiraceae (OTU 81)	20.560073985995125	0.008412568320148077	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.032011390125191365
Lachnospiraceae (OTU 113)	20.558715899332483	0.00841678792084773	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.032011390125191365
Akkermansia (OTU 3)	20.237085300541022	0.009475345127948207	8	Kruskal-Wallis rank sum test	0	0.001	0.1495	0.002	0.001	0	0.006	0	5e-4	0.03545613015619329
Erysipelotrichaceae (OTU 142)	19.842884188739667	0.010947099552229195	8	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	5e-4	0	0.040313128509796396
Ruminococcaceae (OTU 60)	18.35302784906119	0.018730040375928007	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.06789639636273903
Porphyromonadaceae (OTU 25)	18.04504199785785	0.020891323303423977	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0	0.07456595394452865
Lachnospiraceae (OTU 272)	17.79356862745121	0.022828514306444905	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.08024568665295785
Ruminococcaceae (OTU 65)	17.323670555115765	0.02690974920418453	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0	0	0.09318002709508673
