otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	1RM1	p.value.adj
Porphyromonadaceae (OTU 15)	17.21955154630833	0.027902393308553805	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	5e-4	0.09381674271861569
Lachnospiraceae (OTU 72)	17.257537835570034	0.02753632888069751	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	5e-4	0.09381674271861569
Lachnospiraceae (OTU 47)	17.137100067899233	0.02871271122072901	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.0951621286172733
Pseudomonas (OTU 298)	16.799999999998366	0.03226036579601243	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.09979206486233178
Lachnospiraceae (OTU 576)	16.799999999998366	0.03226036579601243	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.09979206486233178
Bacteroidales (OTU 1018)	16.799999999998366	0.03226036579601243	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.09979206486233178
Porphyromonadaceae (OTU 2469)	16.799999999998366	0.03226036579601243	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.09979206486233178
Bacteroidales (OTU 2715)	16.799999999998366	0.03226036579601243	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.09979206486233178
Lachnospiraceae (OTU 58)	15.979545454545574	0.04267381682355524	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.12073567686664409
Lachnospiraceae (OTU 83)	15.979545454545574	0.04267381682355524	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.12073567686664409
Lachnospiraceae (OTU 103)	15.979545454545574	0.04267381682355524	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.12073567686664409
Ruminococcaceae (OTU 106)	15.979545454545574	0.04267381682355524	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.12073567686664409
Lachnospiraceae (OTU 133)	15.981609195402424	0.042644098585624055	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.12073567686664409
Lachnospiraceae (OTU 184)	15.981609195402424	0.042644098585624055	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.12073567686664409
Coriobacteriaceae (OTU 204)	15.981609195402424	0.042644098585624055	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.12073567686664409
Lachnospiraceae (OTU 150)	15.879999399155553	0.04413025047212954	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.12335202541607293
Lachnospiraceae (OTU 123)	15.233317775911047	0.05476439282130405	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.1512540373159826
Lachnospiraceae (OTU 84)	15.143508924684904	0.05641435707002865	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.15397800988525467
Enterobacteriaceae (OTU 176)	14.99965546942285	0.0591521593597462	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.0025	0	0	0.159573267110013
Lachnospiraceae (OTU 73)	14.948781293348652	0.06014906032183963	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16039749419157234
Enterorhabdus (OTU 109)	14.892214041336368	0.061275487882109084	8	Kruskal-Wallis rank sum test	0	0	5e-4	0	0	0	0	0	0	0.16154446805283304
Ruminococcaceae (OTU 37)	14.113827206568418	0.07884637344868221	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Porphyromonadaceae (OTU 44)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Lachnospiraceae (OTU 82)	13.90961545315245	0.08415188778089688	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Clostridiales (OTU 107)	14.4812260536399	0.07005309926795152	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Lachnospiraceae (OTU 121)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Lachnospiraceae (OTU 148)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Lachnospiraceae (OTU 160)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Clostridium (OTU 186)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Lachnospiraceae (OTU 193)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Porphyromonadaceae (OTU 212)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Bacillus (OTU 218)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Lachnospiraceae (OTU 225)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Lactobacillales (OTU 242)	14.218092657117122	0.07625505071579426	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Porphyromonadaceae (OTU 246)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Parabacteroides (OTU 275)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Alistipes (OTU 289)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Porphyromonadaceae (OTU 325)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Lachnospiraceae (OTU 326)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Akkermansia (OTU 352)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Porphyromonadaceae (OTU 362)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Porphyromonadaceae (OTU 388)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Bacteroides (OTU 400)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Lachnospiraceae (OTU 448)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Porphyromonadaceae (OTU 508)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Lactococcus (OTU 548)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Porphyromonadaceae (OTU 707)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Porphyromonadaceae (OTU 723)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Ruminococcaceae (OTU 747)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Blautia (OTU 970)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Lachnospiraceae (OTU 1053)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Lactobacillus (OTU 1178)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Porphyromonadaceae (OTU 1411)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Campylobacter (OTU 1655)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Lachnospiraceae (OTU 1765)	13.833333333333261	0.08621429222666879	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.16394849013596033
Lachnospiraceae (OTU 68)	12.980842911877374	0.11251044835650015	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.21221482942039052
Bacteria (OTU 43)	12.016003389139595	0.15049127803052892	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.28156432663776376
Lachnospiraceae (OTU 31)	11.90405571336091	0.1555362935932935	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.28867536090915275
Lachnospiraceae (OTU 111)	11.814673916524018	0.15966619348360211	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.2939885467317118
Lactobacillus (OTU 13)	11.733226824322822	0.1635094089599907	8	Kruskal-Wallis rank sum test	0.009	0.004	0.0115	0.075	0.0045000000000000005	0.0085	0.0075	0.011	0.006999999999999999	0.298694353375731
Porphyromonadaceae (OTU 67)	11.098018638681914	0.1962069478145617	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.35562509291389305
Porphyromonadaceae (OTU 40)	10.882746160795028	0.20843189141956323	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.3748542543359587
Lachnospiraceae (OTU 205)	10.613608957795016	0.2245680367583107	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.4007675732917545
Bacteroides (OTU 178)	10.54403292181065	0.22889656466696526	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.4053740687231751
Lachnospiraceae (OTU 86)	10.306187029941801	0.24418983391598767	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.42918213233719044
Lachnospiraceae (OTU 64)	9.99399744572124	0.26544746917526446	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.4511757560992284
Clostridiales (OTU 137)	9.980076628353187	0.26642706286888024	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.4511757560992284
Lachnospiraceae (OTU 189)	10.047727272727732	0.26169205856631794	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.4511757560992284
Escherichia/Shigella (OTU 342)	9.980076628352325	0.2664270628689409	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.4511757560992284
Dorea (OTU 686)	9.980076628352325	0.2664270628689409	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.4511757560992284
Blautia (OTU 132)	9.765315904139658	0.281885607808676	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.47389464501168715
Peptostreptococcaceae (OTU 460)	9.505598621877315	0.30145321104080447	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.5031449277803355
Porphyromonadaceae (OTU 48)	9.185300028711032	0.32690635922014105	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.5417305381362337
Clostridium (OTU 22)	8.86755924484799	0.3535914998028242	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0	0	0.5817959429379803
Bacteroides (OTU 256)	8.479693486590662	0.38806730068817585	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6295917046129845
Clostridium (OTU 405)	8.479693486590662	0.38806730068817585	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6295917046129845
Ruminococcaceae (OTU 27)	7.899999999999638	0.4432989932766675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6309531683447046
Lachnospiraceae (OTU 41)	7.899999999999638	0.4432989932766675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6309531683447046
Lachnospiraceae (OTU 42)	7.899999999999638	0.4432989932766675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6309531683447046
Ruminococcaceae (OTU 61)	7.899999999999638	0.4432989932766675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6309531683447046
Acetatifactor (OTU 78)	7.899999999999638	0.4432989932766675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6309531683447046
Ruminococcus (OTU 93)	7.899999999999638	0.4432989932766675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6309531683447046
Lachnospiraceae (OTU 128)	7.899999999999638	0.4432989932766675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6309531683447046
Lachnospiraceae (OTU 151)	7.899999999999638	0.4432989932766675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6309531683447046
Bacteria (OTU 168)	7.899999999999638	0.4432989932766675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6309531683447046
Ruminococcaceae (OTU 169)	7.99561424724683	0.43389865302943753	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6309531683447046
Firmicutes (OTU 198)	7.899999999999638	0.4432989932766675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6309531683447046
Clostridiales (OTU 199)	7.899999999999638	0.4432989932766675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6309531683447046
Akkermansia (OTU 200)	7.899999999999638	0.4432989932766675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6309531683447046
Ruminococcaceae (OTU 207)	7.899999999999638	0.4432989932766675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6309531683447046
Clostridiales (OTU 226)	7.899999999999638	0.4432989932766675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6309531683447046
Lachnospiraceae (OTU 227)	7.899999999999638	0.4432989932766675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6309531683447046
Lachnospiraceae (OTU 239)	7.899999999999638	0.4432989932766675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6309531683447046
Lachnospiraceae (OTU 305)	7.899999999999638	0.4432989932766675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6309531683447046
Butyricicoccus (OTU 402)	7.899999999999638	0.4432989932766675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6309531683447046
Lachnospiraceae (OTU 682)	7.899999999999638	0.4432989932766675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6309531683447046
Clostridiales (OTU 115)	7.845708061002089	0.448685291051426	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6347255336825051
Clostridium (OTU 126)	7.62530864197532	0.47089937871926024	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6621130658355658
Porphyromonadaceae (OTU 21)	7.534861845973054	0.48017074000021714	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6710819980725926
Phascolarctobacterium (OTU 331)	7.376470588235206	0.4966114973844732	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6899033975640586
Porphyromonadaceae (OTU 87)	7.277356902357284	0.5070250292388863	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.7001774213298906
Ruminococcaceae (OTU 59)	7.161527418891814	0.5193097311120664	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.7109618921592651
