genus	method	WM	C	WMR	CWM	RM	FRM	WMC	WMN	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	WMC-C	WMC-WMR	WMC-CWM	WMC-RM	WMN-C	WMN-WMR	WMN-CWM	WMN-RM	FRM-WM	WMC-WM	WMC-FRM	WMN-WM	WMN-FRM	WMN-WMC
Enterobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0.3	0.002	0.001	0.122	0.1235	0.0665	0.255	0.352	8.784560021765261e-4	0.019007649676363557	0.3297163816452425	0.07728683636651923	4.378331551556474e-4	0.011084699063907985	0.04324812537950327	0.001649415184500297	0.023349882274804442	0.9982829738421506	0.0016395695904609386	0.023349882274804442	0.17819491293243694	0.16804407713498623	4.378331551556474e-4	0.011084699063907985	0.02501234557265998	0.003196803196803197	0.04324812537950327	0.13789004291897944	0.1603767231193924	0.10526315789473684	0.061188811188811185	0.4568111888111889	0.001864801864801865	1	0.10526315789473684	0.9790209790209788
Enterorhabdus	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.05188294215622216	0.2598966350287878	0.2598966350287878	0.2661255046580831	0.09268104214124159	0.7994877901236261	NA	0.059898264965085796	0.2661255046580831	0.2999857653378756	0.2598966350287878	1	0.7994877901236261	0.2661255046580831	0.03708992340610531	0.2598966350287878	0.2598966350287878	NA	0.2598966350287878	0.6041780328898685	0.6041780328898685	NA	0.2598966350287878	NA	0.2598966350287878	NA	0.6041780328898685	NA
Erysipelotrichaceae Unclassified	Kruskal-Wallis rank sum test	0	0	0.002	0.001	0	0.001	0	5e-4	0.21088343973138715	0.046616249148112514	0.14344317448739763	0.08532833837522533	0.2360038319921492	0.7457488044456224	0.2360038319921492	1	0.21611116375786968	0.3727007884789204	0.21088343973138715	0.7457488044456224	1	0.2791074742584752	0.17803931637575954	0.04607761025234173	0.046616249148112514	0.21088343973138715	1	0.4581700247665247	0.728097793510871	1	0.046616249148112514	NA	0.04607761025234173	0.21611116375786968	0.5013448481586954	0.17803931637575954
Firmicutes Unclassified	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.1454775573288573	0.6569588837873823	0.14744355010131974	0.7191279638953814	0.1454775573288573	0.7191279638953814	NA	0.1454775573288573	0.6569588837873823	0.7191279638953814	0.1454775573288573	0.6569588837873823	0.7191279638953814	NA	0.1454775573288573	0.7542276748674022	0.9444151944788589	0.7191279638953814	0.6569588837873823	0.7542276748674022	0.8781734619280085	NA	NA	0.7191279638953814	0.7191279638953814	NA	NA	0.8781734619280085
Lachnospiraceae Unclassified	Kruskal-Wallis rank sum test	0	0.239	0.11349999999999999	0.0565	0.0105	0.0085	0	5e-4	9.288588909880002e-4	0.011065750209782054	0.008201890026379903	0.010843725938531253	0.03261398159367467	0.6683729907027712	0.10374485359443072	1.8918279787845006e-4	0.01978358408804161	0.06834514000892805	0.0014937273808805379	0.02149463112758242	0.05624976923872934	0.7756217030747057	2.601004246565311e-4	0.004351775743060601	0.0012830906650820378	0.018340876216153105	0.01844532279314888	0.11350133588010106	0.07982270718315539	0.2188986796768953	0.050922875409209936	0.8764088983979282	0.008201890026379903	0.6133288241264406	0.15817820335233937	0.6133288241264406
Lactobacillus	Kruskal-Wallis rank sum test	0.012	0.048	0.0155	0.026000000000000002	0.006500000000000001	0.011	0.004	0.008	0.11217892078787241	0.9161231451190094	0.025023767703100566	0.7845465651770221	0.15156079268758058	0.2699784583456037	0.18394679653880588	0.025023767703100566	0.10383874080438606	0.10808225973587367	0.03250847350952937	0.7845465651770221	0.2699784583456037	0.15156079268758058	0.025023767703100566	0.10383874080438606	0.10383874080438606	0.6666666666666666	0.13838188146766095	0.4904713581897945	0.23076923076923078	0.9161231451190094	0.8058446995331536	0.15156079268758058	0.15156079268758058	0.6666666666666666	0.7743372002965435	1
Olsenella	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0	0	0.7053303603129031	0.39378278034664815	0.2264011075988585	0.22720483729344224	0.0999808961321911	0.5418366985919801	0.5418366985919801	0.5418366985919801	0.7053303603129031	0.5418366985919801	0.0999808961321911	0.7053303603129031	0.8289241743361858	0.5418366985919801	0.7053303603129031	0.29489636658802876	0.2264011075988585	0.5418366985919801	0.8773705560641434	0.6659723919263243	0.5418366985919801	0.8289241743361858	0.2264011075988585	NA	0.2264011075988585	NA	0.5418366985919801	NA
Oscillibacter	Kruskal-Wallis rank sum test	0	0.012	0	0	0	0	0	0	6.840335264844279e-4	0.18748600965314174	0.004929381502155416	NA	3.21367495836122e-5	0.06694005310906558	NA	0.0013380291331239903	0.22281484171040197	NA	0.0013795964920125083	0.45712278735576856	0.35722618911626064	0.523673456611782	2.3095505161070505e-4	0.2800330063943379	0.45712278735576856	0.5745965493565149	0.06869302194139236	0.5100499237254009	NA	NA	0.5100499237254009	0.5496233086286444	0.8417035627534177	NA	0.8417035627534177	0.8417035627534177
Peptostreptococcaceae Unclassified	Kruskal-Wallis rank sum test	0.001	0	0	0.0095	0.008	0.0055	0.001	0	0.01480924561097097	0.3512669857721231	0.18847395058936778	0.24766690185344067	2.5093009889313857e-5	0.04464782234202829	0.15197690285245227	1.9284997348910005e-4	0.093378618508714345	0.9249153706882359	0.0024393241360028553	0.2600025554772176	0.4211780169748647	0.34642334400778896	0.04464782234202829	0.6328589904817025	0.093378618508714345	0.093378618508714345	0.6896330424878986	0.43138433325748227	0.093378618508714345	0.15197690285245227	0.34642334400778896	0.8139332397692317	0.2600025554772176	0.2600025554772176	0.24766690185344067	0.34642334400778896
Porphyromonadaceae Unclassified	Kruskal-Wallis rank sum test	0	0.236	5e-4	0	5e-4	0.3785	0	0	0.059378501632132825	0.46060202705607345	0.38799133138500497	0.9890915653111885	0.0279631815161216	0.3395291659564315	0.5137450955406756	0.5137450955406756	0.9890915653111885	0.46060202705607345	0.113095586164752	0.0279631815161216	0.010364675409289599	0.1823722834229427	0.0409619994835886	0.46060202705607345	1	0.5137450955406756	0.2698466453294282	0.4628484755523056	0.6352227539474508	0.5137450955406756	0.024183043604928536	0.9890915653111885	0.017418514031125015	0.6388841917983756	0.1823722834229427	0.5751649194650282
Pseudoflavonifractor	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.14927730135658188	0.902433855186659	0.0673064456986553	1	0.0673064456986553	0.902433855186659	0.6920582399327194	0.0673064456986553	0.7130818975894978	0.6894419483768882	0.0673064456986553	0.7130818975894978	0.6894419483768882	NA	0.0673064456986553	0.6920582399327194	0.6471442042997108	NA	0.4816805180549014	0.902433855186659	0.8440366939613526	NA	0.6920582399327194	0.6894419483768882	NA	0.902433855186659	NA	NA
Ruminococcaceae Unclassified	Kruskal-Wallis rank sum test	0	0.046	0.009	0.0015	0	0	0	0	6.948796005473867e-4	0.009738272507061954	0.0017795508165419718	0.06046986984012156	3.1217378477790575e-4	0.1584328423060953	0.38999342775085155	0.001123628519071435	0.023167940828649994	0.1584328423060953	0.001123628519071435	0.015288875265004878	0.07999767075747694	0.4239261315428711	3.1217378477790575e-4	0.0038180414794025184	0.03647037342900873	0.31992969375919134	0.04625781703000958	0.14354824985629216	0.31992969375919134	0.7728299926844475	NA	NA	NA	NA	NA	NA
Turicibacter	Kruskal-Wallis rank sum test	0	0.013	0.03	0.040499999999999994	0.027	0.0215	0	0.0085	0.0027718097215522755	0.0057880374979438	0.9158223082056884	0.0027718097215522755	0.6431392664522287	0.3471806468005837	0.0057880374979438	0.9158223082056884	0.6419174945715367	0.43353787566370633	0.9158223082056884	0.43353787566370633	0.3471806468005837	0.5902503293807643	0.0011172682554259044	0.002386938062610511	0.0011172682554259044	0.002386938062610511	0.4494128020495392	0.19862733779017688	0.25907009119286467	0.2857142857142857	0.0057880374979438	0.43353787566370633	0.002386938062610511	0.43353787566370633	0.43353787566370633	0.15106366237943233
Unclassified	Kruskal-Wallis rank sum test	0	0.004	0	0	0	0	0	0	0.0022110485904562544	0.5618221011311194	0.002119751420795119	NA	3.0544089035629024e-4	0.5123664846328364	NA	0.003158236496095463	0.5618221011311194	NA	0.003158236496095463	0.5618221011311194	NA	NA	0.001067699752274919	0.5618221011311194	NA	NA	0.10123496762089762	0.8230632737581215	NA	NA	NA	NA	NA	NA	NA	NA
