genus	method	WM	C	WMR	CWM	RM	FRM	WMC	WMN	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	WMC-C	WMC-WMR	WMC-CWM	WMC-RM	WMN-C	WMN-WMR	WMN-CWM	WMN-RM	FRM-WM	WMC-WM	WMC-FRM	WMN-WM	WMN-FRM	WMN-WMC
Acetatifactor	Kruskal-Wallis rank sum test	0	0.007	0	0	0	0	0	0	0.0032457946799379295	0.18668892794221098	0.0032457946799379295	0.47851035285703913	0.0032457946799379295	0.49139696374099917	0.47851035285703913	0.00530709078374013	0.47851035285703913	0.9424675874144188	0.0036336470289495245	0.22186135102138443	0.47851035285703913	0.49139696374099917	0.0017221406220409546	0.12366034266397523	0.47065033039978965	0.47851035285703913	0.12366034266397523	0.47851035285703913	0.7174311898671497	0.8096314209075165	NA	NA	NA	NA	NA	NA
Akkermansia	Kruskal-Wallis rank sum test	0.001	0.066	0.0115	0.3615	0.14300000000000002	0.062	0.172	0.1655	0.17918552036199095	0.33965395171647716	0.2303946439510429	0.17918552036199095	0.17918552036199095	0.17918552036199095	0.28864045200958055	1	0.33965395171647716	0.33965395171647716	0.5671425641170765	0.5671425641170765	0.17918552036199095	0.42045454545454547	1	0.33965395171647716	0.33965395171647716	0.8337762279048802	0.8831520749968444	1	0.4493078185925478	1	0.33965395171647716	0.33965395171647716	0.33965395171647716	1	1	1
Anaerostipes	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.015371082647332347	0.07617551573123328	NA	0.06962806275966775	NA	NA	0.11728929987224622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.11728929987224622	0.07617551573123328	NA	0.38448812194570275	NA	NA
Bacteroides	Kruskal-Wallis rank sum test	0.562	0.008	0.551	0.007	0.6755	0.41200000000000003	0.569	0.364	0.028721767147577675	0.8364360726202223	0.009788951925600673	0.17735097446490208	0.8364360726202223	0.1533948049907528	0.75	0.028721767147577675	0.8364360726202223	0.1533948049907528	0.1533948049907528	0.1533948049907528	0.47393478810777456	0.26060606060606056	0.028721767147577675	0.6642368975299354	0.2786592374856248	0.43102942591476595	0.43102942591476595	0.2828282828282829	0.6642368975299354	0.47393478810777456	0.5692825692825693	0.7958929186436966	0.653210028799199	0.6642368975299354	0.75	0.47393478810777456
Bifidobacterium	Kruskal-Wallis rank sum test	0	0.001	0	5e-4	0.003	0.010499999999999999	0	0	0.01701696526184466	0.17789344585130654	0.12201503455680991	0.07394654672569091	0.26438517699848296	0.4810972609087615	0.009088077739731337	0.44363109152374847	0.07024548557370355	0.07517507508476065	0.01701696526184466	0.009625233555196504	0.009625233555196504	0.0961050394111211	0.009625233555196504	0.13156339293220887	0.045292239030542664	0.005327986746898462	0.16807565942453198	0.4810972609087615	0.30094174670393714	0.10177024744583857	0.009088077739731337	NA	0.005327986746898462	NA	0.10177024744583857	NA
Blautia	Kruskal-Wallis rank sum test	0.064	0	0	5e-4	0.001	0	0.071	0.101	3.3798045641895383e-4	0.001765309856518445	0.8522501992153473	0.001765309856518445	0.1667486095663883	0.1809166661327744	0.00892954862959901	0.1520547897362948	0.19298119147763454	0.9960423143262433	0.8522501992153473	1	0.25577225970092726	0.30755424733776915	1.4437403959899833e-4	0.0011193550445089552	0.001114585657521936	0.005972155986958857	0.020603773480900586	0.03537841613879335	0.061758938036391556	0.10956669250398768	0.008061014534976178	0.9888111888111888	0.0058836168827123584	0.6086956521739131	0.07139662123689242	0.2909090909090909
Butyricicoccus	Kruskal-Wallis rank sum test	0	0.002	0.004	0	0	0	0	0	0.012952638975379056	0.013220187108395023	0.14306438835499805	0.29579438317679557	0.0020187602725078796	0.0025175763210980415	0.46630662155894465	0.011572266656396626	0.012952638975379056	NA	0.011572266656396626	0.012952638975379056	NA	NA	0.0035902691014737505	0.005637740140982616	NA	NA	0.135384564168156	0.14306438835499805	NA	NA	0.46630662155894465	0.3761999347003057	NA	0.7892680261342813	NA	NA
Clostridiales Unclassified	Kruskal-Wallis rank sum test	0	0.007	0.002	0	0	0	0	0	0.0023541877753132847	0.00463923818007911	0.11124169670762665	0.17091220065194682	0.0024095809326810116	0.07474884897717785	0.4664993154914492	0.0032948638382120916	0.020693046696922617	0.4670218229411317	0.003840340178802028	0.04165881289192851	0.7247699358533269	0.6465136111413791	9.060048661101952e-4	0.0024095809326810116	0.12412686104000271	0.38375405185761585	0.07474884897717785	0.11757248571633588	0.5031793371471416	0.7728299926844475	0.2036422279884076	NA	0.1493128309498066	NA	0.5776495154001653	NA
Clostridium IV	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.017172788918341286	NA	0.012296346895759334	0.3734477220374811	0.017172788918341286	0.33938245683171153	NA	0.019772885308445707	NA	0.3734477220374811	0.019772885308445707	NA	0.3734477220374811	NA	0.012296346895759334	NA	0.3399141275109592	NA	0.22255008984502397	NA	0.6522101726064997	NA	NA	NA	NA	NA	NA	NA
Clostridium XlVa	Kruskal-Wallis rank sum test	0	0.004	0	0.0025	0	0	0	0	0.015425674676114179	0.19174705532707675	0.08396517083140416	0.1276149850522046	0.561674073557392	0.38375405185761585	0.4416016655631177	0.029498164650074668	0.38375405185761585	0.25505287113670644	0.029498164650074668	0.38375405185761585	0.25505287113670644	1	0.008281213216768168	0.1411018465300942	0.08396517083140416	0.38375405185761585	0.19174705532707675	0.4416016655631177	0.38375405185761585	0.8050312423796329	0.4416016655631177	NA	0.38375405185761585	NA	0.8050312423796329	NA
Clostridium XlVb	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0	0	0	0.0036348779124302927	0.4146684281175607	0.0036348779124302927	0.4146684281175607	0.0036348779124302927	0.9218959056654465	NA	0.004162533015530753	0.4146684281175607	0.4146684281175607	0.004162533015530753	0.4146684281175607	0.4146684281175607	NA	0.002810735523391528	0.4146684281175607	0.4146684281175607	NA	0.13582514840990711	0.691594995226961	0.691594995226961	NA	NA	NA	NA	NA	NA	NA
Coriobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.05201240238385232	0.32350248065287757	0.10534456160882842	NA	0.02135747014874461	0.23805379646108168	NA	0.05201240238385232	0.32350248065287757	NA	0.05201240238385232	0.32350248065287757	NA	NA	0.035128878601496986	0.2777493002721953	NA	NA	0.27433043662392687	0.6188409313975106	NA	NA	NA	NA	NA	NA	NA	NA
Dorea	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NA	NA	NA	0.25651699573348674	0.13993553882445917	0.25651699573348674	NA	NA	NA	0.25651699573348674	NA	NA	0.25651699573348674	NA	NA	NA	0.25651699573348674	NA	NA	NA	0.5244708801092587	NA	NA	NA	NA	NA	NA	NA
