effects	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
group	3	21.94803532464314	7.316011774881047	237.62862146536597	0.21407288487968745	9.99000999000999e-4
day	19	29.4677326863948	1.5509332992839369	50.37528003425966	0.2874171858087514	9.99000999000999e-4
group:unique_cage_no	26	15.812509432550868	0.6081734397134949	19.753852308871856	0.15422927206667744	9.99000999000999e-4
group:ext_plate	25	8.19285667243139	0.3277142668972556	10.64436360596126	0.07991004376159126	9.99000999000999e-4
group:day	23	10.245361216312702	0.44545048766576967	14.468509424564578	0.09992940141425549	9.99000999000999e-4
group:unique_cage_no:ext_plate	70	5.541760380651951	0.079168005437885	2.571426150646551	0.054052247249032855	9.99000999000999e-4
group:unique_cage_no:day	96	6.101411908322532	0.06355637404502638	2.064350634523459	0.059510877840958674	9.99000999000999e-4
group:ext_plate:day	2	0.051061227583332425	0.025530613791666212	0.8292502455105663	4.980320166511292e-4	0.7272727272727273
group:unique_cage_no:ext_plate:day	2	0.02373824481665565	0.011869122408327826	0.38551649213829814	2.3153391520998876e-4	0.5194805194805194
Residuals	167	5.141526971249996	0.030787586654191592	NA	0.05014852104718419	NA
Total	433	102.52599406495737	NA	NA	1	NA
