genus	statistic	p.value	parameter	method	C	WMR	CWM	RM	FRM	M1	1RM1	p.value.adj
Bacteroidales Unclassified	55.190920464700625	4.241689495984797e-10	6	Kruskal-Wallis rank sum test	0	0	0	0	0.002	0.025500000000000002	0.01	1.9935940631128545e-8
Porphyromonadaceae Unclassified	53.59150508176245	8.917459899402385e-10	6	Kruskal-Wallis rank sum test	0.2395	0.0045000000000000005	0	0.001	0.433	0.6679999999999999	0.518	2.0956030763595605e-8
Unclassified	49.663916365989905	5.489750342742567e-9	6	Kruskal-Wallis rank sum test	0.005	0	0	0	0	0	0.005	8.600608870296688e-8
Oscillibacter	46.99649018172454	1.8741519602125367e-8	6	Kruskal-Wallis rank sum test	0.012	0.001	0	0	0	0.002	0.009499999999999998	2.2021285532497305e-7
Clostridiales Unclassified	41.69517073107841	2.1120029631035774e-7	6	Kruskal-Wallis rank sum test	0.0075	0.0035	0.001	0	0	0.0045000000000000005	0.01	1.985282785317363e-6
Firmicutes Unclassified	37.78612336599612	1.2368495747839557e-6	6	Kruskal-Wallis rank sum test	0.002	0	0	0	0	0	5e-4	9.572201685312068e-6
Ruminococcaceae Unclassified	37.47019870102831	1.4256470595145633e-6	6	Kruskal-Wallis rank sum test	0.03	0.0085	0.007	0	0	0.0085	0.011	9.572201685312068e-6
Enterobacteriaceae Unclassified	36.20550404681017	2.5143461473254157e-6	6	Kruskal-Wallis rank sum test	0.0015	0.0015	0.067	0.0555	0.0245	0.0015	0	1.4771783615536817e-5
Butyricicoccus	35.91421500235894	2.8644962302588223e-6	6	Kruskal-Wallis rank sum test	0.002	0.0015	0	0	0	0	0.001	1.4959035869129405e-5
Acetatifactor	33.214723802267024	9.533921287309313e-6	6	Kruskal-Wallis rank sum test	0.008	0.001	0.001	0	0	0.0015	0.007	4.480943005035377e-5
Lachnospiraceae Unclassified	28.373670661401594	7.989492614264485e-5	6	Kruskal-Wallis rank sum test	0.2555	0.11100000000000002	0.11349999999999999	0.043	0.0165	0.07400000000000001	0.211	3.413692298822098e-4
Bacteroides	25.823993806349876	2.4009221386190647e-4	6	Kruskal-Wallis rank sum test	0.23299999999999998	0.5525	0.05450000000000001	0.628	0.3745	0.1105	0.10200000000000001	9.403611709591337e-4
Peptostreptococcaceae Unclassified	25.455793349453394	0.00028107428911911566	6	Kruskal-Wallis rank sum test	0	0	0.0055	0.002	0.0015	0	0	0.0010161916606614182
Akkermansia	25.08929537785316	3.286964466202317e-4	6	Kruskal-Wallis rank sum test	0.14800000000000002	0.006500000000000001	0.2565	0.11599999999999999	0.1335	0.02	0.004	0.0011034809279393493
Clostridium XlVb	18.083347454146427	0.006027246675773376	6	Kruskal-Wallis rank sum test	0.001	0	0	0	0	5e-4	0.003	0.018885372917423243
Turicibacter	17.122972706613936	0.008841769452748335	6	Kruskal-Wallis rank sum test	0.0055	0.0345	0.056499999999999995	0.026	0.019	0.025	0.012499999999999999	0.025972697767448233
Clostridium IV	16.18881739141194	0.012775600935030655	6	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	5e-4	0.034570319184844024
Pseudoflavonifractor	16.097578666426617	0.013239696709089201	6	Kruskal-Wallis rank sum test	5e-4	5e-4	0	0	0	0	0.0025	0.034570319184844024
Coriobacteriaceae Unclassified	15.895347403918903	0.014326839765072473	6	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0	0	0.035440077313600334
Anaeroplasma	14.768568904872438	0.022135154313589627	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.05201761263693563
Blautia	13.846147338959792	0.031402804496285276	6	Kruskal-Wallis rank sum test	0	0	5e-4	5e-4	0	0	0	0.07028246720597181
Acidaminococcus	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.14323076968170317
Catonella	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.14323076968170317
Fusobacterium	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.14323076968170317
Leptotrichia	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.14323076968170317
Prevotella	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.14323076968170317
Stomatobaculum	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.14323076968170317
Subdoligranulum	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.14323076968170317
Sutterella	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.14323076968170317
Bifidobacterium	10.699446024289264	0.09812155834100765	6	Kruskal-Wallis rank sum test	0	0	0	0.0015	0.0035	0	0.0025	0.1537237747342453
