genus	statistic	p.value	parameter	method	C	WMR	CWM	p.value.adj
Bifidobacterium	9.888384602454204	0.007124666925437698	2	Kruskal-Wallis rank sum test	0.0075	0.001	0.0125	0.3206100116446964
Acetatifactor	2.1363950873551354	0.34362733281590224	2	Kruskal-Wallis rank sum test	0.002	0.001	0.002	0.7347509528545157
Acidaminococcaceae Unclassified	1.0909090909090082	0.5795782787848335	2	Kruskal-Wallis rank sum test	0	0	0	0.7347509528545157
Acidaminococcus	1.0909090909090082	0.5795782787848335	2	Kruskal-Wallis rank sum test	0	0	0	0.7347509528545157
Alistipes	2.297001153402538	0.3171118980487756	2	Kruskal-Wallis rank sum test	0.0675	0.093	0.062	0.7347509528545157
Alphaproteobacteria Unclassified	1.0909090909090082	0.5795782787848335	2	Kruskal-Wallis rank sum test	0	0	0	0.7347509528545157
Atopostipes	2.8333333333333712	0.24252107463564412	2	Kruskal-Wallis rank sum test	0	0	0	0.7347509528545157
Bacteroidales Unclassified	3.1203336636934225	0.21010101673612752	2	Kruskal-Wallis rank sum test	0.031	0.02	0.03	0.7347509528545157
Bacteroides	5.174249917573358	0.07523603614239747	2	Kruskal-Wallis rank sum test	0.061	0.065	0.096	0.7347509528545157
Bacteroidetes Unclassified	1.0079365079364844	0.6041285612359352	2	Kruskal-Wallis rank sum test	0	0	0	0.7347509528545157
Barnesiella	1.0909090909090082	0.5795782787848335	2	Kruskal-Wallis rank sum test	0	0	0	0.7347509528545157
Betaproteobacteria Unclassified	1.0909090909090082	0.5795782787848335	2	Kruskal-Wallis rank sum test	0	0	0	0.7347509528545157
Butyricicoccus	1.5737112199673384	0.45527410630360265	2	Kruskal-Wallis rank sum test	0	0	5e-4	0.7347509528545157
Butyricimonas	1.0909090909090082	0.5795782787848335	2	Kruskal-Wallis rank sum test	0	0	0	0.7347509528545157
Clostridia Unclassified	1.0079365079364844	0.6041285612359352	2	Kruskal-Wallis rank sum test	0	0	0	0.7347509528545157
Clostridiales Incertae Sedis XIII Unclassified	2.8333333333333712	0.24252107463564412	2	Kruskal-Wallis rank sum test	0	0	0	0.7347509528545157
Clostridiales Unclassified	2.905481261350493	0.23392829769786802	2	Kruskal-Wallis rank sum test	0.0095000000000000015	0.022	0.032	0.7347509528545157
Clostridium XlVa	3.3222462592392294	0.18992554925881128	2	Kruskal-Wallis rank sum test	5e-4	0.002	0.001	0.7347509528545157
