genus	statistic	p.value	parameter	method	C	CWM	FRM	RM	p.value.adj	day
Bifidobacterium	9.627166104792206	0.02201630780109145	3	Kruskal-Wallis rank sum test	0.004	0.008	0	0.0025	0.2568569243460669	-1
Ruminococcaceae Unclassified	11.488226670608856	0.009358628569554227	3	Kruskal-Wallis rank sum test	0.0115	0.014	0.009000000000000001	0.008	0.2568569243460669	-1
Unclassified	9.938728304180461	0.019094212377406303	3	Kruskal-Wallis rank sum test	0.007	0.004	0	0.0045000000000000005	0.2568569243460669	-1
Akkermansia	7.966675233781191	0.04670547226833925	3	Kruskal-Wallis rank sum test	0.0025	0.008	5e-4	0.0015	0.2582167176816844	-1
Clostridiales Unclassified	8.293677384550927	0.04031662297096048	3	Kruskal-Wallis rank sum test	0.017	0.017	0.01	0.0095	0.2582167176816844	-1
Firmicutes Unclassified	7.747495007532501	0.05152890560120473	3	Kruskal-Wallis rank sum test	0.0015	0.001	5e-4	0	0.2582167176816844	-1
Porphyromonadaceae Unclassified	7.742540985427396	0.05164334353633688	3	Kruskal-Wallis rank sum test	0.5449999999999999	0.542	0.6519999999999999	0.6355	0.2582167176816844	-1
Oscillibacter	6.302022244230139	0.09780591626347247	3	Kruskal-Wallis rank sum test	0.001	0.003	0.004	5e-4	0.4279008836526921	-1
Turicibacter	5.666829299736826	0.1289939776453331	3	Kruskal-Wallis rank sum test	0.06	0.064	0.033	0.0315	0.5016432463985177	-1
Anaerofustis	4.3750000000001865	0.22371469300643596	3	Kruskal-Wallis rank sum test	0	0	0	0	0.594548907155009	-1
Bacteroidetes Unclassified	4.3750000000001865	0.22371469300643596	3	Kruskal-Wallis rank sum test	0	0	0	0	0.594548907155009	-1
Blautia	3.312663729459399	0.3458839749997293	3	Kruskal-Wallis rank sum test	0	0	0	0	0.594548907155009	-1
Butyricicoccus	3.920531368111554	0.2701741572468112	3	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.594548907155009	-1
Clostridiales Incertae Sedis XIII Unclassified	3.1898897058823126	0.3632642859132615	3	Kruskal-Wallis rank sum test	0	0	0	0	0.594548907155009	-1
Clostridium IV	3.521119610099452	0.3180332908200044	3	Kruskal-Wallis rank sum test	0	0	0	0	0.594548907155009	-1
Enterorhabdus	3.118478050617981	0.37371645592600566	3	Kruskal-Wallis rank sum test	0	0.001	0	0.001	0.594548907155009	-1
Erysipelotrichaceae Unclassified	4.7695267040370215	0.18947263062598246	3	Kruskal-Wallis rank sum test	0.003	0.001	0	0.001	0.594548907155009	-1
Lachnospiraceae Unclassified	3.147805610955387	0.3693930706711489	3	Kruskal-Wallis rank sum test	0.0955	0.132	0.068	0.0755	0.594548907155009	-1
Lactobacillus	3.171026332522597	0.36600048072318203	3	Kruskal-Wallis rank sum test	0.040499999999999994	0.034	0.022	0.026000000000000002	0.594548907155009	-1
Olsenella	3.5447992931077925	0.3149981155376587	3	Kruskal-Wallis rank sum test	0.001	0.001	0	0	0.594548907155009	-1
Pseudoflavonifractor	4.096180843229311	0.25126388266036576	3	Kruskal-Wallis rank sum test	0	0	5e-4	0	0.594548907155009	-1
Weissella	4.3750000000001865	0.22371469300643596	3	Kruskal-Wallis rank sum test	0	0	0	0	0.594548907155009	-1
Bacteroides	2.8792113612328136	0.41062575732606355	3	Kruskal-Wallis rank sum test	0.0605	0.069	0.076	0.05	0.5988292294338426	-1
Peptostreptococcaceae Unclassified	2.9175035868004833	0.4045201680429839	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5988292294338426	-1
Coriobacteriaceae Unclassified	2.6907155932335303	0.44180738854683277	3	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.6185303439655658	-1
Dorea	2.3838224508725383	0.49665317279165627	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6685715787579989	-1
