genus	method	C	CWM	RM	FRM	CWM-C	RM-C	RM-CWM	FRM-C	FRM-CWM	FRM-RM
Acetatifactor	Kruskal-Wallis rank sum test	0.004	0	0	0	0.007233110872170599	8.534622192345204e-4	0.03257724405409634	0.014588188392126916	0.14593027500074388	NA
Akkermansia	Kruskal-Wallis rank sum test	0.0905	0.208	0.001	0.002	0.1324313154427571	0.002847836106773336	4.953992691871324e-4	0.07173789089196109	0.02415235649262952	0.381605525962406
Anaeroplasma	Kruskal-Wallis rank sum test	0	0	0	0	0.029575746588201283	0.04456277479090001	NA	0.16472529567135283	NA	NA
Bifidobacterium	Kruskal-Wallis rank sum test	5e-4	0.003	0.011	0.017	0.2854851391454416	0.00989047802290265	0.00989047802290265	0.00989047802290265	0.00989047802290265	0.22450931799305493
Blautia	Kruskal-Wallis rank sum test	0	0.001	0	0	0.023906400407808184	NA	0.011476669628100417	NA	0.05263609197167688	NA
Butyricicoccus	Kruskal-Wallis rank sum test	0.001	0	0	0	0.0020075245874731705	0.0020075245874731705	0.5515106493823471	0.03332413483455906	0.6643894431719992	NA
Clostridiales Unclassified	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.02647121945176793	0.0032658717620934856	0.3224614836143352	0.025041870748059247	0.3224614836143352	0.6055766163353464
Clostridium XlVa	Kruskal-Wallis rank sum test	0.004	0.002	0	0	0.3934005925560059	0.0025079991970061934	0.014520311399084957	0.017711674125737608	0.05400496576719455	0.6055766163353464
Enterobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0.0015	0.136	0.2545	0.183	7.230745681939732e-4	7.230745681939732e-4	0.01738868352629234	0.007995764861480771	0.19002531839909653	0.7920228402468403
Firmicutes Unclassified	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.0013843535911906603	0.004141565687110356	NA	0.04480919200690338	NA	NA
Lachnospiraceae Unclassified	Kruskal-Wallis rank sum test	0.1495	0.049	0.0165	0.002	0.05777927536027235	0.004721430447665853	0.06237483853487959	0.04673115364083985	0.2187361220643323	0.5616026386692949
Oscillibacter	Kruskal-Wallis rank sum test	0.004	0	0	0	4.201267528350095e-4	4.201267528350095e-4	0.3081595668459257	0.014248139878903446	0.47986959146153846	NA
Peptostreptococcaceae Unclassified	Kruskal-Wallis rank sum test	0	0.009	0.023	0.033	0.002174560690630799	9.121443671531752e-4	0.013800399489572839	0.002270727332328736	0.01016789435285763	0.315450260223347
Porphyromonadaceae Unclassified	Kruskal-Wallis rank sum test	0.2835	0	0	0.10099999999999999	1.7690976374976677e-4	0.005573693168449762	0.6657259609374265	0.7241647241647241	0.0025121962764913176	0.018325832181465277
Ruminococcaceae Unclassified	Kruskal-Wallis rank sum test	0.0165	0.003	0	0	0.005167198774892797	1.764569747412866e-4	9.867662459153114e-4	0.005167198774892797	0.015127862398457594	NA
Turicibacter	Kruskal-Wallis rank sum test	0.015	0.038	0.012	0.007	0.07372514825377127	0.6699172690641739	0.078298650056271707	0.4088222299072719	0.07260286155720813	0.130967137800705
Unclassified	Kruskal-Wallis rank sum test	0.0045000000000000005	0	0	0	6.19505558039354e-4	6.19505558039354e-4	0.3077827331261439	0.014248139878903446	0.47937091795406145	NA
