otu	method	C	WMR	CWM	RM	FRM	WMR-C	CWM-C	CWM-WMR	RM-C	RM-WMR	RM-CWM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM
Bacteroides (OTU 1)	Kruskal-Wallis rank sum test	0.1065	0.591	0.459	0.4745	0.2365	0.0024975024975024975	0.12054811224992476	0.12054811224992476	0.08915732552474517	0.12054811224992476	0.6469425830292176	0.3124432915871451	0.0024975024975024975	0.18098225851123784	0.12054811224992476
Akkermansia (OTU 3)	Kruskal-Wallis rank sum test	0.0085	0.008	0.234	0.1905	0.0865	0.8687349473035775	7.166730327186938e-4	0.02058099140869568	9.705854754416023e-4	0.023245465926317505	0.2567939234686228	0.03951044434880453	0.2567939234686228	0.0021547080370609784	0.021978021978021976
Lachnospiraceae (OTU 4)	Kruskal-Wallis rank sum test	0.0815	0.047	0.059	0.034	0.0095	0.05992150264596085	0.23656635349976735	0.7053513720635047	0.036945596368334145	0.7053513720635047	0.5736768596326629	0.008791354707530652	0.042149386760878364	0.1753812176270361	0.02369553006360252
Porphyromonadaceae (OTU 6)	Kruskal-Wallis rank sum test	0	0	0	0	0.11649999999999999	0.33395282599950543	0.12237523390811644	0.33395282599950543	0.12949210105339048	0.33395282599950543	1	0.05840351593137564	0.0026842541232227142	0.0021100371027756477	0.0021100371027756477
Porphyromonadaceae (OTU 8)	Kruskal-Wallis rank sum test	0.0295	0	0	0	0.0305	0.06903588263631547	0.06455420195982028	1	0.12022869335327135	0.6295390736229147	0.6295390736229147	1	0.0021100371027756477	0.0021100371027756477	0.02158773162563176
Porphyromonadaceae (OTU 10)	Kruskal-Wallis rank sum test	0.021	0	0	0	0.11099999999999999	0.026556813962447832	0.022575324567213746	1	0.01485289507648875	0.4342535898355452	0.4342535898355452	0.07480603700545874	0.001406691401850432	0.001276115133487224	0.001276115133487224
Lachnospiraceae (OTU 11)	Kruskal-Wallis rank sum test	0.031	0.003	0	5e-4	5e-4	0.002041361906974393	2.5823784064520614e-4	0.009191013123634073	0.02817661396223362	0.9066299271840712	0.05672661269473911	0.005523207439388759	0.6728635175978231	0.08343743673108814	0.8085817185217224
Lactobacillus (OTU 13)	Kruskal-Wallis rank sum test	0.014	0.004	0.017	0.009	0.0025	0.028393077238437904	0.6885377027223717	0.09661315623428397	0.1842592996867692	0.1842592996867692	0.1842592996867692	0.028393077238437904	0.2775749353732756	0.09661315623428397	0.1842592996867692
Porphyromonadaceae (OTU 14)	Kruskal-Wallis rank sum test	0	0	0	0	0.059	1	1	1	0.5875911311089415	0.5875911311089415	0.5875911311089415	8.507434223248161e-4	0.0010550185513878239	8.507434223248161e-4	8.507434223248161e-4
Porphyromonadaceae (OTU 15)	Kruskal-Wallis rank sum test	0	0	0	0	0.058499999999999996	0.3140514390582677	0.3140514390582677	NA	0.6191189917871756	0.4141352820302089	0.4141352820302089	0.035278895917916095	0.0010630344383704333	0.0010630344383704333	0.0012660222616653887
