genus	statistic	p.value	parameter	method	C	CWM	FRM	RM	p.value.adj
Bacteroidales Unclassified	40.686064318529894	7.622584782056191e-9	3	Kruskal-Wallis rank sum test	0	0	0.013999999999999999	0	3.0490339128224763e-7
Unclassified	30.787867746746215	9.421165605865739e-7	3	Kruskal-Wallis rank sum test	0.006500000000000001	0	0	0	1.8842331211731476e-5
Porphyromonadaceae Unclassified	26.82649615295614	6.401624809552277e-6	3	Kruskal-Wallis rank sum test	0.351	0	0.4615	0.075	8.535499746069703e-5
Firmicutes Unclassified	25.65903700189754	1.1240942105004404e-5	3	Kruskal-Wallis rank sum test	0.004	0	0.001	0	1.1240942105004403e-4
Peptostreptococcaceae Unclassified	23.489489085659653	3.19249443051163e-5	3	Kruskal-Wallis rank sum test	0	0.0115	0	0	2.553995544409304e-4
Clostridiales Unclassified	22.932505489446093	4.171250555549706e-5	3	Kruskal-Wallis rank sum test	0.0325	0.002	0.018500000000000003	0	2.780833703699804e-4
Anaeroplasma	18.284821986258592	3.8418468566308667e-4	3	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.002195341060931924
Butyricicoccus	17.941877584966736	4.5215837186301865e-4	3	Kruskal-Wallis rank sum test	0.001	0	0.001	0.002	0.0022607918593150933
Oscillibacter	17.383384819064442	5.893443411030517e-4	3	Kruskal-Wallis rank sum test	0.008	0.001	0.002	0	0.00261930818268023
Acetatifactor	16.19982946554149	0.0010318699310272778	3	Kruskal-Wallis rank sum test	0.011	0.001	0.0045000000000000005	0.001	0.004127479724109111
Alistipes	14.062939178638356	0.0028207215505332505	3	Kruskal-Wallis rank sum test	0	0	0.002	0	0.010257169274666364
Ruminococcaceae Unclassified	13.242843246718081	0.004139818021993799	3	Kruskal-Wallis rank sum test	0.032	0.0135	0.0135	0.008	0.013799393406645998
Akkermansia	12.184444421923141	0.0067773129676424035	3	Kruskal-Wallis rank sum test	0.0025	0.138	0.081	0.1555	0.020853270669668935
Enterobacteriaceae Unclassified	7.823398707213177	0.049806063737438726	3	Kruskal-Wallis rank sum test	0.0015	0.0045000000000000005	0	0	0.14230303924982493
Bacteroides	6.467821556132805	0.09094021727442637	3	Kruskal-Wallis rank sum test	0.241	0.47750000000000004	0.1335	0.45399999999999996	0.2264839549449928
Clostridium IV	6.338458994708996	0.09625568085162194	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2264839549449928
Coriobacteriaceae Unclassified	6.610300925925945	0.08541254554257474	3	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.2264839549449928
Bacteroidetes Unclassified	5.999999999999857	0.11161022509471959	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2480227224327102
