genus	statistic	p.value	parameter	method	WM	C	WMR	p.value.adj
Pseudoflavonifractor	4.926605504587149	0.08515324594409214	2	Kruskal-Wallis rank sum test	0.007	0.003	0.009	0.635924594204184
Pseudomonas	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Roseburia	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Ruminococcaceae Unclassified	1.7090909090909108	0.4254765455645461	2	Kruskal-Wallis rank sum test	0.022	0.032	0.041	0.635924594204184
Ruminococcus2	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Senegalimassilia	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Staphylococcus	1.3170731707317105	0.5176082560081995	2	Kruskal-Wallis rank sum test	0	0.001	0	0.635924594204184
Subdoligranulum	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Turicibacter	4.429223744292234	0.10919588799037587	2	Kruskal-Wallis rank sum test	0.011	0.022	0.021	0.635924594204184
Unclassified	5.848341232227488	0.053709219005937794	2	Kruskal-Wallis rank sum test	0.001	0.003	0	0.635924594204184
Veillonella	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Veillonellaceae Unclassified	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Clostridium IV	0.9938650306748537	0.6083940396923198	2	Kruskal-Wallis rank sum test	0	0	0.001	0.6939494515240522
Bifidobacterium	0.8088235294117647	0.6673692655755208	2	Kruskal-Wallis rank sum test	0	0	0	0.738150854348682
Streptococcus	0.8088235294117647	0.6673692655755208	2	Kruskal-Wallis rank sum test	0	0	0	0.738150854348682
Ruminococcus	0.5441176470588229	0.7618094474513641	2	Kruskal-Wallis rank sum test	0	0	0	0.8300311890141729
Bacillus	0.24000000000000055	0.8869204367171573	2	Kruskal-Wallis rank sum test	0	0	0	0.9072676406590051
Faecalibacterium	0.24000000000000055	0.8869204367171573	2	Kruskal-Wallis rank sum test	0	0	0	0.9072676406590051
Fusobacterium	0.24000000000000055	0.8869204367171573	2	Kruskal-Wallis rank sum test	0	0	0	0.9072676406590051
Olsenella	0.2222222222222412	0.8948393168143612	2	Kruskal-Wallis rank sum test	0	0	0	0.9072676406590051
Parabacteroides	0.24000000000000055	0.8869204367171573	2	Kruskal-Wallis rank sum test	0	0	0	0.9072676406590051
Blautia	0.15533980582524562	0.9252698050061665	2	Kruskal-Wallis rank sum test	0.001	0.002	0.001	0.9252698050061665
Acetitomaculum	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
