day	statistic	p.value	parameter	method	WM	C	WMC	WMR	p.value.adj
6	16.452454212454214	2.675438429373064e-4	2	Kruskal-Wallis rank sum test	17.482	83.693	12.311	NA	5.350876858746128e-4
30	10.588235294117645	0.005021042753348036	2	Kruskal-Wallis rank sum test	52.972	87.6645	NA	54.257999999999996	0.005021042753348036
