otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	p.value.adj
Akkermansia (OTU 250)	5.680084745762786	0.3386026315944851	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5731653484532345
Lachnospiraceae (OTU 64)	5.6549298555424015	0.3412561120663403	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0015	0.5744477886450062
Porphyromonadaceae (OTU 258)	5.594827586206884	0.34765969429347643	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5787960844556229
Lachnospiraceae (OTU 416)	5.594827586206884	0.34765969429347643	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5787960844556229
Lachnospiraceae (OTU 211)	5.510593220339004	0.3567856940089628	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5907435261459877
Clostridiales (OTU 107)	5.231527093595975	0.3882827820635238	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6238202804932942
Oscillibacter (OTU 119)	5.107604881848488	0.4028897049969748	5	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0	0.6238202804932942
Clostridiales (OTU 137)	5.267857142857115	0.3840726163918224	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6238202804932942
Lachnospiraceae (OTU 162)	4.999999999999824	0.4158801869955294	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6238202804932942
Bacteria (OTU 168)	4.999999999999824	0.4158801869955294	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6238202804932942
Ruminococcaceae (OTU 169)	5.057142857142863	0.40894630917617847	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6238202804932942
Lachnospiraceae (OTU 183)	5.231527093595975	0.3882827820635238	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6238202804932942
Lachnospiraceae (OTU 222)	4.999999999999824	0.4158801869955294	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6238202804932942
Bacteroides (OTU 256)	4.999999999999824	0.4158801869955294	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6238202804932942
Coriobacteriaceae (OTU 260)	5.231527093595975	0.3882827820635238	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6238202804932942
Blautia (OTU 273)	4.999999999999824	0.4158801869955294	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6238202804932942
Lachnospiraceae (OTU 295)	4.999999999999824	0.4158801869955294	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6238202804932942
Lachnospiraceae (OTU 301)	5.14629120879119	0.3982889227284902	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6238202804932942
Anaerotruncus (OTU 745)	4.999999999999824	0.4158801869955294	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6238202804932942
Clostridium (OTU 803)	4.999999999999824	0.4158801869955294	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6238202804932942
Lachnospiraceae (OTU 864)	4.999999999999824	0.4158801869955294	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6238202804932942
Pseudoflavonifractor (OTU 955)	4.999999999999824	0.4158801869955294	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6238202804932942
Anaerotruncus (OTU 1811)	4.999999999999824	0.4158801869955294	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6238202804932942
Clostridiales (OTU 3397)	4.999999999999824	0.4158801869955294	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6238202804932942
Lachnospiraceae (OTU 184)	4.820735711503018	0.438147438906388	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6539836157075644
Lachnospiraceae (OTU 32)	4.495857908884154	0.48043782694077186	5	Kruskal-Wallis rank sum test	0.003	0.0045000000000000005	0.0035	0	0.0015	0	0.6878094950347686
Lachnospiraceae (OTU 42)	3.4487372775865883	0.6311581296421261	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Ruminococcus (OTU 93)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 121)	3.713481573561947	0.5913589872604178	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Erysipelotrichaceae (OTU 142)	3.432727272727231	0.633590392498883	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 144)	4.5346700083543565	0.475258154288948	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 150)	4.141645021645046	0.5292081569844972	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Ruminococcaceae (OTU 153)	4.395216450216379	0.4940243053592533	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 160)	4.2533491507165735	0.5135459088061288	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 163)	4.455461348995883	0.4858645820302937	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Clostridiales (OTU 171)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 174)	4.5346700083543565	0.475258154288948	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 185)	3.5488721804510703	0.6160058930348217	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Clostridiales (OTU 195)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Akkermansia (OTU 200)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 203)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Acetatifactor (OTU 206)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Ruminococcaceae (OTU 207)	3.5603448275861456	0.6142770068138615	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Bacteria (OTU 215)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Ruminococcaceae (OTU 216)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Ruminococcaceae (OTU 219)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 220)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 225)	4.000000000000091	0.5494159513527671	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Clostridiales (OTU 226)	3.285714285714236	0.6560295183664955	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
Lachnospiraceae (OTU 227)	3.8939014202170608	0.5647905856809213	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6878094950347686
