otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	p.value.adj
Clostridiales (OTU 115)	15.284101645551141	0.009214950052446087	5	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0.03490162332363955
Lachnospiraceae (OTU 102)	15.116110896084702	0.00987756602971503	5	Kruskal-Wallis rank sum test	0	0.001	0	0.002	0	0	0.03694941366671178
Ruminococcaceae (OTU 50)	14.81600803487633	0.011178128244810447	5	Kruskal-Wallis rank sum test	0	0.0025	0	0	0	0	0.041304547050945925
Lachnospiraceae (OTU 88)	14.613907051318506	0.012145949852695228	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.04381217625436493
Lachnospiraceae (OTU 90)	14.63641915563777	0.012034252328037093	5	Kruskal-Wallis rank sum test	0	0.002	0	0	0.001	0.001	0.04381217625436493
Lachnospiraceae (OTU 113)	14.442950492255294	0.013027554390415922	5	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0	0.046439399768188526
Porphyromonadaceae (OTU 212)	14.25478927203058	0.014069448284889504	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.04957026546885488
Lachnospiraceae (OTU 16)	14.187431272306359	0.014461655483031797	5	Kruskal-Wallis rank sum test	0.0025	0.0055	0	0.0055	0.0035	0.0025	0.05036645530297281
Lachnospiraceae (OTU 94)	14.125976904212893	0.01482868894983126	5	Kruskal-Wallis rank sum test	0.0015	0.001	0	0.0025	0.003	0.0015	0.051057872179532636
Lachnospiraceae (OTU 133)	13.828418572065427	0.016736853773428543	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.05572820542141592
Clostridiales (OTU 179)	13.828418572065427	0.016736853773428543	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.05572820542141592
Clostridiales (OTU 208)	13.830473925598735	0.016722894704706483	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.05572820542141592
Coriobacteriaceae (OTU 158)	13.449364651520987	0.01951263464420491	5	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0.06426443801297922
Pseudoflavonifractor (OTU 69)	13.383167112104308	0.02004081751335747	5	Kruskal-Wallis rank sum test	0.0025	0.001	0.001	0	0	0	0.06529427641448725
Lachnospiraceae (OTU 135)	13.205677899807522	0.021525721695624504	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.06938610291249175
Lachnospiraceae (OTU 117)	12.969003088318207	0.023670980671290524	5	Kruskal-Wallis rank sum test	0	0.002	0	5e-4	0	0	0.07511994565380811
Blautia (OTU 132)	12.955394081126991	0.02380037882100851	5	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0.07511994565380811
Lachnospiraceae (OTU 74)	12.624090720508914	0.02716799611888251	5	Kruskal-Wallis rank sum test	5e-4	0.001	0	0	0	5e-4	0.08399900840838165
Lachnospiraceae (OTU 193)	12.642857142857135	0.02696563301193306	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.08399900840838165
Lachnospiraceae (OTU 58)	12.266076817948893	0.031318313257650665	5	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0.09585301936432476
Lachnospiraceae (OTU 164)	12.219625440864402	0.0318992315956728	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.09665467173488859
Porphyromonadaceae (OTU 7)	12.163987507754767	0.03260856783203666	5	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0.006	0.09782570349610997
