otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	1RM1	WMN	CN	p.value.adj
Lachnospiraceae (OTU 90)	37.10249169110457	4.485557448760033e-6	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	5e-4	4.099301112894586e-5
Lachnospiraceae (OTU 70)	36.90830435306638	4.8820259473512106e-6	7	Kruskal-Wallis rank sum test	0.001	0	0.001	0	0	0.002	0.001	0	4.3410446937258056e-5
Lachnospiraceae (OTU 86)	36.76637875101375	5.193585136214231e-6	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0.001	0.002	4.4965513416170574e-5
Oscillibacter (OTU 57)	36.68834827961446	5.373195799852479e-6	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.003	0	0.001	4.53277286705504e-5
Porphyromonadaceae (OTU 8)	35.52055702975286	8.926441172985573e-6	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.02	0	0	7.341997864780633e-5
Lachnospiraceae (OTU 63)	34.786086932679964	1.2268670331856563e-5	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0.002	0	0	0.0015	9.84485985166051e-5
Ruminococcaceae (OTU 92)	34.27451379929419	1.5302027636647975e-5	7	Kruskal-Wallis rank sum test	0	0.003	0	0	0	0	0	5e-4	1.1986588315374247e-4
Lactobacillus (OTU 9)	34.06085322766322	1.6778796566734836e-5	7	Kruskal-Wallis rank sum test	0.0135	0.017	0.002	0.004	0.006	0.004	0.005	0.018500000000000003	1.2837730396408746e-4
Porphyromonadaceae (OTU 7)	33.99651009171068	1.7250547722136342e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.058	0.0015	0.003	1.2898705001324675e-4
Bacteroides (OTU 1)	33.84997660087988	1.837445424542914e-5	7	Kruskal-Wallis rank sum test	0.56	0.002	0.438	0.426	0.475	0.133	0.7155	0.003	1.3433767659435972e-4
Lachnospiraceae (OTU 125)	33.42934056007227	2.2019207444774012e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0	1.5748520107240543e-4
Lachnospiraceae (OTU 49)	32.576061025216674	3.175064028226731e-5	7	Kruskal-Wallis rank sum test	0	0	0.004	0	0	0.001	0	0	2.2225448197587118e-4
Clostridium (OTU 51)	32.1774317197122	3.765206522060989e-5	7	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0	0	0	2.5807353036626365e-4
Ruminococcaceae (OTU 118)	31.515527637467795	4.993438011453904e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	3.3527369505476214e-4
Ruminococcaceae (OTU 101)	31.33939290752548	5.382168449422856e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	3.5414668397202394e-4
Clostridium (OTU 22)	30.804872855889354	6.75424636013697e-5	7	Kruskal-Wallis rank sum test	0	0.007	0	5e-4	0	0.003	0	0.0045000000000000005	4.2796152942296286e-4
Dorea (OTU 134)	30.801424698940846	6.764133595742879e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.002	0	4.2796152942296286e-4
Lachnospiraceae (OTU 111)	30.678567653182274	7.125893303263343e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.002	4.423431880704981e-4
