otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	1RM1	WMN	CN	p.value.adj
Lachnospiraceae (OTU 83)	12.408664421997473	0.08789559196204487	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.17961273140070041
Clostridium (OTU 126)	12.074198807640942	0.09814505218808628	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.198096455029941
Lachnospiraceae (OTU 135)	12.08637645902078	0.09775387404002739	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.198096455029941
Lachnospiraceae (OTU 68)	11.67952094852516	0.11160286631296093	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.002	0	0	0.22388623790831794
Anaerostipes (OTU 159)	11.60209130800095	0.11442723626575413	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.2281609741298976
Lachnospiraceae (OTU 113)	11.45814211822195	0.11984602568016345	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.2375261593299625
Clostridiales (OTU 35)	11.410709504685489	0.1216803671818696	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23969321057047863
Clostridium (OTU 172)	11.392361111110977	0.12239653305726568	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.23969321057047863
Lachnospiraceae (OTU 16)	11.261234858172127	0.12762304104799083	7	Kruskal-Wallis rank sum test	0.005	0.009	0.004	0.0035	0.229	0.004	0.005	0.0055	0.24724525096805205
Acetatifactor (OTU 138)	11.25796317606453	0.12775590475552842	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.24724525096805205
Lachnospiraceae (OTU 148)	10.92520442520446	0.14191500724147582	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.2730411542833073
Lachnospiraceae (OTU 326)	10.790941543953544	0.14800158100281216	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.2830960473832861
Coriobacteriaceae (OTU 158)	10.58645212811893	0.15770260396934266	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.2999084202653973
Lachnospiraceae (OTU 220)	10.562804878048704	0.1588587463514426	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.30037084798634833
Lachnospiraceae (OTU 205)	10.403949474165403	0.16681407712774235	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3136104650001556
Firmicutes (OTU 270)	10.382411764705717	0.16791825587162607	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.31389264876002826
Firmicutes (OTU 155)	10.111337868480378	0.1823513674709667	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3389468920788025
Bacteroides (OTU 178)	9.989454265387796	0.18917187311989558	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.34964913627216654
Porphyromonadaceae (OTU 21)	9.911596119929369	0.19363884066409903	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.3559060255781485
Olsenella (OTU 114)	9.837146819861468	0.19799159439453032	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.36188463642111374
Lachnospiraceae (OTU 150)	9.466770679151264	0.22085714849581184	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.401447524061448
Clostridium (OTU 145)	9.305284552845556	0.23147461648716494	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.4184348836498751
Lachnospiraceae (OTU 181)	9.183802308802527	0.2397278558728108	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.4286438292508411
Akkermansia (OTU 347)	9.183802308802527	0.2397278558728108	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.4286438292508411
Lachnospiraceae (OTU 123)	9.001672070499117	0.2525360209183206	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.44910459936285124
Blautia (OTU 19)	8.739941134333897	0.27187039313276257	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.48088902871332734
Clostridiales (OTU 141)	8.682800374095827	0.276238886447652	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.4860031745522861
Clostridiales (OTU 137)	8.215902546008673	0.31394153149254883	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.5493976801119604
Lachnospiraceae (OTU 42)	7.9727689884968465	0.3350012385562545	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.5831503041534801
Lachnospiraceae (OTU 167)	7.9455443322106944	0.3374202608444872	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.5842698200938752
Lachnospiraceae (OTU 17)	7.839884647445344	0.34692437405954984	7	Kruskal-Wallis rank sum test	0.006500000000000001	0.007	0.006	0.004999999999999999	0.041	0.004	0.017	0.0045000000000000005	0.597581775212523
Clostridiales (OTU 136)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Ruminococcaceae (OTU 147)	7.350736458663137	0.39329691976169406	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Lachnospiraceae (OTU 152)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Ruminococcaceae (OTU 169)	7.131707317073062	0.4152967021908829	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Clostridiales (OTU 179)	6.9686507936511	0.4321512223566093	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Lachnospiraceae (OTU 183)	6.9686507936511	0.4321512223566093	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Clostridiales (OTU 197)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Firmicutes (OTU 198)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Ruminococcaceae (OTU 207)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Ruminococcaceae (OTU 216)	7.097058823529605	0.41884464842808117	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Lachnospiraceae (OTU 225)	7.269342818428281	0.40138510435082814	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Clostridium (OTU 268)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Alistipes (OTU 289)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Lachnospiraceae (OTU 295)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Enterorhabdus (OTU 358)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Lachnospiraceae (OTU 359)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Butyricicoccus (OTU 402)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Lachnospiraceae (OTU 434)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Anaerofustis (OTU 443)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Akkermansia (OTU 458)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Megasphaera (OTU 472)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Burkholderiales (OTU 522)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Lachnospiraceae (OTU 546)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Sutterella (OTU 628)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Clostridiales (OTU 630)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Clostridiales (OTU 680)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Lachnospiraceae (OTU 682)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Bacteria (OTU 708)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Lachnospiraceae (OTU 845)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Lachnospiraceae (OTU 886)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Turicibacter (OTU 900)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Blautia (OTU 970)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Lactobacillaceae (OTU 1035)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Paraprevotella (OTU 1529)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Succiniclasticum (OTU 1572)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Bacteroides (OTU 1958)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Lachnospiraceae (OTU 2595)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Lachnospiraceae (OTU 2701)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Ruminococcaceae (OTU 2717)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Bacteria (OTU 3690)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Bacteria (OTU 3739)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Pasteurellaceae (OTU 3951)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Lachnospiraceae (OTU 5388)	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6299551782438186
Firmicutes (OTU 96)	6.457645502645376	0.48743946264799987	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6824152477071997
Lachnospiraceae (OTU 151)	6.120441361404721	0.5257586486139559	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7329432008219979
Faecalibacterium (OTU 262)	6.087478442966373	0.529572944965517	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7351455649521311
Lachnospiraceae (OTU 161)	6.054755475337557	0.5333706001341567	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7373064178325107
Lachnospiraceae (OTU 124)	4.937411764706335	0.6676010913385395	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.878563036201518
Lachnospiraceae (OTU 149)	5.082552431950302	0.6498895401550988	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.878563036201518
Lachnospiraceae (OTU 157)	4.938095238095694	0.6675176954998001	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.878563036201518
Lachnospiraceae (OTU 163)	5.146472556894426	0.6420937938440492	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.878563036201518
Lachnospiraceae (OTU 164)	4.937411764706335	0.6676010913385395	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.878563036201518
Lachnospiraceae (OTU 184)	4.937411764706335	0.6676010913385395	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.878563036201518
Lachnospiraceae (OTU 189)	5.108508579773585	0.6467232479103519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.878563036201518
Lachnospiraceae (OTU 222)	4.937411764706335	0.6676010913385395	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.878563036201518
Lachnospiraceae (OTU 241)	5.146472556894426	0.6420937938440492	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.878563036201518
Coriobacteriaceae (OTU 260)	5.114972899728917	0.645934817752984	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.878563036201518
Clostridiales (OTU 329)	4.938095238095694	0.6675176954998001	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.878563036201518
Ruminococcaceae (OTU 357)	4.938095238095694	0.6675176954998001	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.878563036201518
Lachnospiraceae (OTU 104)	4.732038532200268	0.6926254802527096	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	5e-4	5e-4	0.9078636773033525
Enterococcus (OTU 187)	4.349146224146362	0.7387981195303652	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Prevotella (OTU 191)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Lactobacillus (OTU 221)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Parabacteroides (OTU 245)	4.349146224146362	0.7387981195303652	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Porphyromonadaceae (OTU 258)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Bacteroides (OTU 261)	4.349146224146362	0.7387981195303652	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Parabacteroides (OTU 275)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Bacteroides (OTU 282)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Bacteroides (OTU 309)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Phascolarctobacterium (OTU 331)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Erysipelotrichaceae (OTU 344)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Akkermansia (OTU 348)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Lactobacillus (OTU 412)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Lachnospiraceae (OTU 417)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Hungatella (OTU 427)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Odoribacter (OTU 465)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Lachnospiraceae (OTU 534)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Anaerotruncus (OTU 580)	4.349146224146362	0.7387981195303652	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Clostridiales (OTU 638)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Escherichia/Shigella (OTU 675)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Porphyromonadaceae (OTU 822)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Bacillaceae_ (OTU 1302)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Porphyromonadaceae (OTU 1608)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Megasphaera (OTU 2010)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Barnesiella (OTU 2117)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Lachnospiraceae (OTU 2623)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Bacteroides (OTU 3209)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Peptostreptococcaceae (OTU 3610)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Bradyrhizobium (OTU 5584)	3.7777777777768096	0.8049877750724519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.945860635710131
Lachnospiraceae (OTU 117)	3.2558679161085444	0.8603668223200357	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Ruminococcaceae (OTU 153)	3.6722943722942825	0.8166536541839082	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Streptococcus (OTU 166)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Lachnospiraceae (OTU 177)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Firmicutes (OTU 188)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Lachnospiraceae (OTU 203)	3.2558679161085444	0.8603668223200357	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Bacteria (OTU 209)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Bacteria (OTU 223)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Listeria (OTU 228)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Anaerotruncus (OTU 234)	2.835036876703459	0.8998317391341865	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Bacteroides (OTU 237)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Lachnospiraceae (OTU 239)	3.6722943722942825	0.8166536541839082	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Pseudoflavonifractor (OTU 240)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Clostridiales (OTU 251)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Lachnospiraceae (OTU 259)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Olsenella (OTU 274)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Lachnospiraceae (OTU 301)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Porphyromonadaceae (OTU 325)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Lachnospiraceae (OTU 340)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Escherichia/Shigella (OTU 342)	2.810846560846181	0.9019317395112534	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Parasutterella (OTU 356)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Bacteroides (OTU 367)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Bacteria (OTU 381)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Porphyromonadaceae (OTU 388)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Ruminococcaceae (OTU 407)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Clostridium (OTU 424)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Clostridiales (OTU 436)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Lachnospiraceae (OTU 476)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Akkermansia (OTU 486)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Clostridia (OTU 529)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Lachnospiraceae (OTU 1049)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Lachnospiraceae (OTU 1056)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Lachnospiraceae (OTU 1120)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Prevotella (OTU 1363)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Porphyromonadaceae (OTU 2099)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Clostridiales (OTU 2699)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Lachnospiraceae (OTU 3094)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Bacteria (OTU 3921)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Porphyromonadaceae (OTU 4577)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Lachnospiraceae (OTU 5114)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Ruminococcaceae (OTU 5321)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Lachnospiraceae (OTU 5409)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Lachnospiraceae (OTU 5716)	2.440000000000228	0.9315469537075372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9488512314853861
Bacteroides (OTU 256)	2.1339947089941007	0.9520530681376531	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9549556689551458
Bacteroides (OTU 296)	2.1339947089941007	0.9520530681376531	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9549556689551458
Akkermansia (OTU 306)	2.1339947089941007	0.9520530681376531	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9549556689551458
Turicibacter (OTU 374)	2.1339947089941007	0.9520530681376531	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9549556689551458
Clostridium_sensu (OTU 397)	2.1339947089941007	0.9520530681376531	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9549556689551458
Coriobacteriaceae (OTU 182)	1.363944667558635	0.9866500986830264	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9866500986830264
Ruminococcus (OTU 93)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 99)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 100)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 105)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 130)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 133)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Alistipes (OTU 139)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 146)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Staphylococcus (OTU 156)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 162)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 168)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 170)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 171)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 173)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 185)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 194)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 195)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
