genus	method	C	WMR	CWM	RM	FRM	WMR-C	CWM-C	CWM-WMR	RM-C	RM-WMR	RM-CWM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM
Acetatifactor	Kruskal-Wallis rank sum test	0.011	0.002	0.001	0.001	0.0045000000000000005	0.02236265271238469	0.01343884678654438	0.9526653817882507	0.0033635768765798656	0.4000356912370709	0.5645613353891326	0.049659037079243795	0.4000356912370709	0.4000356912370709	0.10963454462397769
Akkermansia	Kruskal-Wallis rank sum test	0.0025	0.006	0.138	0.1555	0.081	0.622848161967673	0.031972377921610846	0.0841240887277455	0.013600451325973942	0.04727537061439585	0.7805662957864961	0.18514018373901756	0.5106967142179811	0.3400748555736645	0.2508439273145156
Alistipes	Kruskal-Wallis rank sum test	0	0	0	0	0.002	NA	0.536101864250067	0.536101864250067	NA	NA	0.536101864250067	0.06797840497779754	0.06651242720969935	0.0558178381719473	0.0558178381719473
Anaeroplasma	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.03154960862042678	0.011899322748631643	NA	0.019002191080710062	NA	NA	0.06293645460621415	NA	NA	NA
Bacteroidales Unclassified	Kruskal-Wallis rank sum test	0	0	0	0	0.013999999999999999	NA	NA	NA	NA	NA	NA	7.800425598315561e-4	5.68318586335836e-4	3.2554076381771e-5	1.4971488225369042e-4
Bacteroides	Kruskal-Wallis rank sum test	0.241	0.576	0.47750000000000004	0.45399999999999996	0.1335	0.003153180299045333	0.2822499633302266	0.3546170821574248	0.03999867911326991	0.3864391250144071	0.9444075804598334	0.445410121799892	0.003153180299045333	0.445410121799892	0.06914327761040794
Butyricicoccus	Kruskal-Wallis rank sum test	0.001	0.001	0	0.002	0.001	1	0.003146778002737294	0.006453329416875316	0.9476839678669905	0.9476839678669905	0.003146778002737294	1	1	0.003146778002737294	0.9476839678669905
Clostridiales Unclassified	Kruskal-Wallis rank sum test	0.0325	0.003	0.002	0	0.018500000000000003	0.004789149279473352	8.936561393169246e-4	0.7919381404894675	8.936561393169246e-4	0.18218663761700934	0.18218663761700934	0.1541315827030113	0.09476027887586595	0.06865416272105315	0.026524266538944245
Firmicutes Unclassified	Kruskal-Wallis rank sum test	0.004	0	0	0	0.001	0.0024931147150400812	2.0795211271339004e-4	NA	0.001869005429270356	0.4414183267820536	0.3138933523627842	0.1702574954431496	0.05130958670462522	0.008332755966921936	0.05945174083991876
Oscillibacter	Kruskal-Wallis rank sum test	0.008	0.001	0.001	0	0.002	0.34917142669264456	0.03765303189945223	1	8.954137149709291e-4	0.10490988573765377	0.028876225288401773	0.34917142669264456	1	1	0.1713384555320078
Peptostreptococcaceae Unclassified	Kruskal-Wallis rank sum test	0	0	0.0115	0	0	0.3513116315704451	0.004688811397107703	0.009285565153688473	0.3513116315704451	0.8356676979255002	0.004688811397107703	NA	0.3513116315704451	0.009285565153688473	0.3887516513602132
Porphyromonadaceae Unclassified	Kruskal-Wallis rank sum test	0.351	0	0	0.075	0.4615	0.04728785891004824	4.313254709521141e-4	0.23394181632642588	0.042162543666306666	0.7881885584161819	0.12406005354274523	0.2264402264402265	0.003677260551695224	9.089221697522708e-4	0.0023587842836504534
Ruminococcaceae Unclassified	Kruskal-Wallis rank sum test	0.032	0.013000000000000001	0.0135	0.008	0.0135	0.01658817555243834	0.045725940280499915	0.7917372598870832	0.002410248560646577	0.6544847415283294	0.5493971198747751	0.045725940280499915	0.9059344836565678	0.7917372598870832	0.6872058658269038
Unclassified	Kruskal-Wallis rank sum test	0.006500000000000001	0	0	0	0	6.431718001496112e-4	3.2157347018529455e-5	NA	5.326030509169842e-4	0.4414183267820536	0.3138933523627842	0.029076323222281507	0.1356145392173797	0.03965086633122789	0.2834182102440368
