genus	method	WM	C	WMR	CWM	WMN	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	WMN-WM	WMN-C	WMN-WMR	WMN-CWM
Clostridiales Unclassified	Kruskal-Wallis rank sum test	0.003	0.065	0.0025	0.002	0.0015	0.024990623825412308	0.955629226919807	0.03480478332035995	0.955629226919807	0.024990623825412308	1	0.955629226919807	0.03480478332035995	0.955629226919807	1
Clostridium XlVb	Kruskal-Wallis rank sum test	0	0.0055	0.002	0	0.0035	0.04123728817604206	0.2973005128566617	0.2750498762485271	0.4496186243636512	0.03155025712814736	0.18841977366774737	0.03155025712814736	0.2677374740860943	0.7701533183969194	0.03155025712814736
Firmicutes Unclassified	Kruskal-Wallis rank sum test	0	0.007	0	0	0	0.01260320273375598	0.5402913746074198	0.019518056570068512	0.5402913746074198	0.01260320273375598	NA	0.5402913746074198	0.019518056570068512	NA	NA
Peptostreptococcaceae Unclassified	Kruskal-Wallis rank sum test	0.0085	0	0.001	0.07500000000000001	0	0.022834442975823464	0.37320775919927535	0.39871135131266794	0.022834442975823464	0.022834442975823464	0.11517754128045422	0.022834442975823464	0.354845593215368	0.2655381890941086	0.022834442975823464
Ruminococcaceae Unclassified	Kruskal-Wallis rank sum test	0.0495	0.0905	0.020999999999999998	0.04	0.0955	0.021645021645021644	0.04761904761904762	0.03174603174603175	0.899838754005452	0.06421606100349914	0.5624998452320084	0.03174603174603175	0.9142857142857144	0.05714285714285714	0.06421606100349914
Unclassified	Kruskal-Wallis rank sum test	0	0.0275	0	0	0	0.016204117800543403	0.6078277964333473	0.028756510701417905	0.5827560489690898	0.016204117800543403	NA	0.8783248501010348	0.028756510701417905	0.5827560489690898	0.5533814986693115
