genus	statistic	p.value	parameter	method	WM	C	WMR	CWM	WMN	p.value.adj
Unclassified	45.42647477636284	3.2415832911976705e-9	4	Kruskal-Wallis rank sum test	0	0.019	0	0	0	2.5932666329581366e-7
Clostridiales Unclassified	37.84854100755091	1.204137760164133e-7	4	Kruskal-Wallis rank sum test	0.003	0.032	0.002	0.002	0.002	4.432698210112108e-6
Firmicutes Unclassified	36.64810209988784	2.1284522863902262e-7	4	Kruskal-Wallis rank sum test	0	0.003	0	0	0	4.432698210112108e-6
Peptostreptococcaceae Unclassified	36.56274780657162	2.216349105056054e-7	4	Kruskal-Wallis rank sum test	0.003	0	0.001	0.0335	0	4.432698210112108e-6
Porphyromonadaceae Unclassified	31.189385528832332	2.800787772143412e-6	4	Kruskal-Wallis rank sum test	0.12	0.188	0.001	0.0025	0.0035	4.481260435429459e-5
Anaeroplasma	29.275241399502853	6.872785293897823e-6	4	Kruskal-Wallis rank sum test	0	0.001	0	0	0	9.163713725197098e-5
Bacteroides	23.338996746990443	1.083329750412594e-4	4	Kruskal-Wallis rank sum test	0.182	0.074	0.247	0.015000000000000001	0.27	0.0012380911433286788
Butyricicoccus	22.8032773442025	1.3861502698981772e-4	4	Kruskal-Wallis rank sum test	0.005	0.001	0.001	0	5e-4	0.0013058910837044923
Clostridium XlVb	22.447373601112673	1.6323638546306154e-4	4	Kruskal-Wallis rank sum test	0	0.004	0.001	0	0.0035	0.0013058910837044923
Ruminococcaceae Unclassified	22.632955517895184	1.499003620011542e-4	4	Kruskal-Wallis rank sum test	0.037	0.07	0.02	0.028	0.0825	0.0013058910837044923
Pseudoflavonifractor	17.741751945200587	0.0013860637659833793	4	Kruskal-Wallis rank sum test	0.007	0.003	0.003	0	0	0.010080463752606393
Acetatifactor	16.71944733960614	0.0021911957004515244	4	Kruskal-Wallis rank sum test	0.014	0.025	0.026	0.001	0.008	0.014607971336343497
Akkermansia	13.335839212555076	0.009746234580246014	4	Kruskal-Wallis rank sum test	0.031	0.012	0.116	0.062	0.005	0.059976828186129316
Clostridium IV	12.657405695266286	0.013076947755015599	4	Kruskal-Wallis rank sum test	0	0.001	0.001	5e-4	0	0.07472541574294628
Enterobacteriaceae Unclassified	10.795505165606668	0.028960981714859144	4	Kruskal-Wallis rank sum test	0.003	0.002	0.003	0.0325	0.004	0.15445856914591544
Oscillibacter	10.242463962448255	0.03653558357462417	4	Kruskal-Wallis rank sum test	0.003	0.008	0.015	0.003	0.001	0.18267791787312085
Dialister	9.80427335162602	0.0438569428002545	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.1949197457789089
Turicibacter	9.886919202619653	0.042376207715976846	4	Kruskal-Wallis rank sum test	0.012	0.026	0.021	0.05	0.0215	0.1949197457789089
Blautia	9.45737789469918	0.050630442771282876	4	Kruskal-Wallis rank sum test	0	0	0.001	0.0015	0	0.2041297890902895
Erysipelotrichaceae Unclassified	9.438212307823893	0.051032447272572376	4	Kruskal-Wallis rank sum test	0	0	0	0.001	5e-4	0.2041297890902895
Olsenella	8.493635357368703	0.0750803847825958	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.2860205134575078
Prevotella	7.781940537535427	0.09990060213259691	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.36327491684580693
Enterorhabdus	7.5700183541099735	0.10866111959349672	4	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0.37795172032520596
Burkholderia	7.138058341774329	0.12876986967109638	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.4292328989036546
Bacillus	6.544982698962035	0.16197808378608616	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5183298681154758
Acidaminococcus	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6313310005179164
Actinobacillus	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6313310005179164
