effects	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
ext_plate	9	13.738173242814174	1.5264636936460194	7.289520117881966	0.13399697674825842	9.99000999000999e-4
Residuals	424	88.7878208221432	0.2094052377880736	NA	0.8660030232517416	NA
Total	433	102.52599406495737	NA	NA	1	NA
