otu	statistic	p.value	parameter	method	C	CWM	FRM	RM	p.value.adj
Lachnospiraceae (OTU 4)	24.02372439859034	2.4696700993674232e-5	3	Kruskal-Wallis rank sum test	0.035	0	0.044	0.0145	0.002216759937201992
Lachnospiraceae (OTU 11)	24.006051472079328	2.4907415024741483e-5	3	Kruskal-Wallis rank sum test	0.006500000000000001	0	0.051	0.0035	0.002216759937201992
Lachnospiraceae (OTU 33)	23.084523917660455	3.877749028181853e-5	3	Kruskal-Wallis rank sum test	0.0055	0	0.004	0.007	0.0023007977567212332
Lachnospiraceae (OTU 24)	22.011252680022405	6.488039246490994e-5	3	Kruskal-Wallis rank sum test	0.008	0	0.016	0.003	0.0028871774646884924
Enterobacteriaceae (OTU 2)	20.682762311301378	1.2251550214527313e-4	3	Kruskal-Wallis rank sum test	0.044	0.2635	0.112	0.0465	0.004361551876371723
Lachnospiraceae (OTU 31)	19.918472084753812	1.7647564776590905e-4	3	Kruskal-Wallis rank sum test	0.0015	0	0.002	0	0.005235444217055302
Lactobacillus (OTU 9)	18.828509099975072	2.9665227169060475e-4	3	Kruskal-Wallis rank sum test	0.034	0.005	0.053	0.008	0.00754344348013252
Lachnospiraceae (OTU 30)	18.512871287128704	3.447131240975427e-4	3	Kruskal-Wallis rank sum test	0	0	0.002	0	0.0076698670111703254
Ruminococcaceae (OTU 37)	15.820854834435892	0.0012340250583668527	3	Kruskal-Wallis rank sum test	0.002	0	0.006	0.002	0.02196564603892998
Butyricicoccus (OTU 56)	15.923494938732043	0.0011756821802065846	3	Kruskal-Wallis rank sum test	0.0015	0	0	0.001	0.02196564603892998
Turicibacter (OTU 5)	15.11145777433885	0.0017238357504623094	3	Kruskal-Wallis rank sum test	0.0055	0.035500000000000004	0.001	0.0195	0.027845596736975682
Porphyromonadaceae (OTU 14)	14.760000000000154	0.0020336671774195724	3	Kruskal-Wallis rank sum test	0	0	0	0	0.027845596736975682
Porphyromonadaceae (OTU 44)	14.760000000000154	0.0020336671774195724	3	Kruskal-Wallis rank sum test	0	0	0	0	0.027845596736975682
Peptostreptococcaceae (OTU 12)	13.487926734742036	0.0036919109680591	3	Kruskal-Wallis rank sum test	0.0025	0.028499999999999998	0.001	0.001	0.04694001087960856
Ruminococcaceae (OTU 65)	12.914543283644354	0.0048251026809474394	3	Kruskal-Wallis rank sum test	0.002	0	0	5e-4	0.05725788514724295
Clostridium (OTU 51)	12.40023954540082	0.006130623417536523	3	Kruskal-Wallis rank sum test	0.001	0	0.003	0	0.06635158068628311
Lachnospiraceae (OTU 90)	12.32903954802259	0.006336948717229285	3	Kruskal-Wallis rank sum test	0.001	0	0.002	0	0.06635158068628311
