otu	statistic	p.value	parameter	method	C	CWM	FRM	RM	p.value.adj
Porphyromonadaceae (OTU 14)	40.686064318529894	7.622584782056191e-9	3	Kruskal-Wallis rank sum test	0	0	0.061	0	6.78410045603001e-7
Bacteroidales (OTU 38)	40.686064318529894	7.622584782056191e-9	3	Kruskal-Wallis rank sum test	0	0	0.013999999999999999	0	6.78410045603001e-7
Porphyromonadaceae (OTU 80)	40.686064318529894	7.622584782056191e-9	3	Kruskal-Wallis rank sum test	0	0	0.017	0	6.78410045603001e-7
Porphyromonadaceae (OTU 25)	35.935108632955185	7.728710960129145e-8	3	Kruskal-Wallis rank sum test	0	0	0.031	0	3.4392763772574697e-06
Porphyromonadaceae (OTU 44)	36.254374158815594	6.616093981907993e-8	3	Kruskal-Wallis rank sum test	0	0	0.035500000000000004	0	3.4392763772574697e-06
Porphyromonadaceae (OTU 48)	35.935108632955185	7.728710960129145e-8	3	Kruskal-Wallis rank sum test	0	0	0.013000000000000001	0	3.4392763772574697e-06
Bacteria (OTU 43)	35.513539042821144	9.488988214517474e-8	3	Kruskal-Wallis rank sum test	0.0035	0	0	0	3.6193712189659513e-6
Clostridiales (OTU 35)	34.24303516599501	1.760411979021396e-7	3	Kruskal-Wallis rank sum test	0.025	0	0.0075	0	5.875374979983909e-6
Porphyromonadaceae (OTU 87)	33.07298335467352	3.108504328675233e-7	3	Kruskal-Wallis rank sum test	0	0	0.0055	0	8.299706557562872e-6
Porphyromonadaceae (OTU 99)	33.07298335467352	3.108504328675233e-7	3	Kruskal-Wallis rank sum test	0	0	0.0025	0	8.299706557562872e-6
Porphyromonadaceae (OTU 10)	28.108417779824958	3.4466130283002368e-6	3	Kruskal-Wallis rank sum test	0.0675	0	0.011	0	8.36586980505603e-5
Porphyromonadaceae (OTU 40)	25.81386633354158	1.0432706423047474e-5	3	Kruskal-Wallis rank sum test	0	0	0.006999999999999999	0	2.1134011996842936e-4
Oscillibacter (OTU 57)	25.688681175595246	1.1081504417820265e-5	3	Kruskal-Wallis rank sum test	0.005	0	0.002	0	2.1134011996842936e-4
Ruminococcaceae (OTU 92)	25.865348176219793	1.017701349030031e-5	3	Kruskal-Wallis rank sum test	0.001	0	0	0	2.1134011996842936e-4
Porphyromonadaceae (OTU 6)	24.746646795827107	1.744310816917375e-5	3	Kruskal-Wallis rank sum test	0.158	0	0.11549999999999999	0	2.7985524788120934e-4
Ruminococcaceae (OTU 27)	24.702401851260788	1.7818498928766138e-5	3	Kruskal-Wallis rank sum test	0.0095	0	5e-4	0	2.7985524788120934e-4
Lachnospiraceae (OTU 73)	24.81290490770322	1.6895643526630333e-5	3	Kruskal-Wallis rank sum test	0.006	0	0.002	0	2.7985524788120934e-4
Ruminococcaceae (OTU 101)	24.43642341361088	2.0251078958147525e-5	3	Kruskal-Wallis rank sum test	0.0025	0	5e-4	0	3.0039100454585496e-4
Lachnospiraceae (OTU 49)	24.181512967219664	2.289242214380982e-5	3	Kruskal-Wallis rank sum test	0	0.0055	0	0	3.216987743366959e-4
Peptostreptococcaceae (OTU 12)	23.489489085659653	3.19249443051163e-5	3	Kruskal-Wallis rank sum test	0	0.0115	0	0	4.171272819785317e-4
Ruminococcaceae (OTU 98)	23.43269723360653	3.280776375112047e-5	3	Kruskal-Wallis rank sum test	0.0015	0	0	0	4.171272819785317e-4
Porphyromonadaceae (OTU 21)	23.075108986533127	3.89531310346049e-5	3	Kruskal-Wallis rank sum test	0	0	0.041	0	4.727493630108867e-4
Lachnospiraceae (OTU 41)	21.754083602212496	7.338568247033028e-5	3	Kruskal-Wallis rank sum test	0.0055	0	0	0	8.519120530251383e-4
Lachnospiraceae (OTU 11)	21.212727216135452	9.50917676329098e-5	3	Kruskal-Wallis rank sum test	0.0445	0	0.013000000000000001	0.014	0.0010578959149161215
Acetatifactor (OTU 55)	19.609394230449382	2.0450534072044769e-4	3	Kruskal-Wallis rank sum test	0.007	0	0	0	0.0021253726417677504
Lachnospiraceae (OTU 58)	19.55898070318151	2.0948005277475533e-4	3	Kruskal-Wallis rank sum test	0.003	0	0	0	0.0021253726417677504
Firmicutes (OTU 129)	19.450947923509226	2.205497630923487e-4	3	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.0021253726417677504
Lachnospiraceae (OTU 148)	19.42884303170126	2.228855204850075e-4	3	Kruskal-Wallis rank sum test	0	0	0.001	0	0.0021253726417677504
Porphyromonadaceae (OTU 122)	18.892320195042647	2.877784378346009e-4	3	Kruskal-Wallis rank sum test	0	0	0.0015	0	0.0026495463069599466
Anaeroplasma (OTU 89)	18.284821986258592	3.8418468566308667e-4	3	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.003137236290682777
Firmicutes (OTU 96)	18.265393496247867	3.8774830559000614e-4	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.003137236290682777
Firmicutes (OTU 155)	18.30769230769231	3.800314765014896e-4	3	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.003137236290682777
Clostridiales (OTU 179)	18.290534208059984	3.8314314626785516e-4	3	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.003137236290682777
Butyricicoccus (OTU 56)	17.941877584966736	4.5215837186301865e-4	3	Kruskal-Wallis rank sum test	0.001	0	0.001	0.002	0.0035507730966889994
