genus	method	C	CWM	RM	FRM	CWM-C	RM-C	RM-CWM	FRM-C	FRM-CWM	FRM-RM
Acetatifactor	Kruskal-Wallis rank sum test	0.009000000000000001	0	0	0	0.0013564182205614954	0.0021227763221906655	0.9424675874144188	0.002094978620657309	0.48558811431274324	0.48558811431274324
Akkermansia	Kruskal-Wallis rank sum test	0.033	0.3615	0.14300000000000002	0.062	0.03343974213924222	0.15001058562755587	0.22575953458306403	0.7077885494740512	0.0959922430510666	0.2883116883116883
Bacteroides	Kruskal-Wallis rank sum test	0.123	0.007	0.6755	0.41200000000000003	0.86204413347616	0.033773596415801424	0.08765417428043018	0.08765417428043018	0.3371404078476164	0.1396103896103896
Bifidobacterium	Kruskal-Wallis rank sum test	0.0015	5e-4	0.003	0.010499999999999999	0.39432114197456286	0.39432114197456286	0.07818207808815107	0.047092207914838355	0.015516113043467256	0.08072823310534172
Butyricicoccus	Kruskal-Wallis rank sum test	0.001	0	0	0	0.0010634174074957061	0.007288765648017877	NA	0.007288765648017877	NA	NA
Clostridiales Unclassified	Kruskal-Wallis rank sum test	0.0075	0	0	0	0.0016211288652870067	0.0016211288652870067	0.5604261875293581	0.0016211288652870067	0.6957791384191938	0.6957791384191938
Clostridium IV	Kruskal-Wallis rank sum test	0.001	0	0	0	0.025488818333042094	0.025488818333042094	0.3447209741884441	0.025488818333042094	0.3447209741884441	NA
Clostridium XlVa	Kruskal-Wallis rank sum test	0.0035	0.0025	0	0	0.7676301767490845	0.009072711626118089	0.18363806721842862	0.009072711626118089	0.18363806721842862	1
Clostridium XlVb	Kruskal-Wallis rank sum test	0.002	0	0	0	0.0010163715634157002	0.0010163715634157002	0.3455570234313006	0.0010163715634157002	0.3455570234313006	NA
Coriobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0.001	0	0	0	0.008015324360475199	0.026856162174419117	NA	0.026856162174419117	NA	NA
Enterobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0.002	0.122	0.1235	0.0665	0.001463622684512553	0.0015305645781515838	0.9626300104906452	0.0015305645781515838	0.1756492713191164	0.1756492713191164
Firmicutes Unclassified	Kruskal-Wallis rank sum test	0.002	0	0	0	0.04757632138538696	0.04757632138538696	0.5556897902827946	0.04757632138538696	0.5556897902827946	NA
Lachnospiraceae Unclassified	Kruskal-Wallis rank sum test	0.22199999999999998	0.0565	0.0105	0.0085	0.05122746841384279	6.464124111182935e-4	0.052723393721173066	0.0026374064122591957	0.05122746841384279	0.7479209279648948
Lactobacillus	Kruskal-Wallis rank sum test	0.034	0.026000000000000002	0.006500000000000001	0.011	0.728921245020281	0.051759392029534376	0.08700045000982254	0.08700045000982254	0.20826909643803712	0.09479938149857035
Oscillibacter	Kruskal-Wallis rank sum test	0.0085	0	0	0	5.082719665640148e-5	0.0015129125596550195	NA	0.0015129125596550195	0.2435633107610868	0.40465676192728606
Peptostreptococcaceae Unclassified	Kruskal-Wallis rank sum test	0	0.0095	0.008	0.0055	1.3356420336711766e-4	4.6712227965904705e-4	0.9249153706882359	0.0024314063527662573	0.415161188160938	0.3897262620087626
Porphyromonadaceae Unclassified	Kruskal-Wallis rank sum test	0.29500000000000004	0	5e-4	0.3785	6.044609935374057e-4	0.1006345676816682	0.26320115831775626	0.1756492713191164	0.0011105009367095998	0.1006345676816682
Pseudoflavonifractor	Kruskal-Wallis rank sum test	0.001	0	0	0	0.04884436210400216	0.04884436210400216	0.3447209741884441	0.04884436210400216	0.3447209741884441	NA
Ruminococcaceae Unclassified	Kruskal-Wallis rank sum test	0.045	0.0015	0	0	0.0014729311156085288	0.001550384030491889	0.1469104537747429	0.001550384030491889	0.07636141299577344	0.40465676192728606
Unclassified	Kruskal-Wallis rank sum test	0.0055	0	0	0	1.1171526996050719e-4	0.0016934856719387804	NA	0.0016934856719387804	NA	NA
