otu	method	WM	C	WMR	WMC	WMN	CN	C-WM	WMR-WM	WMR-C	WMC-WM	WMC-C	WMC-WMR	WMN-WM	WMN-C	WMN-WMR	WMN-WMC	CN-WM	CN-C	CN-WMR	CN-WMC	CN-WMN
Bacteroides (OTU 1)	Kruskal-Wallis rank sum test	0.063	0.067	0.722	0.038	0.102	0.108	0.9689401457302569	4.560656734569778e-4	0.006215201488554644	0.3571428571428571	0.19692639008856364	0.3846153846153846	0.055121736948339974	0.025061423479691522	0.014944382240697583	0.3571428571428571	0.09152984696462957	0.035604022067587865	0.016233766233766232	0.3571428571428571	0.9689401457302569
Blautia (OTU 19)	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0.43357251423141446	0.12230864872263195	0.43357251423141446	1.5299609905316457e-4	0.018426129053567074	0.43357251423141446	NA	0.44393587300148785	0.21193761825440469	0.0018035856446427063	NA	0.6395751409486878	0.43357251423141446	0.12230864872263195	NA
Bacteroides (OTU 178)	Kruskal-Wallis rank sum test	0	0	0.002	0	0	0	0.2607932017368568	0.0012428214635993578	0.010117634560315506	1	0.7719932363504206	0.5141725667218671	0.5736302548429218	0.16042641882856726	0.001320758126601062	NA	0.7719932363504206	0.4278020283657481	0.04144906362130195	NA	NA
Enterococcus (OTU 187)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NA	0.015146627566953778	0.015146627566953778	NA	NA	0.7236736098317631	NA	NA	0.02497616873855044	NA	NA	NA	0.16802071771295035	NA	NA
Clostridium (OTU 268)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NA	0.015146627566953778	0.015146627566953778	NA	NA	0.7236736098317631	NA	NA	0.02497616873855044	NA	NA	NA	0.16802071771295035	NA	NA
Phenylobacterium (OTU 332)	Kruskal-Wallis rank sum test	0	0	0	0.002	0	0	NA	NA	NA	6.374837460548524e-5	9.089488800748878e-5	0.07363827012030268	NA	NA	NA	5.009960124007518e-4	NA	NA	NA	0.05153354167145462	NA
