otu	statistic	p.value	parameter	method	C	CWM	FRM	RM	p.value.adj
Porphyromonadaceae (OTU 44)	34.62595419847329	1.4613353890835993e-7	3	Kruskal-Wallis rank sum test	0	0	0.0215	0	3.0395776092938866e-5
Ruminococcaceae (OTU 27)	33.18822023047376	2.9392834967226213e-7	3	Kruskal-Wallis rank sum test	0.009999999999999998	0	0	0	3.056854836591526e-5
Lachnospiraceae (OTU 11)	29.554431599229293	1.7123817996602953e-6	3	Kruskal-Wallis rank sum test	0.0315	0	0	0	9.038180208429835e-5
Lachnospiraceae (OTU 31)	29.52362509682415	1.7381115785441992e-6	3	Kruskal-Wallis rank sum test	0.004	0	0	0	9.038180208429835e-5
Porphyromonadaceae (OTU 21)	28.024911032028452	3.588570271543901e-6	3	Kruskal-Wallis rank sum test	0	0	0.009	0	9.688374425484672e-5
Lachnospiraceae (OTU 24)	28.80317817817816	2.463149998934441e-6	3	Kruskal-Wallis rank sum test	0.0085	0	0	0	9.688374425484672e-5
Porphyromonadaceae (OTU 25)	28.024911032028452	3.588570271543901e-6	3	Kruskal-Wallis rank sum test	0	0	0.0135	0	9.688374425484672e-5
Oscillibacter (OTU 57)	27.946984257733828	3.726297855955643e-6	3	Kruskal-Wallis rank sum test	0.0035	0	0	0	9.688374425484672e-5
Acetatifactor (OTU 55)	26.765621525461412	6.59248136794195e-6	3	Kruskal-Wallis rank sum test	0.0055	0	0	0	1.5235956939243616e-4
Porphyromonadaceae (OTU 14)	25.611877735737085	1.1499309711576072e-5	3	Kruskal-Wallis rank sum test	0	0	0.0485	0	2.391856420007823e-4
Clostridium (OTU 51)	24.348920093000487	2.1121630832731124e-5	3	Kruskal-Wallis rank sum test	0.0015	0	0	0	3.75653419371313e-4
Lachnospiraceae (OTU 63)	24.295405982905983	2.167231265603729e-5	3	Kruskal-Wallis rank sum test	0.0025	0	0	0	3.75653419371313e-4
Lachnospiraceae (OTU 73)	23.5732716501771	3.0665606927396014e-5	3	Kruskal-Wallis rank sum test	0.0035	0	0	0	4.906497108383362e-4
Lachnospiraceae (OTU 41)	22.73557585208286	4.58460568187175e-5	3	Kruskal-Wallis rank sum test	0.002	0	0	0	5.677882614435871e-4
Bacteria (OTU 43)	22.71028037383177	4.6405771367985484e-5	3	Kruskal-Wallis rank sum test	0.0035	0	0	0	5.677882614435871e-4
Oscillibacter (OTU 45)	22.715334965501885	4.629338642223951e-5	3	Kruskal-Wallis rank sum test	0.0045000000000000005	0	0	0	5.677882614435871e-4
Butyricicoccus (OTU 56)	22.816901408450693	4.4091740237230435e-5	3	Kruskal-Wallis rank sum test	0.001	0	0	0	5.677882614435871e-4
Peptostreptococcaceae (OTU 12)	22.586177035845182	4.925202539967979e-5	3	Kruskal-Wallis rank sum test	0	0.0095	0.0055	0.008	5.691345157296332e-4
Lachnospiraceae (OTU 20)	22.47021821420618	5.206843900574708e-5	3	Kruskal-Wallis rank sum test	0.0045000000000000005	0	0	0	5.700123849050207e-4
Enterobacteriaceae (OTU 2)	21.949887897210367	6.681611899602123e-5	3	Kruskal-Wallis rank sum test	0.002	0.122	0.0665	0.1235	6.948876375586207e-4
Ruminococcaceae (OTU 52)	21.42541436464088	8.589059823524237e-5	3	Kruskal-Wallis rank sum test	0.0015	0	0	0	8.507259253776388e-4
Ruminococcaceae (OTU 50)	20.31576057111478	1.4599222732468925e-4	3	Kruskal-Wallis rank sum test	0.0045000000000000005	0	0	0	0.0013802901492516075
Porphyromonadaceae (OTU 10)	19.974909646928	1.7178689016471974e-4	3	Kruskal-Wallis rank sum test	0.001	0	0.106	0	0.0015535510067070306
Ruminococcaceae (OTU 54)	19.596597812879697	2.057568205603065e-4	3	Kruskal-Wallis rank sum test	0.005	0	0	0	0.0015850895806127315
Lachnospiraceae (OTU 77)	19.629990262901643	2.0250695458760406e-4	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.0015850895806127315
Bacteria (OTU 108)	19.615665288251023	2.038948049533397e-4	3	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.0015850895806127315
Lachnospiraceae (OTU 125)	19.644336175395846	2.0112649836461727e-4	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.0015850895806127315
Porphyromonadaceae (OTU 8)	19.218015665796337	2.464376127847482e-4	3	Kruskal-Wallis rank sum test	0.0385	0	0.026000000000000002	0	0.0016819259461501733
Lachnospiraceae (OTU 30)	19.384615384615397	2.2763307854353992e-4	3	Kruskal-Wallis rank sum test	0.002	0	0	0	0.0016819259461501733
Ruminococcaceae (OTU 59)	19.234826280759595	2.4447208238717437e-4	3	Kruskal-Wallis rank sum test	0.002	0	0	0	0.0016819259461501733
Clostridiales (OTU 97)	19.182251842667217	2.5067165543584313e-4	3	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.0016819259461501733
