otu	statistic	p.value	parameter	method	C	CWM	FRM	RM	p.value.adj
Porphyromonadaceae (OTU 25)	37.65862422997945	3.3381862605479456e-8	3	Kruskal-Wallis rank sum test	0	0	0.012	0	4.139350963079452e-6
Porphyromonadaceae (OTU 44)	37.65862422997945	3.3381862605479456e-8	3	Kruskal-Wallis rank sum test	0	0	0.0225	0	4.139350963079452e-6
Ruminococcaceae (OTU 27)	36.38187604182453	6.217824390590805e-8	3	Kruskal-Wallis rank sum test	0.009999999999999998	0	0	0	5.140068162888399e-6
Bacteria (OTU 43)	32.418005784991145	4.272462345737377e-7	3	Kruskal-Wallis rank sum test	0.0085	0	0	0	2.6489266543571736e-5
Porphyromonadaceae (OTU 21)	30.550974512743633	1.0567397146397223e-6	3	Kruskal-Wallis rank sum test	0	0	0.0075	0	3.743877846152159e-5
Bacteroidales (OTU 38)	30.550974512743633	1.0567397146397223e-6	3	Kruskal-Wallis rank sum test	0	0	0.025	0	3.743877846152159e-5
Porphyromonadaceae (OTU 87)	30.56013797240552	1.0520574036414805e-6	3	Kruskal-Wallis rank sum test	0	0	0.0115	0	3.743877846152159e-5
Porphyromonadaceae (OTU 14)	30.049857694653383	1.3471291886505274e-6	3	Kruskal-Wallis rank sum test	0	0	0.059	0	4.176100484816635e-5
Oscillibacter (OTU 57)	28.098459553801778	3.463242866534164e-6	3	Kruskal-Wallis rank sum test	0.004	0	0	0	9.543158121116363e-5
Akkermansia (OTU 3)	26.83675538539881	6.3700067390499715e-6	3	Kruskal-Wallis rank sum test	0.0085	0.234	0.0865	0.1905	1.4947473638472666e-4
Ruminococcaceae (OTU 54)	26.753884297520674	6.629927823516101e-6	3	Kruskal-Wallis rank sum test	0.0045000000000000005	0	0	0	1.4947473638472666e-4
Porphyromonadaceae (OTU 80)	25.94471544715448	9.795013240196625e-6	3	Kruskal-Wallis rank sum test	0	0	0.008	0	2.0243027363073027e-4
Lachnospiraceae (OTU 71)	25.101719330854998	1.470252131417804e-5	3	Kruskal-Wallis rank sum test	0.002	0	0	0	2.622049194444497e-4
Firmicutes (OTU 129)	25.087729890395668	1.480189061379958e-5	3	Kruskal-Wallis rank sum test	0.002	0	0	0	2.622049194444497e-4
Clostridiales (OTU 35)	24.438330876579084	2.0232505855082762e-5	3	Kruskal-Wallis rank sum test	0.007	0	0	0	3.136038407537828e-4
Lachnospiraceae (OTU 41)	24.53707531688408	1.9293863791820372e-5	3	Kruskal-Wallis rank sum test	0.003	0	0	0	3.136038407537828e-4
Porphyromonadaceae (OTU 48)	23.79854014598538	2.7519770301909913e-5	3	Kruskal-Wallis rank sum test	0	0	0.017	0	3.791612797152033e-4
Porphyromonadaceae (OTU 175)	23.807228915662627	2.7405099524857346e-5	3	Kruskal-Wallis rank sum test	0	0	0.0015	0	3.791612797152033e-4
