otu	method	WM	C	WMR	CWM	RM	FRM	M1	1RM1	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-WM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	M1-WM	M1-C	M1-WMR	M1-CWM	M1-RM	M1-FRM	1RM1-WM	1RM1-C	1RM1-WMR	1RM1-CWM	1RM1-RM	1RM1-FRM	1RM1-M1
Bacteroides (OTU 1)	Kruskal-Wallis rank sum test	0.613	0.003	0.717	0.033	0.255	0.001	0.48	0.3365	5.21908744548884e-4	0.4957309969963664	0.006948555642706518	0.001516437988464389	0.14689104300386172	0.00793776282394093	0.060821994180085936	0.3069820433086415	0.0650324784635587	1	0.00793776282394093	0.14689104300386172	0.03266847456129429	0.00793776282394093	0.14689104300386172	0.19047619047619047	0.08967982660800665	0.19047619047619047	0.20179080775024036	0.48864144653240055	0.06932237177501462	0.0015082956259426846	0.14689104300386172	0.015151515151515152	0.48864144653240055	1	0.024350754699574408	0.0606060606060606
Enterobacteriaceae (OTU 2)	Kruskal-Wallis rank sum test	0.1285	0.246	0.002	0.571	0.17	0.545	0.072	0.0045000000000000005	0.003431536179204092	0.003431536179204092	3.468351294438251e-4	3.6815758985633803e-6	0.002735088131231758	9.173259947253755e-4	0.250010187959545	0.4384653528035022	0.0015082956259426848	0.004750304734526326	0.0015082956259426848	0.003468351294438251	0.013126092039730006	0.934170313245124	0.014580191050779286	0.6564102564102563	0.05865612648221344	0.047619047619047616	0.0044455028975152805	0.21939799331103685	0.047619047619047616	0.004646250292045805	0.0015082956259426848	0.2999522038452039	0.0018420259109424482	0.002735088131231758	0.013126092039730006	0.04057331729040146
Akkermansia (OTU 3)	Kruskal-Wallis rank sum test	0.03	0.20900000000000002	0.061	0.001	0.219	0.095	0.002	0.0985	0.21026270880141862	1	0.46579063857203434	0.13934727477927936	0.0036715410259367328	0.06786277688469165	0.07846941916457863	0.46579063857203434	0.21026270880141862	5.010489711399374e-4	0.9050559616213429	0.46579063857203434	0.7877025507483121	0.4203716814880058	0.33217283197461345	0.5931848931615868	0.28231075195318844	0.46315123223506216	0.5931848931615868	0.07998484457820372	0.6588435289033033	0.46315123223506216	0.8439967833162147	0.10606060606060606	0.0036715410259367328	0.46315123223506216	0.8439967833162147	0.09523809523809523
Lachnospiraceae (OTU 4)	Kruskal-Wallis rank sum test	0	0.0305	0.035	0	0.0115	0.029	0	0.0035	0.0012843458468020051	0.00651104756795469	0.7374879411000899	0.4633870549257548	3.7538888046171354e-5	4.0135647413270154e-4	0.010101267994725792	0.4255739624200532	0.2294145741262583	1.507443154648609e-4	0.08526389559470576	0.5967526665157484	0.7374879411000899	0.02357634045305319	1	0.7849599285125625	0.05265349353757839	0.0746548619115542	0.3869086501048003	0.06267334358346258	0.45415585613067855	0.2294145741262583	0.06703605769137441	0.06123535451010039	0.014323999619319494	0.20576762496761777	0.48743611170846307	0.41044614038043076
Turicibacter (OTU 5)	Kruskal-Wallis rank sum test	0.0285	0.001	0.015	0	0.001	0	0.006	0.003	0.0020438169395384214	0.34896301450190675	0.017911700877871018	0.0020438169395384214	0.40018727706884016	0.010862571605482296	0.040273788359361566	0.6201323835505673	0.1408160051577558	0.34896301450190675	0.026212284341331233	0.18799019164263805	0.0388031402729184	0.33674575624689085	0.2479576816734252	0.1665158371040724	0.09998316122283558	0.2479576816734252	0.04031700888274576	0.38799104738373746	0.06108479314851017	0.05468407098742027	0.13157446317691035	0.14374248193915745	0.040273788359361566	0.4484701814245686	0.0388031402729184	0.5359959047908578
Porphyromonadaceae (OTU 6)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.233	0.16349999999999998	1	0.49925594359238107	0.46130310768914784	1	1	0.47934263090040463	0.637575861307679	0.5678323554477981	0.2632959956764372	0.568653439539668	0.5678323554477981	0.5195307173317766	1	0.5195307173317766	0.2827887858212109	0.009217689578719039	0.003310416285824456	0.07577108076082915	0.005636747522648002	0.0055450094221929855	0.07577108076082915	0.0018346657251983	5.20111052884336e-4	0.021129456573264798	0.0011682558241193288	0.0014532693144948133	0.021129456573264798	0.10256410256410255
Porphyromonadaceae (OTU 7)	Kruskal-Wallis rank sum test	0	0	0.058	0	0	0	0	0.037	0.44419480851841076	0.6358181985829501	0.1332564491752821	0.6358181985829501	0.9507716129583691	0.27706903845216796	0.8214599878977913	1	0.44419480851841076	1	0.6358181985829501	1	0.44419480851841076	0.9507716129583691	1	0.9507716129583691	1	0.6358181985829501	1	1	1	0.04046504618515503	8.720827040204645e-4	1	0.002436623339963164	0.1047409544980312	0.04715163141467585	0.12848217141960463
Porphyromonadaceae (OTU 8)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.017	0.0165	0.9351644690022495	0.43677481381694083	0.4122134562331346	0.16842823230946655	0.13604703101980625	NA	0.22855881280148663	0.1908595962315257	NA	NA	0.43677481381694083	0.4122134562331346	NA	NA	NA	0.016996438482292788	0.013430048807098499	0.030808441104992916	3.884979254637416e-4	0.0016771361497102996	0.030808441104992916	0.004338472503054647	0.0020856028004923514	0.013430048807098499	1.790474200997405e-4	5.489545682635315e-4	0.013430048807098499	0.7482993197278911
Lactobacillus (OTU 9)	Kruskal-Wallis rank sum test	0.008	0.046	0	0.024	0.0175	0.066	0.008	0.004	1.983686496644605e-4	0.03745498918225994	0.004906686251938363	0.014820039592014306	0.07801273480358709	0.02195683530162519	0.02942006226067431	0.004061392445143516	0.012211215346727563	0.30740509551563155	0.008687092473465134	0.30740509551563155	0.02603865899346778	0.07801273480358709	0.008687092473465134	0.7096352612948477	0.02412349677887053	0.30740509551563155	0.08304452151661679	0.12223691284374161	0.06666666666666667	1	0.004906686251938363	0.08304452151661679	0.08304452151661679	0.08304452151661679	0.02231435646754101	0.9300673569516698
Porphyromonadaceae (OTU 10)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.055	0.1325	1	0.6812736933772647	0.6659249892266053	0.3442005418042076	0.2197871683389056	0.30326483510831226	0.5106088492051796	0.46444465569260135	NA	0.08120099402432256	0.6890508462615679	0.6659249892266053	0.572009576175171	0.6991857481084571	0.2800446260259562	0.0045831200326288965	9.07186765908049e-4	0.04124766495048639	0.0104837453864385	0.0016142381317993091	0.05890319339320623	0.0016142381317993091	2.233169059791298e-4	0.016482332626893612	0.0011187027892876282	9.07186765908049e-4	0.018187057831374972	0.6659249892266053
