day	statistic	p.value	parameter	method	WM	C	WMC	WMR	p.value.adj
6	16.87912087912089	2.161451382554513e-4	2	Kruskal-Wallis rank sum test	1.055899	3.039437	1.243521	NA	4.322902765109026e-4
30	9.25	0.009803655035821828	2	Kruskal-Wallis rank sum test	2.7486170000000003	3.4721195	NA	2.6802395	0.009803655035821828
