genus	method	WM	C	WMR	CWM	RM	FRM	WMC	1RM1	WMN	CN	WMC-WM	WMC-C	WMC-WMR	WMC-CWM	WMC-RM	WMC-FRM	1RM1-WMC	WMN-WMC	CN-WMC	C-WM	WMR-WM	CWM-WM	RM-WM	FRM-WM	1RM1-WM	WMN-WM	CN-WM	WMR-C	CWM-WMR	RM-WMR	FRM-WMR	1RM1-WMR	WMN-WMR	CN-WMR	CWM-C	RM-C	RM-CWM	FRM-C	FRM-CWM	FRM-RM	1RM1-C	1RM1-CWM	1RM1-RM	1RM1-FRM	WMN-C	WMN-CWM	WMN-RM	WMN-FRM	WMN-1RM1	CN-C	CN-CWM	CN-RM	CN-FRM	CN-1RM1	CN-WMN
Alloprevotella	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.2684169329809899	0.11277829954747629	0.3864762307712326	0.11277829954747629	0.20025904550890355	0.2684169329809899	0.2684169329809899	0.2684169329809899	0.2684169329809899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anaerostipes	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.4491022329755287	NA	NA	NA	NA	NA	NA	NA	NA	0.18510186730812714	0.4058610194075639	0.18510186730812714	0.2657025077261132	0.3137059186463866	0.3137059186463866	0.3137059186463866	0.3137059186463866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anaerotruncus	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	NA	NA	0.563702861650773	NA	NA	NA	NA	NA	NA	NA	0.3458634366683197	NA	NA	NA	NA	NA	NA	0.2355527847292345	0.2355527847292345	0.3370535930713917	0.3458634366683197	0.3458634366683197	0.3458634366683197	0.3458634366683197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteroides	Kruskal-Wallis rank sum test	0.565	0.002	0.82	0.003	0.001	0.0015	0.028	0.6845	0.581	0.002	0.025560918570302005	0.043802543067881256	0.08035714285714285	0.1421760446321674	0.025560918570302005	0.07625896210425258	0.04285714285714286	0.021531100478468897	0.07235498732550855	7.70934588960876e-4	0.1421760446321674	9.174019605222986e-4	0.0015455345422483542	0.007591007576867712	0.22032022032022036	0.7429864253393665	0.007591007576867712	0.0068979447347912734	0.007834250934293172	0.010446561700936354	0.025560918570302005	0.29670329670329665	0.10298792116973934	0.025560918570302005	0.2830489287971209	0.07821488716078248	0.025560918570302005	0.5034172514716847	0.22032022032022036	0.4469344133753315	0.0015455345422483542	0.0022128584303060606	0.0038018000029627227	0.012305089188307885	7.70934588960876e-4	7.70934588960876e-4	0.001143687140385134	0.0068979447347912734	0.07625896210425258	0.6979304399865073	0.5232290862315444	0.0687790217043477	0.40114170361925533	0.012305089188307885	0.0068979447347912734
Bifidobacterium	Kruskal-Wallis rank sum test	0.0085	0	0	0	0	0	0	0.0125	0.004	0	0.06502855462255204	0.7962534147376392	NA	NA	NA	0.7101921040321013	0.049922201896233795	0.05650131341857366	0.4928452743219575	9.279726398702019e-5	0.037025745389897044	9.279726398702019e-5	7.45440770021197e-4	0.026120267523791527	0.7962534147376392	0.7195845093890257	0.03241640374035243	0.7771705786875759	NA	NA	0.6385261699905871	0.029684775868570504	0.03241640374035243	0.3953993752971244	0.4928452743219575	0.5821664354828202	NA	0.4928452743219575	0.17649841271712988	0.29227597291330415	8.285087045588568e-5	8.285087045588568e-5	4.170628862781376e-4	0.014291735601150305	8.285087045588568e-5	8.418285084868223e-5	5.461537857995238e-4	0.019893453918110725	0.393073593073593	0.11340246675501098	0.037025745389897044	0.08172007414719312	0.6822620108162553	0.015127478914988102	0.02674353337204752
Butyricicoccus	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0	0	0	NA	NA	0.2702893848016986	NA	NA	NA	NA	NA	NA	NA	0.09033513618415556	NA	NA	NA	NA	NA	NA	0.014717790681480677	0.016813387349548074	0.04599948634080851	0.10598612268810789	0.10598612268810789	0.08334939514126105	0.10598612268810789	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridiales Unclassified	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	5e-4	0	0	0.3510960871878813	0.7607691407238536	0.7607691407238536	0.4121729209651069	0.2195850181142116	0.3929118927776098	0.8869743120400594	0.7184652964802769	0.3929118927776098	0.33394524567357564	0.112514887780025	0.45870854833252783	NA	NA	0.2141110713113522	0.3878337150828435	NA	0.28173694578143765	0.112514887780025	0.07100077176368501	0.16311350187689416	0.7234063266964285	0.2195850181142116	0.16311350187689416	0.3929118927776098	0.2195850181142116	0.3929118927776098	0.3878337150828435	0.5247135947610078	NA	0.4119023028412416	0.2195850181142116	0.112514887780025	0.2195850181142116	0.772669774714128	0.6122367606704793	0.28173694578143765	0.3929118927776098	0.3929118927776098	0.3878337150828435	0.5247135947610078	NA	NA	0.2195850181142116	0.3929118927776098
Dorea	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	0.37675911781158217	NA	NA	NA	NA	NA	NA	NA	0.20182159453572798	NA	NA	NA	NA	NA	NA	0.3227272327410394	NA	NA	NA	NA	NA	NA	NA	NA	0.08170907510894025	0.08170907510894025	0.1457487927700753	0.22594414582828948	NA	NA	NA	NA	0.20182159453572798	NA	NA	NA	NA	0.22594414582828948	NA
Enterobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0.183	0.885	0.014499999999999999	0.822	0.9655	0.9115	0.947	0.0755	0.25	0.917	0.020202020202020204	0.09924871735367712	0.08294930875576037	0.029945553539019964	1	0.1923076923076923	0.03571428571428571	0.017142857142857144	0.1923076923076923	4.998495190076514e-4	0.008658008658008658	8.321198252548366e-5	0.0016142199713862471	0.0023053869207715363	0.020336806051091765	0.3526100871868448	0.0023053869207715363	0.005852620376437052	0.00163472890745618	0.008889535895288556	0.017142857142857144	0.09375	0.006624953993375046	0.017142857142857144	0.19689109456015272	0.019695644336695326	0.00837619861817811	0.40441749643950053	0.09924871735367712	0.18296799095741292	0.00163472890745618	2.971856518767274e-4	0.002825792584563424	0.005852620376437052	4.998495190076514e-4	2.736394040741867e-4	0.0016142199713862471	0.00163472890745618	0.006624953993375046	0.4675219258778677	0.10283574069302845	0.1923076923076923	1	0.005852620376437052	0.00163472890745618
Enterorhabdus	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0	0	0.7969399646945435	0.8196726328181579	NA	0.8196726328181579	NA	NA	0.3574810835605669	0.6706685957342361	NA	0.7525375380841507	0.7821617374093143	0.7821617374093143	0.5721892662805143	0.7525375380841507	0.3339527302522597	0.7525375380841507	0.7525375380841507	0.8064390219554575	0.8064390219554575	NA	NA	0.2943410773552769	0.5721892662805143	NA	0.9379995185952886	0.7525375380841507	0.7525375380841507	0.7821617374093143	0.7821617374093143	NA	0.029431673341942813	0.029431673341942813	0.029431673341942813	0.1881985829738566	0.24303285336717884	0.3005168308492915	0.2356730633511712	0.4014648242866449	0.46041901429842447	0.7821617374093143	0.7821617374093143	NA	NA	0.1881985829738566	0.4014648242866449
Erysipelotrichaceae Unclassified	Kruskal-Wallis rank sum test	5e-4	0	0.004	0	0	0	0	0.0165	0	0	0.3227855750356845	0.5978025315830193	0.2265524778960225	0.7984451266815988	0.5978025315830193	NA	0.07215829462305715	0.44395987676520193	NA	0.09182684139206067	0.4061591561838103	0.04078443401629536	0.15521145797113958	0.1417785574891285	0.01458675807801992	0.44395987676520193	0.1417785574891285	0.023680822383578735	0.01153447392288247	0.05679031008650398	0.07215829462305715	0.06666666666666668	0.1417785574891285	0.07215829462305715	0.44395987676520193	0.975380655771448	0.44395987676520193	0.44395987676520193	0.6515754496860648	0.44395987676520193	4.189887909356286e-4	4.189887909356286e-4	0.0036370072701188763	0.01458675807801992	0.44395987676520193	0.149230707459251	0.44395987676520193	0.26489502134774356	0.01153447392288247	0.44395987676520193	0.6515754496860648	0.44395987676520193	NA	0.01458675807801992	0.26489502134774356
Eubacterium	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	NA	NA	0.563702861650773	NA	NA	NA	NA	NA	NA	NA	0.3458634366683197	NA	NA	NA	NA	NA	NA	0.2355527847292345	0.2355527847292345	0.3370535930713917	0.3458634366683197	0.3458634366683197	0.3458634366683197	0.3458634366683197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fusicatenibacter	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	NA	NA	0.563702861650773	NA	NA	NA	NA	NA	NA	NA	0.3458634366683197	NA	NA	NA	NA	NA	NA	0.2355527847292345	0.2355527847292345	0.3370535930713917	0.3458634366683197	0.3458634366683197	0.3458634366683197	0.3458634366683197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hungatella	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	NA	NA	0.563702861650773	NA	NA	NA	NA	NA	NA	NA	0.3458634366683197	NA	NA	NA	NA	NA	NA	0.2355527847292345	0.2355527847292345	0.3370535930713917	0.3458634366683197	0.3458634366683197	0.3458634366683197	0.3458634366683197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
