otu	statistic	p.value	parameter	method	WM	WMR	CWM	p.value.adj
Enterobacteriaceae (OTU 2)	7.311267071320183	0.025845118491172266	2	Kruskal-Wallis rank sum test	5e-4	5e-4	0.1005	0.5039798105778592
Peptostreptococcaceae (OTU 12)	7.3353293413173635	0.025536035419888036	2	Kruskal-Wallis rank sum test	0.009000000000000001	0	0.049	0.5039798105778592
Lachnospiraceae (OTU 42)	8.142493638676829	0.017056109357628465	2	Kruskal-Wallis rank sum test	0.0095	0	0	0.5039798105778592
Lachnospiraceae (OTU 46)	7.520292207792208	0.023280338778211673	2	Kruskal-Wallis rank sum test	0.003	0.0015	0	0.5039798105778592
Butyricicoccus (OTU 56)	7.903225806451612	0.019223670836459355	2	Kruskal-Wallis rank sum test	0.003	5e-4	0	0.5039798105778592
Lachnospiraceae (OTU 75)	9.267086330935253	0.009720257535221509	2	Kruskal-Wallis rank sum test	0.0015	0	0	0.5039798105778592
Acetatifactor (OTU 79)	10.917030567685575	0.004259875758307151	2	Kruskal-Wallis rank sum test	0.0015	0	0	0.5039798105778592
Lachnospiraceae (OTU 94)	8.142493638676829	0.017056109357628465	2	Kruskal-Wallis rank sum test	0.003	0	0	0.5039798105778592
Lachnospiraceae (OTU 70)	6.905241935483868	0.031662541031853245	2	Kruskal-Wallis rank sum test	0.0025	0.0045000000000000005	0	0.5488173778854561
Bacteroides (OTU 1)	5	0.0820849986238988	2	Kruskal-Wallis rank sum test	0.41700000000000004	0.577	0.0115	0.5501431871141291
Porphyromonadaceae (OTU 6)	3.5555555555555425	0.16901331540606718	2	Kruskal-Wallis rank sum test	0	0	0	0.5501431871141291
Lactobacillus (OTU 13)	3.3284241531664183	0.18933978447405658	2	Kruskal-Wallis rank sum test	0.0225	0.0085	0.0235	0.5501431871141291
Porphyromonadaceae (OTU 14)	5.077821011673149	0.07895237109705155	2	Kruskal-Wallis rank sum test	0.14350000000000002	0	0	0.5501431871141291
Blautia (OTU 19)	3.5714285714285676	0.1676772487517974	2	Kruskal-Wallis rank sum test	0	5e-4	0.004	0.5501431871141291
Lachnospiraceae (OTU 20)	4.822378419452885	0.08970854883447398	2	Kruskal-Wallis rank sum test	0.019	0.0115	0	0.5501431871141291
Ruminococcaceae (OTU 27)	5.304347826086953	0.07049779029112144	2	Kruskal-Wallis rank sum test	0.0025	0	0	0.5501431871141291
Lachnospiraceae (OTU 33)	5.6962025316455724	0.05795425619979247	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.5501431871141291
Clostridiales (OTU 35)	3.5555555555555425	0.16901331540606718	2	Kruskal-Wallis rank sum test	0	0	0	0.5501431871141291
Ruminococcaceae (OTU 37)	2.9770992366412186	0.22569976907246325	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.5501431871141291
Erysipelotrichaceae (OTU 39)	3.8911290322580636	0.14290652752346053	2	Kruskal-Wallis rank sum test	0.001	0	0.006500000000000001	0.5501431871141291
Lachnospiraceae (OTU 47)	3.493589743589738	0.17433180474883747	2	Kruskal-Wallis rank sum test	0.0015	0	0	0.5501431871141291
Lachnospiraceae (OTU 58)	3.483502538071062	0.17521328617279244	2	Kruskal-Wallis rank sum test	0	0.0025	0	0.5501431871141291
Lachnospiraceae (OTU 62)	5.648103112840463	0.05936493442807818	2	Kruskal-Wallis rank sum test	0	0.0085	0	0.5501431871141291
Lachnospiraceae (OTU 63)	6.399999999999998	0.04076220397836626	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.5501431871141291
