genus	method	C	CWM	RM	FRM	CWM-C	RM-C	RM-CWM	FRM-C	FRM-CWM	FRM-RM
Acetatifactor	Kruskal-Wallis rank sum test	0.009000000000000001	0.001	0	0	0.0076744027383101425	4.261559332121352e-4	0.01280131472810476	0.004709030816235188	0.03311415087351472	0.5556897902827946
Akkermansia	Kruskal-Wallis rank sum test	0.020499999999999997	0.2565	0.11599999999999999	0.1335	0.021909978566325317	0.021909978566325317	0.16600902952348728	0.08524808524808525	0.11582956907811748	0.6819650937297996
Bacteroidales Unclassified	Kruskal-Wallis rank sum test	0	0	0	0.002	NA	NA	NA	0.03884480284445574	0.006350144999264833	0.017462813807417425
Bacteroides	Kruskal-Wallis rank sum test	0.249	0.05450000000000001	0.628	0.3745	0.7178778555587548	0.04461070793550545	0.04461070793550545	0.42357642357642367	0.7178778555587548	0.05531462208832635
Butyricicoccus	Kruskal-Wallis rank sum test	0.002	0	0	0	1.6108485796668845e-4	0.0010176447863706043	NA	0.011088369828128256	NA	NA
Clostridiales Unclassified	Kruskal-Wallis rank sum test	0.0075	0.001	0	0	5.004509311268912e-4	5.004509311268912e-4	0.14430507997949615	0.0037880016558040678	0.13739537945293184	0.652015006924882
Coriobacteriaceae Unclassified	Kruskal-Wallis rank sum test	5e-4	0	0	5e-4	0.005149568700228342	0.014046072998393767	NA	0.7232650082308485	0.005149568700228342	0.014046072998393767
Enterobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0.0015	0.067	0.0555	0.0245	0.005957704266955064	0.003427306113189775	0.8158302815802481	0.03217483101946966	0.44801990613208165	0.44801990613208165
Firmicutes Unclassified	Kruskal-Wallis rank sum test	0.0025	0	0	0	2.833748091995584e-4	0.0018210355304915998	NA	0.03791995961508104	0.12734507317237598	0.19485064860886944
Lachnospiraceae Unclassified	Kruskal-Wallis rank sum test	0.2755	0.11349999999999999	0.043	0.0165	0.09596159446960362	0.008891717473402286	0.08108487424738174	0.003996003996003996	0.029599690926922047	0.13359208169921596
Oscillibacter	Kruskal-Wallis rank sum test	0.0055	0	0	0	4.164061418970328e-4	2.117483696895439e-4	0.13831516261798277	0.0038340269020117968	0.7420606850674594	0.23382077833064333
Peptostreptococcaceae Unclassified	Kruskal-Wallis rank sum test	0	0.0055	0.002	0.0015	0.021553754202016842	0.015802156531127046	0.48058754968103334	0.024388576965348397	0.541312940613911	0.9239586759373215
Porphyromonadaceae Unclassified	Kruskal-Wallis rank sum test	0.2655	0	0.001	0.433	1.7102201381892534e-4	4.415360492007252e-4	0.09114584873865895	0.05114885114885115	4.0805682106782534e-4	0.001162788022868917
Ruminococcaceae Unclassified	Kruskal-Wallis rank sum test	0.020499999999999997	0.007	0	0	0.03332818754116438	0.0027421557105235033	0.004313746874058462	0.004313746874058462	0.03332818754116438	0.2796047974997405
Turicibacter	Kruskal-Wallis rank sum test	0.012499999999999999	0.056499999999999995	0.026	0.019	0.06921560878944084	0.19847702683367513	0.06425970017637525	0.6982198193799275	0.06425970017637525	0.4785384345613266
Unclassified	Kruskal-Wallis rank sum test	0.004	0	0	0	2.6240729548229323e-5	2.5603866577035615e-4	NA	0.004658976863905059	NA	NA
