genus	method	C	WMR	CWM	RM	FRM	WMR-C	CWM-C	CWM-WMR	RM-C	RM-WMR	RM-CWM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM
Acetatifactor	Kruskal-Wallis rank sum test	0.0115	0.001	0.003	5e-4	5e-4	0.004434844104530267	0.11169057616582234	0.4181079519253067	0.002872480369977275	0.6069067737240639	0.19646306984298578	0.004434844104530267	0.518265903142898	0.21669689533456296	0.7652905044137499
Akkermansia	Kruskal-Wallis rank sum test	0.0085	0.008	0.234	0.1905	0.087	0.8687349473035775	7.166730327186938e-4	0.02058099140869568	9.705854754416023e-4	0.023245465926317505	0.2567939234686228	0.03951044434880453	0.2567939234686228	0.0021547080370609784	0.021978021978021976
Anaeroplasma	Kruskal-Wallis rank sum test	0	0	0	0	0	0.07472397721956545	0.07472397721956545	NA	0.07472397721956545	NA	NA	0.1391789362347769	NA	NA	NA
Bacteroidales Unclassified	Kruskal-Wallis rank sum test	0	0	0	0	0.025	NA	NA	NA	NA	NA	NA	0.0012337333969834159	0.0012337333969834159	0.0012337333969834159	0.0012337333969834159
Bacteroides	Kruskal-Wallis rank sum test	0.1065	0.591	0.459	0.4745	0.237	0.0024975024975024975	0.12054811224992476	0.12054811224992476	0.08915732552474517	0.12054811224992476	0.6469425830292176	0.3124432915871451	0.0024975024975024975	0.18098225851123784	0.12054811224992476
Clostridiales Unclassified	Kruskal-Wallis rank sum test	0.011	0.0015	0	0.001	0.002	0.003982577076954828	5.891760903716177e-4	0.263793015789619	5.891760903716177e-4	0.263793015789619	0.9399363918916703	0.005687074803873011	0.9399363918916703	0.48225367707979677	0.49328358280386897
Clostridium IV	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0.17064267895471225	0.2791479259580911	0.036245843657655215	0.5258771837556557	0.2791479259580911	0.17064267895471225	0.5258771837556557	0.3503973097239612	0.17064267895471225	0.9361862934730594
Firmicutes Unclassified	Kruskal-Wallis rank sum test	0.0025	0	0	0	0	5.261709716148432e-4	5.261709716148432e-4	NA	6.042701294095001e-4	0.4141352820302089	0.4141352820302089	0.024725309213951416	0.36791717521015926	0.36791717521015926	0.7060817412140714
Lachnospiraceae Unclassified	Kruskal-Wallis rank sum test	0.214	0.1345	0.111	0.149	0.054	0.04166548979654314	0.14687608571319063	0.6430463241608754	0.14687608571319063	0.6430463241608754	0.8325822192053707	0.004309416074121957	0.14535464535464537	0.0788427764411078	0.13986013986013987
Lactobacillus	Kruskal-Wallis rank sum test	0.035500000000000004	0.01	0.025	0.0275	0.012	0.02660830946267776	0.5095083612065074	0.061699335131165184	0.5190635333824021	0.09395746649089746	0.860213901801207	0.15227820016977542	0.8264314207817888	0.5190635333824021	0.5190635333824021
Oscillibacter	Kruskal-Wallis rank sum test	0.0045000000000000005	0	0	0	5e-4	0.21180419423104507	0.057992762681855915	0.8220239707514876	0.0011994107407160312	0.06996619281624185	0.07535516502053102	0.057992762681855915	0.8575886285730812	0.8575886285730812	0.057992762681855915
Porphyromonadaceae Unclassified	Kruskal-Wallis rank sum test	0.28200000000000003	0.001	0	0.002	0.5185	0.012285597207150365	4.137349741862059e-4	0.12670348273462423	0.008127347338336787	0.6703728741924715	0.030326376713166132	0.014239851202783227	0.004574216062419878	0.0032832939577726065	0.0044006505228877625
Ruminococcaceae Unclassified	Kruskal-Wallis rank sum test	0.0325	0.0085	0.01	0.006	0.0025	0.004073195895007428	0.005773306728759742	0.6359188822643823	0.004073195895007428	0.8201967307720377	0.5731275311645387	0.004073195895007428	0.16424797536124155	0.05293845215092652	0.11933714053801388
Unclassified	Kruskal-Wallis rank sum test	0.01	0	0	0	0	6.156162086168951e-4	6.156162086168951e-4	0.3781730470946684	6.156162086168951e-4	1	0.3781730470946684	0.01508088892137125	0.33248262532192985	0.11911129187298279	0.33248262532192985
