otu	statistic	p.value	parameter	method	C	WMR	CWM	RM	FRM	p.value.adj
Porphyromonadaceae (OTU 25)	47.73568281938323	1.0714360873872983e-9	4	Kruskal-Wallis rank sum test	0	0	0	0	0.012	1.4303671766620432e-7
Porphyromonadaceae (OTU 44)	47.73568281938323	1.0714360873872983e-9	4	Kruskal-Wallis rank sum test	0	0	0	0	0.0225	1.4303671766620432e-7
Bacteria (OTU 43)	41.953145917001265	1.7058863105672085e-8	4	Kruskal-Wallis rank sum test	0.0085	0	0	0	0	1.5182388164048156e-6
Porphyromonadaceae (OTU 21)	38.94639556377079	7.146334497154214e-8	4	Kruskal-Wallis rank sum test	0	0	0	0	0.0075	3.1801188512336254e-6
Bacteroidales (OTU 38)	38.94639556377079	7.146334497154214e-8	4	Kruskal-Wallis rank sum test	0	0	0	0	0.025	3.1801188512336254e-6
Porphyromonadaceae (OTU 87)	38.95359585875393	7.121905039890308e-8	4	Kruskal-Wallis rank sum test	0	0	0	0	0.0115	3.1801188512336254e-6
Ruminococcaceae (OTU 27)	38.37871996472921	9.360292066380113e-8	4	Kruskal-Wallis rank sum test	0.009999999999999998	0	0	0	0	3.5702828310335578e-6
Ruminococcaceae (OTU 54)	35.82398175301403	3.1452737624773306e-7	4	Kruskal-Wallis rank sum test	0.0045000000000000005	0	0	0	0	1.0497351182268092e-5
Porphyromonadaceae (OTU 14)	34.27593798323434	6.54128830619308e-7	4	Kruskal-Wallis rank sum test	0	0	0	0	0.059	1.940582197503947e-5
Lachnospiraceae (OTU 71)	32.871404588696166	1.2691256815368272e-6	4	Kruskal-Wallis rank sum test	0.002	0	0	0	0	2.838527025396158e-5
Porphyromonadaceae (OTU 80)	33.12793076317858	1.1245630476116813e-6	4	Kruskal-Wallis rank sum test	0	0	0	0	0.008	2.838527025396158e-5
Firmicutes (OTU 129)	32.860371447751206	1.275742483324116e-6	4	Kruskal-Wallis rank sum test	0.002	0	0	0	0	2.838527025396158e-5
Clostridiales (OTU 35)	31.96298136848362	1.9467159825321574e-6	4	Kruskal-Wallis rank sum test	0.007	0	0	0	0	3.998255133354508e-5
Porphyromonadaceae (OTU 48)	30.508597285067847	3.85576457649907e-6	4	Kruskal-Wallis rank sum test	0	0	0	0	0.017	6.863260946168345e-5
Porphyromonadaceae (OTU 175)	30.515501244625458	3.843293541501583e-6	4	Kruskal-Wallis rank sum test	0	0	0	0	0.0015	6.863260946168345e-5
Porphyromonadaceae (OTU 15)	29.71391498881426	5.596612064636357e-6	4	Kruskal-Wallis rank sum test	0	0	0	0	0.058499999999999996	9.141230470223133e-5
Lachnospiraceae (OTU 41)	29.63026609525984	5.820259100891133e-6	4	Kruskal-Wallis rank sum test	0.003	0	0	0	0	9.141230470223133e-5
Porphyromonadaceae (OTU 10)	29.22891035866286	7.023435444621157e-6	4	Kruskal-Wallis rank sum test	0.021	0	0	0	0.11099999999999999	9.885450938775952e-5
Clostridiales (OTU 97)	29.225519142619433	7.034590555683262e-6	4	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	9.885450938775952e-5
Oscillibacter (OTU 57)	27.480520732883296	1.5892268642436838e-5	4	Kruskal-Wallis rank sum test	0.004	0	0	0	0	2.1216178637653178e-4
Akkermansia (OTU 3)	27.161661329992107	1.843751763978458e-5	4	Kruskal-Wallis rank sum test	0.0085	0.008	0.234	0.1905	0.0865	2.2376441862829468e-4
Lachnospiraceae (OTU 30)	27.251481320380822	1.7682101849632834e-5	4	Kruskal-Wallis rank sum test	0.0025	0.0025	0	0	0	2.2376441862829468e-4
Lachnospiraceae (OTU 11)	26.810200441394322	2.1714769760278663e-5	4	Kruskal-Wallis rank sum test	0.031	0.003	0	5e-4	5e-4	2.5208015330410445e-4
Lachnospiraceae (OTU 29)	25.0687502801225	4.87335728594671e-5	4	Kruskal-Wallis rank sum test	0.004	0	0.013	0.01	0	5.421609980615715e-4
Acetatifactor (OTU 55)	24.589924608632632	6.0820897756161956e-5	4	Kruskal-Wallis rank sum test	0.008	0	0	0	0	6.480534056124961e-4
Ruminococcaceae (OTU 98)	24.51013932956269	6.31063241420408e-5	4	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	6.480534056124961e-4
Lachnospiraceae (OTU 63)	24.261268021958106	7.079755890323602e-5	4	Kruskal-Wallis rank sum test	0.005	0	0	0	0	7.001091935986673e-4
Lachnospiraceae (OTU 73)	23.912282889240764	8.317435206886927e-5	4	Kruskal-Wallis rank sum test	0.0025	0	0	0	0.001	7.926222418232424e-4
Ruminococcaceae (OTU 101)	23.83760056134848	8.609005622799261e-5	4	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	7.926222418232424e-4
Porphyromonadaceae (OTU 6)	22.92898980983714	1.3083014098404637e-4	4	Kruskal-Wallis rank sum test	0	0	0	0	0.11649999999999999	0.0011643882547580128
Porphyromonadaceae (OTU 40)	22.408271787296925	1.6619296720627702e-4	4	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0.0014314039433572893
Lachnospiraceae (OTU 33)	22.205786657262443	1.8237440994074423e-4	4	Kruskal-Wallis rank sum test	0.003	0	0	0.0035	0.004	0.0015216864829430848
Lachnospiraceae (OTU 70)	22.06372935964561	1.9465025782168435e-4	4	Kruskal-Wallis rank sum test	0	0.001	0	0.0015	0	0.0015748975405572643
Lachnospiraceae (OTU 24)	21.535969533611027	2.478710075486963e-4	4	Kruskal-Wallis rank sum test	0.010499999999999999	0.0035	0.004	0	0	0.0019465164416324092
Lachnospiraceae (OTU 49)	21.403625598794328	2.6333882960378677e-4	4	Kruskal-Wallis rank sum test	0.001	0.0025	0.003	0	0	0.0020088990715488877
Lachnospiraceae (OTU 17)	20.495546209425225	3.985797549352249e-4	4	Kruskal-Wallis rank sum test	0.0025	0.002	0.006	0.019	0.005	0.002800547225465922
Lachnospiraceae (OTU 34)	20.507011962901608	3.965032744429893e-4	4	Kruskal-Wallis rank sum test	0.004	0	0	0	0	0.002800547225465922
Lachnospiraceae (OTU 135)	20.54067663257277	3.9046822208700524e-4	4	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.002800547225465922
Porphyromonadaceae (OTU 8)	19.555511038102505	6.110870221670888e-4	4	Kruskal-Wallis rank sum test	0.0295	0	0	0	0.0305	0.004183595767143915
Ruminococcaceae (OTU 118)	19.237562403698014	7.05815308742837e-4	4	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0.004711317185858437
Bacteroides (OTU 1)	18.45991608962818	0.0010031225780536453	4	Kruskal-Wallis rank sum test	0.1065	0.591	0.459	0.4745	0.2365	0.006532529959520079
Acetatifactor (OTU 78)	18.349420442571116	0.0010543772509043574	4	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.006702826809320557
Lachnospiraceae (OTU 16)	17.79310858808604	0.0013544393845638068	4	Kruskal-Wallis rank sum test	0.008	5e-4	0.002	0.009	0.003	0.00841012362043108
Bacteria (OTU 108)	17.704820766378273	0.0014092547661117268	4	Kruskal-Wallis rank sum test	0.002	0	0	0	0	0.008551614148905252
Lachnospiraceae (OTU 46)	17.483373830119287	0.0015565668534929687	4	Kruskal-Wallis rank sum test	0.0015	0.002	0	0	0	0.009034855432230926
Lachnospiraceae (OTU 84)	17.511060621708168	0.0015373486913165331	4	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.009034855432230926
Ruminococcaceae (OTU 50)	16.87506231142592	0.002044020167767178	4	Kruskal-Wallis rank sum test	0.0045000000000000005	0	0	0	0	0.011611774144549713
Ruminococcaceae (OTU 92)	16.762204142011836	0.0021497476339055045	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.011713930984750402
Firmicutes (OTU 155)	16.787037037037038	0.0021260306415902108	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.011713930984750402
Ruminococcaceae (OTU 59)	16.545620222006583	0.0023679666704987624	4	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0.01264494202046339
Lachnospiraceae (OTU 31)	16.119108673294477	0.0028634319013751824	4	Kruskal-Wallis rank sum test	0.002	0	0	0	0	0.014954823680995917
Lachnospiraceae (OTU 128)	16.080866873065006	0.002912549930381227	4	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.014954823680995917
Lachnospiraceae (OTU 4)	15.977835887098632	0.0030490492308801616	4	Kruskal-Wallis rank sum test	0.0815	0.047	0.059	0.034	0.0095	0.015360304615943458
Lachnospiraceae (OTU 133)	15.809721194177145	0.0032854116104068117	4	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.016244535184789237
Lachnospiraceae (OTU 110)	15.648847700303996	0.0035284361063514704	4	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.01712895346174259
Lachnospiraceae (OTU 36)	15.491923130948935	0.0037825022894807637	4	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0.018034430558774357
Lachnospiraceae (OTU 20)	14.97701231432198	0.004749133372198456	4	Kruskal-Wallis rank sum test	0.010499999999999999	0.005	0.004	0.001	0	0.02224594053292961
Lactobacillus (OTU 13)	14.631100184388414	0.005530799907746729	4	Kruskal-Wallis rank sum test	0.014	0.004	0.017	0.009	0.0025	0.024767742569599027
Lachnospiraceae (OTU 90)	14.61676435517188	0.005565784847100905	4	Kruskal-Wallis rank sum test	0.0015	0	0	0.0015	5e-4	0.024767742569599027
Lachnospiraceae (OTU 183)	14.63194444444444	0.0055287463303961715	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.024767742569599027
Lachnospiraceae (OTU 58)	13.985925323004693	0.00734011202457092	4	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0.03212803132066288
Lactobacillus (OTU 23)	13.34485442355479	0.009708104846087012	4	Kruskal-Wallis rank sum test	0.006500000000000001	0.003	0.005	0.0055	0.0035	0.041807483772665036
Anaeroplasma (OTU 89)	13.125791855203653	0.01067723096985773	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.04525112172939705
Lachnospiraceae (OTU 68)	12.724367707632027	0.012704141379259846	4	Kruskal-Wallis rank sum test	0	0	0.001	0.0025	0.001	0.05300008981659967
Clostridiales (OTU 91)	12.432720526227046	0.014407454164798479	4	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0.05918138864617221
Lachnospiraceae (OTU 102)	12.085297455017004	0.016728115899676325	4	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0.06670161116981906
Lachnospiraceae (OTU 125)	12.083940397351018	0.016737857484561334	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.06670161116981906
Lachnospiraceae (OTU 161)	11.518043924259224	0.02131927336248683	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0837094998203527
Peptostreptococcaceae (OTU 12)	11.343276050400842	0.022965260580074035	4	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0.08722825121060904
Oscillibacter (OTU 45)	11.336093204110558	0.023035479877342533	4	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.08722825121060904
Ruminococcaceae (OTU 52)	11.319800634345302	0.023195527475480305	4	Kruskal-Wallis rank sum test	0.002	5e-4	0	0.001	0	0.08722825121060904
Lachnospiraceae (OTU 95)	10.550300241413279	0.032111125748950156	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.11907875798569016
Firmicutes (OTU 96)	10.339127218934914	0.03508661704966624	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.12833050345562858
Ruminococcaceae (OTU 65)	10.14453217980409	0.03806217666769685	4	Kruskal-Wallis rank sum test	5e-4	0	0.002	5e-4	5e-4	0.13733244824696025
Porphyromonadaceae (OTU 99)	10.09148936170197	0.038914435104342615	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.1385353889714597
Lachnospiraceae (OTU 32)	10.026533932993086	0.03998308548380782	4	Kruskal-Wallis rank sum test	0.006	0.002	0	0.0015	0	0.13864264706722973
Ruminococcaceae (OTU 60)	10.049946826066243	0.039594686602025746	4	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.13864264706722973
Lachnospiraceae (OTU 75)	9.813874714380614	0.04368240568898525	4	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0.14952823485844952
Clostridiales (OTU 195)	9.643617021276551	0.046878433165698404	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.15843723614229713
Lachnospiraceae (OTU 111)	9.538464821563442	0.04896285301202056	4	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.1634135219276186
Enterobacteriaceae (OTU 2)	9.228960337205045	0.055624520222107364	4	Kruskal-Wallis rank sum test	0	0	0.006	0.003	0.0015	0.18335489999139093
Porphyromonadaceae (OTU 7)	8.836251287332638	0.06532531077453804	4	Kruskal-Wallis rank sum test	0.0105	0	0	5e-4	0.0025	0.21210405146585418
Lachnospiraceae (OTU 94)	8.786267924485056	0.06666952638993229	4	Kruskal-Wallis rank sum test	0.001	0	0.001	0	0.0015	0.21210405146585418
Lachnospiraceae (OTU 148)	8.78406518786777	0.06672936450611143	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.21210405146585418
Lachnospiraceae (OTU 116)	8.54398998112762	0.07356498280577417	4	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.2310805930487259
Clostridiales (OTU 115)	8.417391814151216	0.0774311295723961	4	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.23972030666582095
Clostridiales (OTU 154)	8.395744680851086	0.07811111116077311	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.23972030666582095
Clostridium (OTU 22)	8.226658093310876	0.08361951294297908	4	Kruskal-Wallis rank sum test	0.0045000000000000005	0	0.008	0.0075	0.0015	0.2511792096386567
Butyricicoccus (OTU 56)	8.223481879032729	0.08372640321288558	4	Kruskal-Wallis rank sum test	0.001	0.0025	0	0.001	5e-4	0.2511792096386567
Lachnospiraceae (OTU 77)	8.1624884076497	0.08580413757121545	4	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.25455227479460585
Blautia (OTU 19)	7.96249999999982	0.09296156633667314	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.26345475816470104
Ruminococcaceae (OTU 61)	7.968234328848051	0.0927487666548883	4	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.26345475816470104
Lachnospiraceae (OTU 104)	7.922648168431283	0.09445314130747258	4	Kruskal-Wallis rank sum test	5e-4	0	0.001	0	0	0.26345475816470104
Ruminococcaceae (OTU 153)	7.915440115440129	0.09472530630640937	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.26345475816470104
