otu	method	C	WMR	CWM	RM	FRM	M1	1RM1	WMR-C	CWM-C	CWM-WMR	RM-C	RM-WMR	RM-CWM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	M1-C	M1-WMR	M1-CWM	M1-RM	M1-FRM	1RM1-C	1RM1-WMR	1RM1-CWM	1RM1-RM	1RM1-FRM	1RM1-M1
Bacteroides (OTU 1)	Kruskal-Wallis rank sum test	0.23299999999999998	0.5525	0.05450000000000001	0.628	0.3745	0.109	0.101	0.0013111888111888112	0.2475911075718109	0.048400294327285556	0.007588874187111929	0.20670339129989468	0.039034369443567266	0.145813545808399	0.0013111888111888112	0.7494985997322448	0.048400294327285556	0.7494985997322448	0.0013111888111888112	0.7494985997322448	0.048400294327285556	0.007575757575757576	0.7494985997322448	0.0013111888111888112	0.7494985997322448	0.048400294327285556	0.007575757575757576	0.8725590308923818
Enterobacteriaceae (OTU 2)	Kruskal-Wallis rank sum test	0.0015	0.0015	0.067	0.0555	0.0245	0.001	0	0.9756726194616122	0.002573845134861634	0.01710892521677432	0.0010004609255834722	0.008805824270524402	0.8566217956592606	0.017450136249554993	0.08461422060240772	0.45447941931360414	0.45447941931360414	0.673220119075781	0.7639367479760818	0.008805824270524402	0.006144669739641843	0.03616850536977515	0.24156900367333325	0.3292373365529818	0.006144669739641843	0.006144669739641843	0.018859409607987515	0.45447941931360414
Akkermansia (OTU 3)	Kruskal-Wallis rank sum test	0.14800000000000002	0.006500000000000001	0.2565	0.11599999999999999	0.133	0.0195	0.004	0.1272716044652937	0.06685718766980037	0.030303030303030304	0.39011815701461006	0.04810751521126401	0.19367720111073516	0.8275117923073757	0.15446868760176288	0.1272716044652937	0.8275117923073757	0.11870250492541515	0.8275117923073757	0.030303030303030304	0.004524886877828054	0.030303030303030304	0.06107696970647169	0.8275117923073757	0.030303030303030304	0.030303030303030304	0.06685718766980037	0.8275117923073757
Lachnospiraceae (OTU 4)	Kruskal-Wallis rank sum test	0.08499999999999999	0.03	0.003	0.006500000000000001	5e-4	0.0335	0.0505	0.07751677874314772	0.03244832288559024	0.3017683312727189	0.007358113954536865	0.07751677874314772	0.7185695996305955	0.007358113954536865	0.026129894553661867	0.2789278937094851	0.03244832288559024	0.07751677874314772	0.7858040930424529	0.7012685951636454	0.2694805194805195	0.07751677874314772	0.2694805194805195	0.6422602545903888	0.2789278937094851	0.026129894553661867	0.026129894553661867	0.2694805194805195
Turicibacter (OTU 5)	Kruskal-Wallis rank sum test	0.0055	0.0345	0.056499999999999995	0.026	0.019	0.025	0.012499999999999999	0.35198082836532807	0.08788525104088322	0.17659044396151413	0.17659044396151413	0.5363554296708916	0.08788525104088322	0.6737284654161602	0.4045990079784327	0.08996358024692536	0.5981730432016583	0.9463048150901251	0.6737284654161602	0.17659044396151413	0.866603383157769	1	0.9463048150901251	0.17659044396151413	0.08788525104088322	0.08788525104088322	0.5981730432016583	0.8503812428699726
Porphyromonadaceae (OTU 6)	Kruskal-Wallis rank sum test	0	0	0	0	0.154	0.2225	0.1875	0.11019792749660497	0.8104633085629253	0.11019792749660497	0.46734786854032745	0.24426223037865266	0.5169835998005012	0.015071611651621911	6.115552417327667e-4	6.115552417327667e-4	6.115552417327667e-4	0.015071611651621911	6.115552417327667e-4	6.115552417327667e-4	6.115552417327667e-4	0.015071611651621911	0.015071611651621911	6.115552417327667e-4	6.115552417327667e-4	6.115552417327667e-4	0.17329545454545453	0.22192513368983957
Porphyromonadaceae (OTU 7)	Kruskal-Wallis rank sum test	0	0.004	0	0	0	0.052500000000000005	0.059500000000000004	0.3865353745444877	0.07234906227449844	0.025832566825208153	0.5709157556633507	0.1792464200440095	0.46434013945451813	0.49936578761934663	0.2981620123208472	0.49936578761934663	0.9425378416084825	0.10857201731578642	0.651308716116619	9.433788769031877e-5	0.04703852789055479	0.025832566825208153	0.07963143599779568	0.602177045308558	9.433788769031877e-5	0.04703852789055479	0.025832566825208153	0.49936578761934663
Porphyromonadaceae (OTU 8)	Kruskal-Wallis rank sum test	0.0495	0	0	0	0.017	0.0475	0.0255	0.004106530383433433	2.9685249421092317e-4	NA	0.0019514661501289629	NA	NA	0.7771344603203546	4.252137753481733e-4	1.65098529891226e-5	2.2457232338053562e-4	1	4.252137753481733e-4	1.65098529891226e-5	2.2457232338053562e-4	0.034230063237848475	0.8319080001486583	4.252137753481733e-4	1.65098529891226e-5	2.2457232338053562e-4	1	0.13975017530981762
Porphyromonadaceae (OTU 10)	Kruskal-Wallis rank sum test	0	0	0	0	0.1515	0.07050000000000001	0.049	0.0278005506584845	0.005123485075822843	NA	0.01856911787560801	NA	NA	0.019488787070002494	4.724597503868592e-4	1.65098529891226e-5	2.2457232338053562e-4	0.07530541474046745	4.724597503868592e-4	1.65098529891226e-5	2.2457232338053562e-4	0.012987012987012988	0.1022617293102804	4.724597503868592e-4	1.65098529891226e-5	2.2457232338053562e-4	0.0070838252656434475	0.30952380952380953
Lachnospiraceae (OTU 11)	Kruskal-Wallis rank sum test	0.023	0.0075	0	0	0	0.001	0.010499999999999999	0.01763244595827187	3.187520681440691e-4	0.01763244595827187	7.44294967872711e-4	0.040691623027202056	0.2612927597206675	0.008200214340493037	0.03702277869807402	0.44453785376403143	0.1894455090383972	0.015054901869681779	0.20123697482357872	0.15063998126054806	0.25368762896346536	0.12951744747591076	0.145813545808399	0.3649101773439563	0.02919096097598358	0.0833003951910882	0.05972539075959708	0.20123697482357872
Peptostreptococcaceae (OTU 12)	Kruskal-Wallis rank sum test	0	0	0.0055	0.002	0.0015	0	0	0.2340632647766656	0.01536299522750119	0.18324865543344107	0.008297206873050921	0.08715964779154807	0.4004896247341944	0.031019560545633856	0.2340632647766656	0.5306989613861873	0.9239586759373215	0.6161883457483804	0.2340632647766656	0.051906113191684304	0.031019560545633856	0.06320147170327733	0.6161883457483804	0.2340632647766656	0.051906113191684304	0.031019560545633856	0.06320147170327733	NA
Porphyromonadaceae (OTU 14)	Kruskal-Wallis rank sum test	0	0	0	0	0.0405	0.08549999999999999	0.054	NA	0.2768718616663441	0.35097164425609945	0.35097164425609945	0.43296188608027264	0.8386947252708501	8.143841527616572e-5	3.93716458655716e-4	8.143841527616572e-5	3.46016503451146e-4	8.143841527616572e-5	3.93716458655716e-4	8.143841527616572e-5	3.46016503451146e-4	0.23953823953823952	8.143841527616572e-5	3.93716458655716e-4	8.143841527616572e-5	3.46016503451146e-4	0.23953823953823952	0.23953823953823952
Porphyromonadaceae (OTU 15)	Kruskal-Wallis rank sum test	0	0	0	0	0.008	0.052500000000000005	0	0.34453181822462303	0.47903889561960417	0.5707661478083266	0.7150438057040062	0.19111343795368674	0.19938250027159912	0.018084643658866244	0.0012402068447655054	9.433788769031877e-5	0.043642064374179675	0.018084643658866244	0.0012402068447655054	9.433788769031877e-5	0.037200101315847396	0.018084643658866244	0.5707661478083266	0.13982029727137457	0.13982029727137457	0.8588828517303749	0.47903889561960417	0.3310070428797701
Lachnospiraceae (OTU 17)	Kruskal-Wallis rank sum test	0.002	0.0025	0.014	0.0015	0.003	0.0015	0.004	1	0.06034803183003622	0.06034803183003622	0.937760372300168	1	0.06034803183003622	1	1	0.16103861272993147	1	0.5281564578176751	0.5281564578176751	0.06034803183003622	0.6646993692311015	0.6474585928333477	0.4615823436374587	0.565025254590333	0.2291497356817577	0.6646993692311015	0.6646993692311015	0.21463488936007535
Lachnospiraceae (OTU 20)	Kruskal-Wallis rank sum test	0.010499999999999999	0.006500000000000001	0	0	0	0.002	0.009	0.6927750532562417	0.006484741417381982	0.021498385573039302	0.0014104181852995568	0.0019405681679040335	0.2640568907394662	0.006150160755369778	0.007958150135171963	0.17516766519161509	0.40217446988651817	0.019876661990732833	0.08431450174678667	0.3603085344870021	0.019876661990732833	0.019876661990732833	0.6927750532562417	0.8698039553986283	0.021498385573039302	0.0019405681679040335	0.007958150135171963	0.06779093004414656
Porphyromonadaceae (OTU 21)	Kruskal-Wallis rank sum test	0	0	0	0	0.008	0.0185	0	NA	0.50605416903226	0.5318840693228845	NA	NA	0.510958843055445	8.289630013182222e-4	0.0027759001432126856	8.289630013182222e-4	0.001413349156485777	8.289630013182222e-4	0.0027759001432126856	8.289630013182222e-4	0.001413349156485777	0.50605416903226	0.06516173162375538	0.10985880499893716	0.10985880499893716	0.08744927566204518	0.5604106478408556	0.29495696870016963
Lachnospiraceae (OTU 24)	Kruskal-Wallis rank sum test	0.0085	0.0015	0.001	0	0	0.0015	0	0.05468435433452534	0.003492591939531883	0.45314235388501367	2.0581311540190288e-4	0.003492591939531883	0.03452184025312198	0.003492591939531883	0.03452184025312198	0.14095125364403116	0.7788276376101656	0.023202750897704214	0.8630481878852257	0.9047126266999552	0.006012658994318148	0.043396423819908575	0.003492591939531883	0.03452184025312198	0.14095125364403116	0.7788276376101656	1	0.043396423819908575
Porphyromonadaceae (OTU 25)	Kruskal-Wallis rank sum test	0	0	0	0	0.004	0.026500000000000003	0.0315	NA	NA	NA	0.3553587898093007	0.43550872070427427	0.2968722281713905	0.0021180824229810663	0.008932554565639647	5.362231591383412e-4	0.013587736723385578	1.0994186062282372e-4	5.315172191852166e-4	2.4764779483683904e-5	4.6712227965904705e-4	0.0390187822365777	1.0994186062282372e-4	5.315172191852166e-4	2.4764779483683904e-5	4.6712227965904705e-4	0.027723304731969534	1
Ruminococcaceae (OTU 27)	Kruskal-Wallis rank sum test	0.005	0	0	0	0	0	5e-4	0.021670650844077016	2.53686396744674e-6	0.015515174413964364	5.262776313132846e-5	0.034853085503067205	NA	0.0029528984770972977	0.1302164659346505	NA	NA	0.0033396058618013844	0.5215886416259701	0.026807389302781703	0.072290834822517	0.20873402015989082	0.02266276285866767	1	0.007620173999117799	0.02328375174322323	0.10247534305786346	0.469791939537143
Lachnospiraceae (OTU 29)	Kruskal-Wallis rank sum test	0.0055	0	5e-4	0.0015	0	0.0015	0.004	0.0023113267215518585	0.24354722030284603	0.03525719931165238	0.7447186368873814	0.03960231566249123	0.8467738629442508	0.02156674818735243	0.34338936352948196	0.24354722030284603	0.24354722030284603	0.24354722030284603	0.022926890051808424	0.9440304639411534	0.8467738629442508	0.19302540084087833	0.7447186368873814	0.0023113267215518585	0.24354722030284603	0.7447186368873814	0.02156674818735243	0.24354722030284603
Lachnospiraceae (OTU 30)	Kruskal-Wallis rank sum test	5e-4	0.006500000000000001	0	0	0	0.001	0.004	0.036899505778768694	0.20976431480320235	0.010276979153810439	0.0207114296503971	0.0014602460733353579	0.1318769068141463	0.07763170555552859	0.010276979153810439	0.2502960736679165	NA	0.9304870407550898	0.0207114296503971	0.2019919898722935	0.010276979153810439	0.053771023706816176	0.20976431480320235	0.2263921969316059	0.05775320134274086	0.00466032829013532	0.023662692846110514	0.07763170555552859
Lachnospiraceae (OTU 31)	Kruskal-Wallis rank sum test	0.003	0	0	0	0	0	0.001	0.012433585109962179	0.003884992036182371	0.776814004155482	0.004290017818852628	0.48508069551037775	0.6055808510286755	0.04506170115105933	0.776814004155482	0.6087814894936856	0.3247510810147824	0.027566868017466526	0.6101235487396773	0.700475001706545	NA	0.5780810884675516	0.3247510810147824	0.05113259345700402	0.014337574264487963	0.012433585109962179	0.17406029229211614	0.062331534625927484
Lachnospiraceae (OTU 32)	Kruskal-Wallis rank sum test	0.004	0.002	0	0	0	0.002	0.008	0.6739537131963111	0.12368050001149108	0.2152338509692672	0.019630231689020665	0.022288602430807235	0.35650340513164697	0.20824478447859615	0.4682096959047424	0.9503809166282116	0.4680749020679115	0.4682096959047424	0.9552098885899548	0.20824478447859615	0.022288602430807235	0.5891492542761535	0.42078739874006665	0.20794304438843142	0.034827650867471666	0.007835438273172724	0.12368050001149108	0.1671321555332092
Lachnospiraceae (OTU 33)	Kruskal-Wallis rank sum test	0.003	0	0	0.001	0.001	5e-4	0.0035	0.0039535055019682625	0.008218533575116729	0.2932618647330796	0.09910541647823382	0.02460808419496509	0.09910541647823382	0.1816199436930607	0.008218533575116729	0.051096118772255256	0.6579779778782311	0.036923344485453174	0.05471883079609439	0.3548182287170321	0.573757193498902	0.3548182287170321	0.9667917094612971	0.02460808419496509	0.07977769801720407	0.4741968344940468	0.573757193498902	0.254204177641921
Lachnospiraceae (OTU 34)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.0691915715856061	0.04253140083925221	NA	0.05620511200786335	NA	NA	0.11223390176697493	NA	NA	NA	0.6278583560471002	0.11223390176697493	0.05620511200786335	0.10410628055005378	0.21966791955528142	0.6506387947444084	0.11223390176697493	0.05620511200786335	0.10410628055005378	0.21966791955528142	1
Clostridiales (OTU 35)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	0.0015	0.011182617690860047	0.010589084046851004	0.5651268236555648	0.010589084046851004	NA	0.5651268236555648	0.0424007031514918	NA	0.6675114722144723	NA	0.3859578556997804	0.1318305659987246	0.1515895218368474	0.09716586184671686	0.2636015034663377	0.7666930604855825	0.016376350037006018	0.011182617690860047	0.011182617690860047	0.0639914900995683	0.5651268236555648
Ruminococcaceae (OTU 37)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.9004619311542493	0.22268845931950754	0.22268845931950754	0.45154167962883907	0.5602939780531653	0.17601870145593823	1	0.9004619311542493	0.45154167962883907	0.45154167962883907	0.5602939780531653	0.6223260197144708	0.22268845931950754	NA	0.5602939780531653	0.5602939780531653	0.6223260197144708	0.22268845931950754	NA	0.5602939780531653	NA
Bacteroidales (OTU 38)	Kruskal-Wallis rank sum test	0	0	0	0	0.002	0.025	0.01	NA	NA	NA	NA	NA	NA	0.008907046007177264	0.02255180068041601	0.004535817856617738	0.013432933698013402	1.832364343713729e-4	7.984761326911681e-4	4.127463247280651e-5	3.7428720563422607e-4	0.007953036189661864	0.002916076653844233	0.008099565499694431	7.984761326911681e-4	0.0046625944162358175	0.27956930105218725	0.010019813141287403
