otu	method	C	WMR	CWM	RM	FRM	M1	1RM1	WMR-C	CWM-C	CWM-WMR	RM-C	RM-WMR	RM-CWM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	M1-C	M1-WMR	M1-CWM	M1-RM	M1-FRM	1RM1-C	1RM1-WMR	1RM1-CWM	1RM1-RM	1RM1-FRM	1RM1-M1
Porphyromonadaceae (OTU 40)	Kruskal-Wallis rank sum test	0	0	0	0	0.0055	0.012	0	NA	NA	NA	NA	NA	NA	6.908025010985185e-4	0.0023132501193439048	2.211674884850167e-4	0.0011777909637381474	6.908025010985185e-4	0.0023132501193439048	2.211674884850167e-4	0.0011777909637381474	0.5382193245249324	0.048871298717816536	0.09154900416578098	0.024980049781272603	0.066249451259125125	0.5611486537974868	0.5611486537974868
Lachnospiraceae (OTU 41)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0	0	0.021406947935139024	0.003901148122829708	NA	0.015424832454851645	NA	NA	0.05246307805118905	NA	NA	NA	0.17573433564422514	0.10070390458235907	0.04121708213909979	0.0763446057367061	0.17573433564422514	0.05246307805118905	NA	NA	NA	NA	0.17573433564422514
Bacteria (OTU 43)	Kruskal-Wallis rank sum test	0.003	0	0	0	0	0	0.002	0.007507405045626399	0.0012669554339840268	NA	0.006541434237716431	NA	NA	0.026219311038901454	NA	NA	NA	0.026219311038901454	NA	NA	NA	NA	0.7978313003083835	0.028662244702716107	0.007507405045626399	0.025387974678569743	0.08045377962479983	0.08045377962479983
Porphyromonadaceae (OTU 44)	Kruskal-Wallis rank sum test	0	0	0	0	0.010499999999999999	0.02	0.012	NA	0.4953963988537722	0.5318840693228845	NA	NA	0.510958843055445	7.329457374854915e-5	3.543448127901444e-4	5.390736439446787e-5	1.4971488225369042e-4	7.329457374854915e-5	3.543448127901444e-4	5.390736439446787e-5	1.4971488225369042e-4	0.30890538033395176	7.329457374854915e-5	3.543448127901444e-4	5.390736439446787e-5	1.4971488225369042e-4	0.8088656132399987	0.1496410904449922
Oscillibacter (OTU 45)	Kruskal-Wallis rank sum test	0.004	0	0	0	0	0	0.001	0.00421710625981184	2.0211630264260224e-4	0.33663621276859046	2.0211630264260224e-4	0.10492459124857718	0.3471665619465079	0.005804996075700334	0.289142447202464	0.4939309486267016	NA	0.006773664556799443	0.4988636001811986	0.8164575944411389	0.2997702286290299	0.4760667787379836	0.05597765373993758	0.4582277617631397	0.03935643218757558	0.008048829712529492	0.05974558189646242	0.18245135720416508
Lachnospiraceae (OTU 46)	Kruskal-Wallis rank sum test	0.002	0.002	0	0	0	0	0.005	0.9760644521208744	0.046162803218067816	0.03214842523908945	0.03214842523908945	0.013691449434808567	0.5236771121860867	0.06659321759800002	0.03214842523908945	0.4539300504353586	0.5834742797969344	0.3770003526638156	0.32014220563060286	0.4916273111627285	0.307535087377394	0.307535087377394	0.5163418300701133	0.4916273111627285	0.03976632758036282	0.03214842523908945	0.06659321759800002	0.25874661913561414
Lachnospiraceae (OTU 47)	Kruskal-Wallis rank sum test	0.002	0	0	0	0	0.007	0.007	0.25860487022021245	0.018598098992415962	0.28439734725761456	0.02011306446762201	0.2529956161147058	0.727037650707066	0.034832632911993865	0.17723907863327426	0.2925326921811738	0.40217446988651817	0.554886684862192	0.13285850425223433	0.013475061984037875	0.013812536733472209	0.02208517998970315	0.2529956161147058	0.018598098992415962	0.0013822291953563054	0.00263233319198447	0.013475061984037875	0.73935787474536
Porphyromonadaceae (OTU 48)	Kruskal-Wallis rank sum test	0	0	0	0	0.003	0.010499999999999999	0.010499999999999999	NA	NA	NA	NA	NA	NA	0.0017650686858175554	0.006823479182085841	4.468526326152844e-4	0.0034241319775613105	9.161821718568644e-5	4.429310159876805e-4	2.0637316236403254e-5	1.8714360281711303e-4	0.00858841126396063	9.161821718568644e-5	4.429310159876805e-4	2.0637316236403254e-5	1.8714360281711303e-4	0.007269174319680369	1
Lachnospiraceae (OTU 49)	Kruskal-Wallis rank sum test	5e-4	0.003	0.001	0	0	0	0	0.09859006638134003	0.44780641613843714	0.3066342569359804	0.031272699405691794	0.005446331397490162	0.01311856239206069	0.09859006638134003	0.031272699405691794	0.05986077541099209	NA	0.22538582533441437	0.04212352877936362	0.09859006638134003	0.2783580694412421	0.44780641613843714	0.4092562589487724	0.09859006638134003	0.21146475354593744	0.2783580694412421	0.44780641613843714	1
Ruminococcaceae (OTU 50)	Kruskal-Wallis rank sum test	0.0025	0	0	0	0	0	0.001	0.019075773072498536	0.016226881408240166	0.9759932266832567	3.8937786448142774e-4	0.1359215711750376	0.1359215711750376	0.011096260502304283	0.2783580694412421	0.2783580694412421	NA	0.01597361032693272	0.5482610856583133	0.536758419824951	0.2783580694412421	0.521199216313712	0.2783580694412421	0.521199216313712	0.536758419824951	0.03846662830086325	0.16253288813090874	0.2783580694412421
Clostridium (OTU 51)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	0.0025	0.2946590205144801	0.2946590205144801	0.7534770730399083	0.06516794349528275	0.5032440081615005	0.2946590205144801	0.09802758396660809	0.39334829686212647	0.2946590205144801	0.6483047553299272	0.2946590205144801	0.8720638371254654	0.9668431256862893	0.3054400519803824	0.2946590205144801	0.2946590205144801	0.09802758396660809	0.09802758396660809	0.036075953965908895	0.06516794349528275	0.15345796316008986
Ruminococcaceae (OTU 52)	Kruskal-Wallis rank sum test	0.002	0	0	0	0	0	5e-4	0.33542911710727885	6.746954302039017e-5	0.13231908449449187	1.9242131310835028e-4	0.07454687732600485	0.3641279366399213	0.013871812106230062	0.38180141898464764	0.8098411879110161	0.34633961097027066	0.018512590481200863	0.6574022614342866	0.3530287627096009	0.12650896093940475	0.6574022614342866	0.34633961097027066	1	0.10308341492176945	0.04889587866076879	0.34633961097027066	0.5158499728250981
Ruminococcaceae (OTU 54)	Kruskal-Wallis rank sum test	0.0035	0	0	0	0	0	0	7.031709774672854e-4	2.8640105267447174e-5	NA	3.372782225168898e-4	NA	NA	0.00531621213007861	NA	NA	NA	0.00531621213007861	NA	NA	NA	NA	0.029147906369134162	0.2997843649860557	0.16009094913098693	0.26791964183719547	0.40465676192728606	0.40465676192728606
Acetatifactor (OTU 55)	Kruskal-Wallis rank sum test	0.003	0	0	0	0	0.0015	0.004	0.02886515875727741	0.02886515875727741	0.9538589901398358	0.007831714586212736	0.16481471725313057	0.24284493477027694	0.02886515875727741	0.17420348487660195	0.24284493477027694	0.6141834524178257	0.2565480570856109	0.23174865830104877	0.34063201693923406	0.02886515875727741	0.05890330022150147	0.9457145405900534	0.05890330022150147	0.05890330022150147	0.01537227568903727	0.02886515875727741	0.34063201693923406
Butyricicoccus (OTU 56)	Kruskal-Wallis rank sum test	0.002	0.0015	0	0	0	0	0.001	0.6856203333418386	6.691045898432198e-4	6.691045898432198e-4	0.003434988701559038	0.003335646553306354	NA	0.02880683164256862	0.02880683164256862	NA	NA	0.13260132098837243	0.15395625135775665	0.02880683164256862	0.07949934151095016	0.21088120277307015	0.7997945327053059	0.7997945327053059	5.142079256284604e-4	0.0020295637009997976	0.023150055919080013	0.1921598037001837
Oscillibacter (OTU 57)	Kruskal-Wallis rank sum test	0.004	0	0	0	0	0.002	0.006	0.0024916501310699103	2.8007424227159983e-6	0.10051864048884715	3.866616432405201e-5	0.15131325775635704	NA	0.0020341774195938595	0.8113636638523745	0.13583474471720103	0.21650072067652162	0.11514063301817021	0.14905863400175573	0.0010724463182766825	0.006277575292195736	0.11312844005326203	0.6797010802961416	0.015206852218861911	2.7280478906009833e-5	3.6976398786413484e-4	0.00800203348174983	0.07968430084744406
Lachnospiraceae (OTU 58)	Kruskal-Wallis rank sum test	0.003	0	0	0	0	0	0	0.08302887205338438	0.02492619625636388	0.7474295171209487	0.02492619625636388	0.47295367812261824	0.6223260197144708	0.1016478465090986	0.6223260197144708	0.6675114722144723	NA	0.1016478465090986	0.6223260197144708	0.6675114722144723	NA	NA	0.2746308415340109	0.4330083552276906	0.2746308415340109	0.1457487927700753	0.31632180415960526	0.31632180415960526
Ruminococcaceae (OTU 59)	Kruskal-Wallis rank sum test	0.002	0	0	0	0	5e-4	0	0.03158211096875314	0.06482937071663353	0.47756192615060117	0.003450416233187142	0.4504320744024936	0.20514185504422758	0.03158211096875314	0.5459000172933954	0.3658173384377242	NA	0.21338489869200533	0.2793657726597036	0.47756192615060117	0.05769994245129487	0.18284949914727233	0.06482937071663353	0.47756192615060117	0.8953768298346201	0.1376968282333657	0.2899083613331817	0.47756192615060117
Ruminococcaceae (OTU 60)	Kruskal-Wallis rank sum test	5e-4	5e-4	0	0	0	0	0.001	0.8694661085303208	0.08961837284469364	0.09227363908920043	0.05295607445394959	0.05295607445394959	0.2803154926523539	0.10709753307039556	0.1095713966878064	0.4036988391904305	NA	0.4036988391904305	0.4036988391904305	0.49515335228198054	0.10709753307039556	0.2899083613331817	0.8694661085303208	1	0.08961837284469364	0.04829297827517695	0.08961837284469364	0.3797079280950947
Ruminococcaceae (OTU 61)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0.001	0.5966703226839539	0.5212705145993703	0.3439341715954867	0.08014054451904962	0.08014054451904962	0.18437149572236688	0.19294401087818508	0.18437149572236688	0.3439341715954867	NA	0.48695718362062956	0.8616891329555825	0.18437149572236688	0.024867170219924357	0.08014054451904962	0.18437149572236688	0.40831164418352756	0.04903276887670203	0.009020283115554657	0.04903276887670203	0.5966703226839539
Lachnospiraceae (OTU 62)	Kruskal-Wallis rank sum test	0.0015	5e-4	0	0	0	0.0025	0.0045000000000000005	0.3162871989130326	0.022589041665966238	0.3162871989130326	0.015199216295126038	0.13783765096085926	0.5743236150034836	0.03148768721206125	0.2438817030309852	0.6142794387728574	1	0.6142794387728574	0.26956874231849975	0.03148768721206125	0.022589041665966238	0.052692646494766585	0.0968535504541021	0.03148768721206125	0.009778771860832274	0.006657626259161152	0.019238874847702335	0.41378986104984694
Lachnospiraceae (OTU 63)	Kruskal-Wallis rank sum test	0.0035	0	0	0	0	0.001	0.003	0.010044120467513178	0.0017808542662648566	0.6647499126160968	0.0017808542662648566	0.18311830497006282	0.3471665619465079	0.016377920223668678	0.3732720930610126	0.4939309486267016	NA	0.08279201414997785	0.10042510681355872	0.056100438563777826	0.010044120467513178	0.0568813245329496	0.6194711310067722	0.07085220513490616	0.016487352316003494	0.010044120467513178	0.0568813245329496	0.47815149808637253
Lachnospiraceae (OTU 64)	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0.006999999999999999	0.7618303816963121	0.6489318978104506	0.959961587701003	0.5175642650860818	0.7436821302833231	0.7436821302833231	0.8418764452408843	0.6489318978104506	0.6489318978104506	0.5175642650860818	0.8523945165540371	0.6118930712541405	0.5175642650860818	0.2827585414680266	1	0.018708397909842505	0.01009557235880225	0.0056257174517930775	0.0056257174517930775	0.21136178458244584	0.024939243871728183
Ruminococcaceae (OTU 65)	Kruskal-Wallis rank sum test	0.001	0	0.0015	0	0	5e-4	0	0.029957359876753797	0.28617307703135214	0.029957359876753797	0.05783020164879281	0.48389857856030477	0.05783020164879281	0.05783020164879281	NA	0.05783020164879281	0.5849366213503101	0.567734343302934	0.05783020164879281	0.28617307703135214	0.16961810215200845	0.1410656982697842	0.13944141415681013	0.3503973097239612	0.11394531616609242	0.7316005889599014	0.48389857856030477	0.3765671300906823
Porphyromonadaceae (OTU 67)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01959550121578998	0.03157252095258241	0.012700289998529665	0.02328375174322323	0.07400996998623473	0.07400996998623473
Lachnospiraceae (OTU 68)	Kruskal-Wallis rank sum test	0	0	0.002	5e-4	0	0	0.0015	0.5401475974691591	0.07859162409947916	0.07859162409947916	0.3822429627600477	0.3055122014706343	0.3822429627600477	0.7777309307738949	0.5401475974691591	0.3822429627600477	0.7777309307738949	0.7777309307738949	0.8504362683123465	0.1729301076606948	0.3822429627600477	0.6063099716464762	0.05794028654161112	0.05794028654161112	0.8257089456583059	0.4298437117065566	0.45598588447953686	0.07859162409947916
Pseudoflavonifractor (OTU 69)	Kruskal-Wallis rank sum test	5e-4	5e-4	0	0	0	0	0.0025	0.6920647616701717	0.5776987953416314	0.7034983245413075	0.051650139343997335	0.051650139343997335	0.12025337952183685	0.12025337952183685	0.12025337952183685	0.25104905092032165	NA	0.5776987953416314	0.7523662654512628	1	0.12025337952183685	0.25104905092032165	0.2041039985236217	0.2041039985236217	0.12025337952183685	0.049734340439848715	0.12025337952183685	0.2041039985236217
Lachnospiraceae (OTU 70)	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0	0.0025	0.06352594014230159	0.2639973958226732	0.002797580987879701	0.5702047712315624	0.24288988537889067	0.11327103883204998	0.32139188479161584	0.0563689872081805	0.661948876612685	0.24288988537889067	0.661948876612685	0.2639973958226732	0.17161777982718462	1	0.2639973958226732	0.04887595762146207	0.32139188479161584	0.0023919281582475984	0.11327103883204998	0.04887595762146207	0.17161777982718462
Lachnospiraceae (OTU 73)	Kruskal-Wallis rank sum test	0.004	0	0	0	0	0.001	0.0035	9.386929462980195e-4	3.4408143044707993e-4	0.9381480476474937	0.0021387708803326634	0.9103564179200584	0.9103564179200584	0.00578476808939592	0.9381480476474937	0.9381480476474937	1	0.015053335363046696	0.04565866984196952	0.04565866984196952	0.1280261422573688	0.1682937361270201	0.9381480476474937	0.0021667228227555723	9.386929462980195e-4	0.004955134627549181	0.012092147191403392	0.020548653729386922
Lachnospiraceae (OTU 74)	Kruskal-Wallis rank sum test	0.001	5e-4	0	0	0	0.001	0.002	0.689486731448724	0.03821836561486156	0.13421314113996785	0.010987033330208871	0.03155025712814736	0.2212158011390438	0.03821836561486156	0.09961036062527853	0.3814538238952594	NA	1	0.7229960702836539	0.08292035648392	0.01425128207758227	0.06146553810305165	0.22895506671898275	0.21648156135693752	0.01425128207758227	0.00932065658027064	0.03155025712814736	0.3561960633895199
