day	method	C	M1	1RM1	M1-C	1RM1-C	1RM1-M1
1	Kruskal-Wallis rank sum test	8.993	20.889499999999998	29.3905	0.07142857142857142	0.07142857142857142	0.012987012987012988
2	Kruskal-Wallis rank sum test	28.329	25.633	42.25	0.9047619047619047	0.025974025974025976	0.07142857142857142
7	Kruskal-Wallis rank sum test	66.483	68.1215	85.697	0.8181818181818182	0.006493506493506494	0.006493506493506494
