genus	method	C	WMR	CWM	RM	FRM	M1	1RM1	WMR-C	CWM-C	CWM-WMR	RM-C	RM-WMR	RM-CWM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	M1-C	M1-WMR	M1-CWM	M1-RM	M1-FRM	1RM1-C	1RM1-WMR	1RM1-CWM	1RM1-RM	1RM1-FRM	1RM1-M1
Acetatifactor	Kruskal-Wallis rank sum test	0.008	0.001	0.001	0	0	0.0015	0.007	0.019876661990732833	0.017872926240129157	1	7.899831689377638e-4	0.019876661990732833	0.019876661990732833	0.008439523773520245	0.05050842342269313	0.05050842342269313	0.6141834524178257	0.0695137947462171	0.6141834524178257	0.6048996159967985	0.009090251583853286	0.019876661990732833	0.7120073512740546	0.057288990951513324	0.08855247770980422	0.008439523773520245	0.019876661990732833	0.10054679208583936
Akkermansia	Kruskal-Wallis rank sum test	0.14800000000000002	0.006500000000000001	0.2565	0.11599999999999999	0.1335	0.02	0.004	0.1272716044652937	0.06685718766980037	0.030303030303030304	0.39011815701461006	0.04810751521126401	0.19367720111073516	0.8496569358092843	0.15446868760176288	0.1272716044652937	0.8424274687250466	0.11870250492541515	0.8702827722810359	0.030303030303030304	0.004524886877828054	0.030303030303030304	0.06107696970647169	0.8496569358092843	0.030303030303030304	0.030303030303030304	0.06685718766980037	0.8496569358092843
Bacteroidales Unclassified	Kruskal-Wallis rank sum test	0	0	0	0	0.002	0.025500000000000002	0.01	NA	NA	NA	NA	NA	NA	0.008907046007177264	0.02255180068041601	0.004535817856617738	0.013432933698013402	1.832364343713729e-4	7.984761326911681e-4	4.127463247280651e-5	3.7428720563422607e-4	0.007953036189661864	0.002916076653844233	0.008099565499694431	7.984761326911681e-4	0.0046625944162358175	0.27956930105218725	0.010019813141287403
Bacteroides	Kruskal-Wallis rank sum test	0.23299999999999998	0.5525	0.05450000000000001	0.628	0.3745	0.1105	0.10200000000000001	0.0013111888111888112	0.2651050677011376	0.048400294327285556	0.00909277109454828	0.20670339129989468	0.039034369443567266	0.145813545808399	0.0013111888111888112	0.7494985997322448	0.048400294327285556	0.7494985997322448	0.0013111888111888112	0.7494985997322448	0.048400294327285556	0.007575757575757576	0.7494985997322448	0.0013111888111888112	0.7494985997322448	0.048400294327285556	0.007575757575757576	1
Butyricicoccus	Kruskal-Wallis rank sum test	0.002	0.0015	0	0	0	0	0.001	0.6856203333418386	6.691045898432198e-4	6.691045898432198e-4	0.003434988701559038	0.003335646553306354	NA	0.02880683164256862	0.02880683164256862	NA	NA	0.13260132098837243	0.15395625135775665	0.02880683164256862	0.07949934151095016	0.21088120277307015	0.7997945327053059	0.7997945327053059	5.142079256284604e-4	0.0020295637009997976	0.023150055919080013	0.1921598037001837
Clostridiales Unclassified	Kruskal-Wallis rank sum test	0.0075	0.0035	0.001	0	0	0.0045000000000000005	0.01	0.10349333939914217	8.954770557240565e-4	0.12823568748940306	8.954770557240565e-4	0.029929029495874643	0.1578336812275739	0.005177544832862904	0.0558961015724989	0.12823568748940306	0.652015006924882	0.3329863860913239	0.3329863860913239	0.007091238541165266	0.0022671191078077434	0.008550611043423261	0.620448549054875	0.029891150702268346	0.0019905587881694593	0.0019905587881694593	0.008550611043423261	0.2818111895712282
Clostridium IV	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	5e-4	0.09622029703758256	0.3036841491209503	0.19630733470715658	0.09622029703758256	0.4912856884048554	0.3036841491209503	0.13814917619658768	NA	0.3036841491209503	0.6174331003142163	0.32318476452456596	0.19630733470715658	1	0.32318476452456596	0.3036841491209503	1	0.13814917619658768	0.4912856884048554	0.18409221328538444	0.19630733470715658	0.4912856884048554
Clostridium XlVb	Kruskal-Wallis rank sum test	0.001	0	0	0	0	5e-4	0.003	0.19495131895682935	0.24806753781392823	0.5829417589960165	0.06985555190573413	0.7686528562298522	0.4195715166529349	0.06985555190573413	0.4195715166529349	0.2456848265993994	0.42686455835631254	0.42054508574441957	0.4990861438506948	0.765565402493579	0.30764298604722695	0.19495131895682935	0.2456848265993994	0.06985555190573413	0.09171845774536516	0.06985555190573413	0.06985555190573413	0.19495131895682935
Coriobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0	0	0.4236380213520176	0.11330537611408754	0.3692118258601295	0.24346376362784333	0.43657262595933993	NA	0.6251976357622895	0.2619670076688877	0.037076894641644056	0.10113172558843511	0.6184686845395974	0.776814004155482	0.2619670076688877	0.3692118258601295	0.4236380213520176	0.3692118258601295	0.6184686845395974	NA	NA	0.2539182568856116	0.5202729796207964
Enterobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0.0015	0.0015	0.067	0.0555	0.0245	0.0015	0	1	0.00301368694792746	0.01710892521677432	0.001148057634665669	0.009926464294791389	0.9518019951769562	0.017719959186677684	0.08461422060240772	0.46119696219478995	0.46119696219478995	1	1	0.016677960507446993	0.006920491402957404	0.05628001345798608	0.2246711102463054	0.3175452611544028	0.006920491402957404	0.006803272117145739	0.018859409607987515	0.3175452611544028
Firmicutes Unclassified	Kruskal-Wallis rank sum test	0.002	0	0	0	0	0	5e-4	0.02591792840364674	1.78159118719409e-4	0.1353040423185189	0.0015876207303080522	0.19227422021856597	NA	0.02975379046244304	0.8110701293339075	0.1833769053682214	0.2697932057661269	0.021870802845669945	0.35697432134577833	NA	NA	0.42846010086418523	0.19227422021856597	0.35697432134577833	0.012614412238021086	0.02975379046244304	0.2741895072101689	0.14627959931781787
Lachnospiraceae Unclassified	Kruskal-Wallis rank sum test	0.2555	0.11100000000000002	0.11349999999999999	0.043	0.0165	0.07400000000000001	0.211	0.04020730273088925	0.08412086694172395	1	0.004465705652006494	0.10451928027162011	0.0945990199552787	0.0021671826625387	0.03296703296703296	0.03535353535353536	0.20038812254882393	0.013869969040247678	0.3254833401892226	0.3970303723736218	0.3793456412057431	0.03535353535353536	0.3902069415023628	0.23699737762237766	0.23699737762237766	0.01219640701662024	0.01219640701662024	0.015151515151515152
Oscillibacter	Kruskal-Wallis rank sum test	0.012	0.001	0	0	0	0.002	0.009499999999999998	0.0027543440833639066	7.67638519370158e-5	0.13011747088073627	7.67638519370158e-5	0.018765368220571954	0.1290941517767839	0.002364145015635793	0.1659898524567153	0.7420606850674594	0.2273257567103477	0.025216939212971974	0.5992156654004593	0.06873253241864623	0.007533090350634883	0.11030022905193047	0.452013001389479	0.025216939212971974	0.0021279020687790555	5.240020878879164e-4	0.009619437423851167	0.052094774186112205
Peptostreptococcaceae Unclassified	Kruskal-Wallis rank sum test	0	0	0.0055	0.002	0.0015	0	0	0.2340632647766656	0.01536299522750119	0.18324865543344107	0.008297206873050921	0.08715964779154807	0.4004896247341944	0.031019560545633856	0.2340632647766656	0.5306989613861873	0.9239586759373215	0.6161883457483804	0.2340632647766656	0.051906113191684304	0.031019560545633856	0.06320147170327733	0.6161883457483804	0.2340632647766656	0.051906113191684304	0.031019560545633856	0.06320147170327733	NA
Porphyromonadaceae Unclassified	Kruskal-Wallis rank sum test	0.2395	0.0045000000000000005	0	0.001	0.433	0.6679999999999999	0.518	0.031375192424769306	2.647758127944183e-4	0.06452218088499458	0.0014275526081802435	0.49400067965508493	0.09570314117559191	0.012208462332301339	0.0029790557787749473	5.712795494949555e-4	0.0016279032320164837	5.41795665634675e-4	0.0022159891770756847	5.712795494949555e-4	0.0016279032320164837	0.003246753246753247	0.0012641898864809082	0.0022159891770756847	5.712795494949555e-4	0.0016279032320164837	0.07177033492822966	0.019886363636363636
Pseudoflavonifractor	Kruskal-Wallis rank sum test	5e-4	5e-4	0	0	0	0	0.0025	0.6920647616701717	0.5776987953416314	0.7034983245413075	0.051650139343997335	0.051650139343997335	0.12025337952183685	0.12025337952183685	0.12025337952183685	0.25104905092032165	NA	0.5776987953416314	0.7523662654512628	1	0.12025337952183685	0.25104905092032165	0.2041039985236217	0.2041039985236217	0.12025337952183685	0.049734340439848715	0.12025337952183685	0.2041039985236217
Ruminococcaceae Unclassified	Kruskal-Wallis rank sum test	0.03	0.0085	0.007	0	0	0.0085	0.011	0.01118769669895028	0.005066837760895491	0.7157020746073869	0.0014148041684326075	0.004987536629946412	0.004987536629946412	0.004987536629946412	0.013144616677177636	0.03392019615005834	0.3669812967184094	0.004987536629946412	0.956686155113512	0.8285056806858091	0.004987536629946412	0.008960122126569877	0.0095021186558175	0.7157020746073869	0.5453664564160089	0.004987536629946412	0.008960122126569877	0.17668028134064145
