otu	statistic	p.value	parameter	method	C	WMR	CWM	RM	FRM	p.value.adj
Porphyromonadaceae (OTU 14)	49.74710982658956	4.0776360374431287e-10	4	Kruskal-Wallis rank sum test	0	0	0	0	0.061	3.7650172745724887e-08
Bacteroidales (OTU 38)	49.74710982658956	4.0776360374431287e-10	4	Kruskal-Wallis rank sum test	0	0	0	0	0.013999999999999999	3.7650172745724887e-08
Porphyromonadaceae (OTU 80)	49.74710982658956	4.0776360374431287e-10	4	Kruskal-Wallis rank sum test	0	0	0	0	0.017	3.7650172745724887e-08
Porphyromonadaceae (OTU 25)	43.778642541087265	7.132166520860387e-9	4	Kruskal-Wallis rank sum test	0	0	0	0	0.031	2.82230018039761e-7
Bacteria (OTU 43)	43.855085093295045	6.8761727405691785e-9	4	Kruskal-Wallis rank sum test	0.0035	0	0	0	0	2.82230018039761e-7
Porphyromonadaceae (OTU 44)	44.178650442477846	5.890324059813441e-9	4	Kruskal-Wallis rank sum test	0	0	0	0	0.035500000000000004	2.82230018039761e-7
Porphyromonadaceae (OTU 48)	43.778642541087265	7.132166520860387e-9	4	Kruskal-Wallis rank sum test	0	0	0	0	0.013000000000000001	2.82230018039761e-7
Clostridiales (OTU 35)	42.408307104865095	1.3727370037941117e-8	4	Kruskal-Wallis rank sum test	0.025	0	0	0	0.0075	4.7531018756371115e-7
Porphyromonadaceae (OTU 87)	40.622344944774795	3.217934634758448e-8	4	Kruskal-Wallis rank sum test	0	0	0	0	0.0055	8.913678938280901e-7
Porphyromonadaceae (OTU 99)	40.622344944774795	3.217934634758448e-8	4	Kruskal-Wallis rank sum test	0	0	0	0	0.0025	8.913678938280901e-7
Porphyromonadaceae (OTU 10)	35.324555303418485	3.984143060622442e-7	4	Kruskal-Wallis rank sum test	0.0675	0	0	0	0.011	1.0032796616294695e-5
Ruminococcaceae (OTU 92)	32.52985362095534	1.4907224066426449e-6	4	Kruskal-Wallis rank sum test	0.001	0	0	0	0	3.4410842220001054e-5
