otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	p.value.adj
Lachnospiraceae (OTU 33)	55.685142066069496	3.3704254544569543e-10	6	Kruskal-Wallis rank sum test	0	0.006500000000000001	0	0	0.007	0.004	0	8.796810436132651e-8
Ruminococcaceae (OTU 37)	48.520222705615325	9.30011109117668e-9	6	Kruskal-Wallis rank sum test	0	0.006500000000000001	0	0	0.002	0.006	0	1.2136644973985567e-6
Lachnospiraceae (OTU 4)	46.520548178880105	2.331792988498267e-8	6	Kruskal-Wallis rank sum test	0	0.0385	0.033	0	0.0145	0.044	0	2.0286598999934926e-6
Bifidobacterium (OTU 28)	45.59522087406782	3.563907956902592e-8	6	Kruskal-Wallis rank sum test	0	0.006	0	0.011	0.0055	0.017	0	2.3254499418789415e-6
Lachnospiraceae (OTU 32)	44.843788246953686	5.026898100686875e-8	6	Kruskal-Wallis rank sum test	0	0	0.002	0	0	0	0	2.6240408085585488e-6
Enterobacteriaceae (OTU 2)	43.07595907106245	1.126752259140312e-7	6	Kruskal-Wallis rank sum test	0.166	0.0685	0	0.2635	0.0465	0.112	0.505	4.901372327260357e-6
Lachnospiraceae (OTU 30)	41.31951571699763	2.5048578957203426e-7	6	Kruskal-Wallis rank sum test	0	0	0.006	0	0	0.002	0	9.33954158261442e-6
Lachnospiraceae (OTU 24)	40.48284250987661	3.6606740658544335e-7	6	Kruskal-Wallis rank sum test	0	0.004	0.002	0	0.003	0.016	0	1.0615954790977857e-5
Ruminococcaceae (OTU 65)	40.53621477431794	3.57321837920134e-7	6	Kruskal-Wallis rank sum test	0	0.002	0	0	5e-4	0	0	1.0615954790977857e-5
Lachnospiraceae (OTU 31)	38.316653329244915	9.740715162017513e-7	6	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0.002	0	2.542326657286571e-5
Lachnospiraceae (OTU 11)	37.66424651157896	1.3065439147464024e-6	6	Kruskal-Wallis rank sum test	0	0.0035	0.007	0	0.0035	0.051	0	3.1000723795346454e-5
Lachnospiraceae (OTU 46)	36.489644225395196	2.21382494825599e-6	6	Kruskal-Wallis rank sum test	0	0	0.004	0	0	0	0	4.8150692624567785e-5
Lachnospiraceae (OTU 70)	35.59756936423878	3.3002190529597593e-6	6	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	6.625824406326901e-5
Clostridiales (OTU 91)	34.71407267774018	4.895498345287596e-6	6	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	9.126607629429017e-5
Butyricicoccus (OTU 56)	34.132493869804186	6.342457799913013e-6	6	Kruskal-Wallis rank sum test	0	0.0015	0.002	0	0.001	0	0	1.1035876571848642e-4
Lachnospiraceae (OTU 20)	32.87224571909724	1.1096309284824328e-5	6	Kruskal-Wallis rank sum test	0	0	0.007	0	0	0.001	0	1.6089648462995276e-4
Clostridium (OTU 22)	32.985244748838184	1.055460399524563e-5	6	Kruskal-Wallis rank sum test	0	0.004	0	0	0.002	0.001	0	1.6089648462995276e-4
Clostridium (OTU 51)	33.090929137592795	1.0071734380749933e-5	6	Kruskal-Wallis rank sum test	0	0.0055	0	0	0	0.003	0	1.6089648462995276e-4
Porphyromonadaceae (OTU 44)	31.580487804877617	1.9633875109389945e-5	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	2.697074422921461e-4
Lachnospiraceae (OTU 111)	30.984605935075145	2.5521411394077375e-5	6	Kruskal-Wallis rank sum test	0	0.001	0	0	5e-4	0.002	0	3.330544186927098e-4
Blautia (OTU 19)	30.819718599672715	2.7439276063789713e-5	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.018	3.4103100250710075e-4
Peptostreptococcaceae (OTU 12)	30.09716440315286	3.7671254078654396e-5	6	Kruskal-Wallis rank sum test	0.0045000000000000005	0.004	0	0.028499999999999998	0.001	0.001	0	4.0967488810536655e-4
Erysipelotrichaceae (OTU 39)	30.14058041287079	3.696170304988617e-5	6	Kruskal-Wallis rank sum test	0	0	0.004	0	0	0	0	4.0967488810536655e-4
Lachnospiraceae (OTU 75)	30.244357282062193	3.531883468798706e-5	6	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	4.0967488810536655e-4
Lachnospiraceae (OTU 26)	28.145397663608357	8.821938534679819e-5	6	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	9.21010383020573e-4
Ruminococcaceae (OTU 98)	27.759394048552473	1.0428923259709594e-4	6	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0	0.0010469034503016168
Lachnospiraceae (OTU 49)	27.535128547206394	1.149204811474152e-4	6	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0.0011108979844250135
Alistipes (OTU 18)	27.2686011904764	1.2895422789220212e-4	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0.0012020376242808841
Clostridiales (OTU 5477)	26.66666666666698	1.6717838000646787e-4	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.0015046054200582109
Pseudoflavonifractor (OTU 69)	26.467368402399757	1.821490827994161e-4	6	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0.00158469702035492
Lachnospiraceae (OTU 86)	25.67846195428914	2.5553384144349345e-4	6	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0.001	0	0.0021514300844113483
Akkermansia (OTU 3)	25.426588295536252	2.846055613549087e-4	6	Kruskal-Wallis rank sum test	0.0055	0.1995	0.075	0.0565	0.3245	0.429	0.001	0.0022561370180417925
Ruminococcaceae (OTU 92)	25.421225710014955	2.852587034305715e-4	6	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0	0.0022561370180417925
Ruminococcaceae (OTU 54)	25.085150191749204	3.292781586794913e-4	6	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0	0.002527694100451389
Lachnospiraceae (OTU 29)	24.923030673900406	3.528422430566955e-4	6	Kruskal-Wallis rank sum test	0	0.0015	0	0	0	0	0	0.002631195012508501
Lachnospiraceae (OTU 113)	24.746889430755466	3.8032889933513054e-4	6	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0.0027573845201796965
Turicibacter (OTU 5)	24.62485979389009	4.005972882617734e-4	6	Kruskal-Wallis rank sum test	0.009	0.0055	0.024	0.035500000000000004	0.0195	0.001	0	0.0028258349253060234
Bacteroides (OTU 1)	22.97485681957622	8.049435955154023e-4	6	Kruskal-Wallis rank sum test	0.6080000000000001	0.005	0.55	0.492	0.4215	0.001	0.454	0.005528691537618947
Lactobacillus (OTU 9)	22.762695622730828	8.799806305031246e-4	6	Kruskal-Wallis rank sum test	0.009000000000000001	0.024	0.004	0.005	0.008	0.053	0.004	0.005777723233566435
Ruminococcaceae (OTU 52)	22.747866840782084	8.854748250676528e-4	6	Kruskal-Wallis rank sum test	0	5e-4	0.001	0	0	0.001	0	0.005777723233566435
Ruminococcaceae (OTU 50)	22.565953338477193	9.556785207561926e-4	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.0060837096077406404
Oscillibacter (OTU 45)	22.46451654077355	9.971680120907163e-4	6	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0	0.006196686932278023
Lachnospiraceae (OTU 81)	21.72062694155988	0.0013603936580438203	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.008257273133707839
Lachnospiraceae (OTU 73)	20.933652751949865	0.0018856538040006765	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0.01118535551918583
Ruminococcaceae (OTU 60)	20.670653527190748	0.002101985044319066	6	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0	0.012191513257050583
Dorea (OTU 134)	20.44889561402563	0.0023030968761824167	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.01306757140616545
Lachnospiraceae (OTU 83)	20.127272727272867	0.002628558671902282	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.013766643530149223
Lachnospiraceae (OTU 84)	20.119192730192463	0.002637288032595637	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.013766643530149223
Clostridiales (OTU 226)	20.127272727272867	0.002628558671902282	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.013766643530149223
Lachnospiraceae (OTU 239)	20.127272727272867	0.002628558671902282	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.013766643530149223
Ruminococcaceae (OTU 118)	20.054512912802505	0.002708193494586722	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.013859578472296753
Lachnospiraceae (OTU 90)	19.639660791012172	0.003209273583785741	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0.002	0	0.016108084718616893
Lachnospiraceae (OTU 66)	19.464024983776753	0.003447683934109666	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.01697821710948345
Lachnospiraceae (OTU 125)	19.218333888065153	0.003810358870196849	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0.018416734539284767
Lachnospiraceae (OTU 34)	18.52325839734892	0.005049321664776537	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.02396132644557593
Acetatifactor (OTU 78)	17.873609512849935	0.006555936874024115	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.03055534864500525
Porphyromonadaceae (OTU 8)	17.69182294994224	0.0070503115842216	6	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0.004	0	0.032283005675119957
