otu	method	C	WMR	CWM	RM	FRM	WMR-C	CWM-C	CWM-WMR	RM-C	RM-WMR	RM-CWM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM
Bacteroides (OTU 1)	Kruskal-Wallis rank sum test	0.241	0.576	0.47750000000000004	0.45399999999999996	0.1335	0.003153180299045333	0.2822499633302266	0.3546170821574248	0.03999867911326991	0.3864391250144071	0.9444075804598334	0.445410121799892	0.003153180299045333	0.445410121799892	0.06914327761040794
Akkermansia (OTU 3)	Kruskal-Wallis rank sum test	0.0025	0.006	0.138	0.1555	0.081	0.622848161967673	0.031972377921610846	0.0841240887277455	0.013600451325973942	0.052042372760536235	0.7805662957864961	0.18514018373901756	0.5106967142179811	0.3400748555736645	0.2508439273145156
Porphyromonadaceae (OTU 6)	Kruskal-Wallis rank sum test	0.158	0	0	0	0.11549999999999999	0.03549330969798013	0.019741131691931958	0.5681082094805765	0.019741131691931958	NA	0.5493585936496838	1	0.0012787168192556308	2.0597795086130005e-4	3.3685848507080345e-4
Porphyromonadaceae (OTU 7)	Kruskal-Wallis rank sum test	0.0335	0	0	0	0.034	1	0.0019631070875171467	0.0627258525348016	0.7662936154909334	0.5827764679031598	0.13986520239359926	1	0.9551887487064881	2.2886438984588895e-4	0.5194591745409007
Porphyromonadaceae (OTU 8)	Kruskal-Wallis rank sum test	0.017	0	0	0	0.023	0.0215514644713665	0.00965659176066941	0.5610945278820509	0.22541864821497185	0.33701622121261454	0.4551122860877949	1	0.002131194698759385	3.3901182676463815e-4	0.03135901859370319
Porphyromonadaceae (OTU 10)	Kruskal-Wallis rank sum test	0.0675	0	0	0	0.011	0.004236855461335949	0.001608653563005725	0.30617559479497347	0.001608653563005725	NA	0.26062689020075824	0.17529343613466017	0.001259501765267593	3.3278758907772136e-4	3.3278758907772136e-4
Lachnospiraceae (OTU 11)	Kruskal-Wallis rank sum test	0.0445	0.007	0	0.014	0.013000000000000001	0.010528457719715993	0.001808672173359454	0.10624309795245353	0.15008813537256271	0.10624309795245353	0.001808672173359454	0.17150707469959786	0.26229611031422734	0.010528457719715993	0.5420437547262205
Peptostreptococcaceae (OTU 12)	Kruskal-Wallis rank sum test	0	0	0.0115	0	0	0.3513116315704451	0.004688811397107703	0.009285565153688473	0.3513116315704451	0.8356676979255002	0.004688811397107703	NA	0.3513116315704451	0.009285565153688473	0.3887516513602132
Porphyromonadaceae (OTU 14)	Kruskal-Wallis rank sum test	0	0	0	0	0.061	NA	NA	NA	NA	NA	NA	7.800425598315561e-4	5.68318586335836e-4	3.2554076381771e-5	1.4971488225369042e-4
Porphyromonadaceae (OTU 15)	Kruskal-Wallis rank sum test	0	0	0	0	0.0165	0.2884336487135733	0.30497101704136875	0.5610945278820509	0.8685181258352879	0.33701622121261454	0.4551122860877949	0.23256989544630738	0.002131194698759385	2.766911770355719e-4	0.05226503098950532
Alistipes (OTU 18)	Kruskal-Wallis rank sum test	0	0	0	0	0.002	NA	0.536101864250067	0.536101864250067	NA	NA	0.536101864250067	0.06797840497779754	0.06651242720969935	0.0558178381719473	0.0558178381719473
