otu	method	WM	C	WMR	CWM	RM	FRM	WMC	1RM1	WMN	CN	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-WM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	WMC-WM	WMC-C	WMC-WMR	WMC-CWM	WMC-RM	WMC-FRM	1RM1-WM	1RM1-C	1RM1-WMR	1RM1-CWM	1RM1-RM	1RM1-FRM	1RM1-WMC	WMN-WM	WMN-C	WMN-WMR	WMN-CWM	WMN-RM	WMN-FRM	WMN-WMC	WMN-1RM1	CN-WM	CN-C	CN-WMR	CN-CWM	CN-RM	CN-FRM	CN-WMC	CN-1RM1	CN-WMN
Bacteroides (OTU 1)	Kruskal-Wallis rank sum test	0.565	0.0015	0.819	0.003	0.001	0.0015	0.023	0.6845	0.581	0.002	7.64095075158918e-4	0.14582019421932266	0.007265069757365562	9.087082429378575e-4	0.16135914861150474	0.007758355293765428	0.0015656881997163734	0.1707341484020042	0.009937874227057114	0.025679042749902674	0.007591007576867712	0.6551082036333293	0.025679042749902674	0.1910154249804196	0.5972259474794798	0.025679042749902674	0.036639887211043276	0.08294930875576037	0.14582019421932266	0.025679042749902674	0.07625896210425258	0.2145223197854777	0.0016332144372273648	0.29670329670329665	0.0021907777028810508	0.0036325408237192257	0.012305089188307885	0.04120879120879121	0.7429864253393665	7.64095075158918e-4	0.10620629370629371	7.64095075158918e-4	0.0011031003230560896	0.007184178548539078	0.021531100478468897	0.07625896210425258	0.007591007576867712	0.4386175964127115	0.025679042749902674	0.6224975256107877	0.04234056314474385	0.3559412395060299	0.07235498732550855	0.012305089188307885	0.007184178548539078
Enterobacteriaceae (OTU 2)	Kruskal-Wallis rank sum test	0.183	0.885	0.0095	0.822	0.9655	0.9115	0.943	0.0755	0.25	0.917	2.895655069568113e-5	0.008658008658008658	0.001209970154069533	3.5946062932569676e-5	0.19932638344037484	0.0014985014985014985	0.0012555044221893032	0.01970867619150158	0.008889535895288556	0.00837619861817811	0.0021407164264307123	0.4151314523985331	0.017142857142857144	0.10014282392799015	0.18296799095741292	0.020202020202020204	0.10014282392799015	0.08294930875576037	0.029945553539019964	1	0.1923076923076923	0.020336806051091765	9.772835859792381e-5	0.09375	1.485928259383637e-4	0.0026374064122591957	0.005729564553093965	0.03571428571428571	0.3526100871868448	3.5946062932569676e-5	0.006624953993375046	1.0945576162967468e-4	0.0012555044221893032	0.0014985014985014985	0.017142857142857144	0.006624953993375046	0.0021407164264307123	0.47828713248329024	0.017142857142857144	0.10283574069302845	0.1923076923076923	1	0.1923076923076923	0.005729564553093965	0.0014985014985014985
Turicibacter (OTU 5)	Kruskal-Wallis rank sum test	0.044	0	0.01	0	0	0	0	0.0465	0.062	0	0.0037548200265302583	0.3755305686803936	0.013083117650446553	0.006178110070241536	0.5453147486676687	0.013083117650446553	0.00686354083605268	0.9645632526496091	0.010152501388171684	0.6112519083380136	0.019060546883570846	0.7886687963362646	0.022278258222731533	0.3075304547889175	0.6655633106907517	0.09061435888682769	0.9745437590875048	0.09061435888682769	0.9629676834850355	0.9629676834850355	0.7886687963362646	1	0.0025421046194230926	0.022383393501020872	0.0037141029751312305	0.0037548200265302583	0.013083117650446553	0.05631523747287864	0.8097394583186884	0.002661673815730236	0.25658956428187196	0.0037548200265302583	0.004794585930102147	0.01535593140011397	0.07930386228370619	0.8454411564351378	0.022383393501020872	0.9629676834850355	0.04131300079289679	0.9645632526496091	0.8454411564351378	0.6655633106907517	0.9629676834850355	0.013714472642708994	0.019060546883570846
Porphyromonadaceae (OTU 6)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	5e-4	0.002	0.0315	0.001	5e-4	0.04803062024285396	0.39284440847668395	0.7990483348001014	0.6568101284812982	0.08050771991531414	0.5912183994597127	0.04141565687110356	0.3629965764418031	0.24075256647956547	0.04803062024285396	0.6330195174150429	0.15314419826275502	0.6330195174150429	1	0.05769994245129487	0.9615313907549485	0.08050771991531414	0.43539587893589526	0.6330195174150429	0.045184889254748284	0.5680054114768078	0.15314419826275502	0.010600118673643327	0.1324681444818664	0.07762270290254908	0.010600118673643327	0.12257553190706119	0.43539587893589526	0.6568101284812982	0.08050771991531414	0.5680054114768078	1	0.045184889254748284	1	0.6330195174150429	0.09342615736375462	0.6568101284812982	0.15314419826275502	0.6330195174150429	1	0.05769994245129487	1	0.6567915102938774	0.1324681444818664	1
Porphyromonadaceae (OTU 7)	Kruskal-Wallis rank sum test	0	0	0.002	0	0	0	0.001	0.003	0	0	0.6897184370167667	0.1380120136146821	0.08081233367052372	0.5181307928259178	0.6534270901785786	0.17407010732100991	NA	0.6205295698889987	0.07496212588872499	0.40174876862876235	0.4738669846121898	0.5906515081993493	0.40174876862876235	0.9479133275155966	0.395164457240312	0.01790331971564834	0.004034207312093933	1	0.04425844170516108	0.004034207312093933	0.10820604874067968	0.0207460785045445	0.004034207312093933	0.8198993866227513	0.012951441020864549	0.005126361119148852	0.09200303356229085	0.6205295698889987	0.395164457240312	0.40174876862876235	0.40174876862876235	0.6696555677556456	0.2659619285766985	0.8198993866227513	0.336693274906213	0.10019687065587439	0.4738669846121898	0.5906515081993493	0.40174876862876235	0.9479133275155966	0.395164457240312	1	0.10820604874067968	0.09200303356229085	0.8198993866227513
Porphyromonadaceae (OTU 8)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0	0.001	0.014	0	0	0.36445622567599983	0.36445622567599983	0.45217950899461734	0.5237127041875536	0.7842970341691204	0.4135602559367979	0.16563829265693636	0.4135602559367979	0.7700064171707706	0.36445622567599983	0.22744085972477665	0.396148997404881	NA	0.36445622567599983	0.6791764103456379	1	0.39998102045050077	0.36445622567599983	0.5388394292155726	0.16563829265693636	0.20002254240060086	0.15079134722460757	0.02674546988042883	0.16563829265693636	0.047794414189023	0.02674546988042883	0.09502395515827892	0.36445622567599983	0.6198854190784654	0.7488422324410313	0.4135602559367979	0.98819968761554	0.36445622567599983	0.36445622567599983	0.6626264943452479	0.09502395515827892	0.5839936718346965	0.8613279831942598	0.4460916028993198	1	0.39998102045050077	0.36445622567599983	0.6080753870003412	0.15538273411860665	0.9882656741819469
Lactobacillus (OTU 9)	Kruskal-Wallis rank sum test	0.006	0.089	0.001	0.145	0.031	0.08199999999999999	0.001	0.006500000000000001	0.013	0.0605	0.001887727916331787	0.12493679207275019	0.013432820761364215	0.001887727916331787	0.19568349708856478	0.013441089357122033	0.015043829976642173	0.07737331147347351	0.015043829976642173	0.023143334829596966	0.013432820761364215	0.9272520714295494	0.02723852607680344	0.2622320471290723	0.19568349708856478	0.21262331410176416	0.021160946038755	0.7428019473262297	0.021479053598249646	0.02457004586598536	0.044247686585833224	0.8646554693023659	0.004126611217538378	0.042963195896233854	0.004126611217538378	0.015043829976642173	0.015820828956395853	0.07736928169175218	0.15644523866295923	0.00786681393845338	0.02457004586598536	0.004126611217538378	0.19159397207722018	0.02457004586598536	0.044247686585833224	0.19568349708856478	0.015043829976642173	0.5737451471449457	0.02723852607680344	0.1597237794450193	0.37742404654169365	0.8562367864693448	0.044247686585833224	0.021479053598249646	0.040199304740368084
Porphyromonadaceae (OTU 10)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.0015	0	5e-4	0.9733734421980118	0.6951969389927074	0.6862428606945565	0.5010449415645145	0.28093178480498876	0.4618144494443548	0.5072177558131393	0.5072177558131393	NA	0.2198834469919152	0.6178901892190634	0.6178901892190634	NA	0.3337669040618808	NA	0.6178901892190634	0.5223212611119673	0.6178901892190634	0.9733734421980118	0.27926105324310685	0.5010449415645145	0.2198834469919152	0.08209437835266355	0.27926105324310685	0.28093178480498876	0.08209437835266355	0.2198834469919152	0.6178901892190634	1	0.9733734421980118	0.7004636014319703	0.5072177558131393	0.5072177558131393	0.63158133111088	0.6862428606945565	0.2198834469919152	0.34491279212219866	0.2198834469919152	0.38648467032962197	0.6178901892190634	0.16155983886362563	0.27926105324310685	0.9733734421980118	0.6178901892190634	0.4618144494443548
Lachnospiraceae (OTU 16)	Kruskal-Wallis rank sum test	0.028499999999999998	0	0.001	0	0	0	0	0.017	0.003	0	6.54093493214942e-5	0.06577114719663851	5.432290354463577e-4	5.432290354463577e-4	0.18679269147156652	0.020794939413628553	0.0017269661978789185	0.2959042475750023	0.025363698430379375	0.8012798268278101	0.012978578406592663	NA	0.04538381990566709	0.49634740150126455	0.6019972728063608	0.061443611488529996	NA	0.1719789625267423	0.6440318990763608	0.7583269614257255	NA	0.3535519310295589	3.669187342962486e-5	0.04538381990566709	4.160518331079354e-4	8.675128050810874e-4	0.009850797663078387	0.04538381990566709	0.24337146488584332	5.432290354463577e-4	0.49634740150126455	0.00751696287877176	0.012924564445571456	0.042988553599169546	0.14470863457717822	0.39376192624975154	0.012978578406592663	NA	0.04538381990566709	0.49634740150126455	0.6019972728063608	NA	NA	0.009850797663078387	0.042988553599169546
Lachnospiraceae (OTU 17)	Kruskal-Wallis rank sum test	0.0235	0	0.004	0	0	0	0	0.0065	0.004	0	5.611310926664522e-4	0.11105703764355372	0.011669406462415937	0.003872120360892539	0.6439221001947447	0.04952843449083868	0.0033637784516539464	0.8776412182465846	0.020077581389322727	0.630508021457383	0.015219836297715561	0.630508021457383	0.051202258355111586	0.4477047202702223	0.6483047553299272	0.07003075113197912	0.7081631294803563	0.19261643802995138	0.630508021457383	0.7884464143208998	NA	0.2413068699071017	5.611310926664522e-4	0.6691452708692177	0.0033637784516539464	0.0021799039717422196	0.011669406462415937	0.051202258355111586	0.23611621617300685	0.0053339095371606905	0.7884464143208998	0.021421050792861152	0.015184103684307726	0.049018622203577944	0.1623334041731166	0.8319854515583388	0.015219836297715561	0.630508021457383	0.051202258355111586	0.4477047202702223	0.6483047553299272	NA	NA	0.011669406462415937	0.049018622203577944
