genus	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj
Bacteroidales Unclassified	26.662960410924583	6.927290527282063e-6	3	Kruskal-Wallis rank sum test	0	0.019	0	0	4.294920126914879e-4
Bifidobacterium	23.874005615348626	2.6539557921496628e-5	3	Kruskal-Wallis rank sum test	0.0335	5e-4	0	0.016	5.60430057386702e-4
Clostridiales Unclassified	23.316010934819882	3.469871116983695e-5	3	Kruskal-Wallis rank sum test	0	0.0135	0.001	0	5.60430057386702e-4
Unclassified	23.230285564579493	3.615677789591626e-5	3	Kruskal-Wallis rank sum test	0	0.0125	0	0	5.60430057386702e-4
Bacteroides	22.758672851956433	4.534086560049575e-5	3	Kruskal-Wallis rank sum test	0.5405	0.068	0.619	0.718	5.622267334461473e-4
Porphyromonadaceae Unclassified	21.963031752493386	6.639671744713196e-5	3	Kruskal-Wallis rank sum test	0.0015	0.5700000000000001	0.001	0.006	6.860994136203636e-4
Alistipes	20.309009114279025	1.464636493604827e-4	3	Kruskal-Wallis rank sum test	0	0.11049999999999999	0	0	0.0012972494657642753
Ruminococcus	19.80257717750824	1.8650715377644493e-4	3	Kruskal-Wallis rank sum test	0	0.004	0	0	0.0014454304417674483
Ruminococcaceae Unclassified	19.217591623036636	2.4648739549723803e-4	3	Kruskal-Wallis rank sum test	0	0.0095	0.0015	0	0.0016980242800920843
Lactobacillus	17.10205935796486	6.733924118466053e-4	3	Kruskal-Wallis rank sum test	0.036000000000000004	0.022	0.004	0.032	0.004175032953448953
Enterobacteriaceae Unclassified	12.68952187182096	0.005358485700564208	3	Kruskal-Wallis rank sum test	0.1885	0.0015	0.003	0.174	0.030202373948634627
Akkermansia	9.937526393581088	0.01910471741427273	3	Kruskal-Wallis rank sum test	0	0.0035	0.1075	0.038	0.09377147133389856
Firmicutes Unclassified	9.874706314243767	0.019661760118398083	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.09377147133389856
Clostridium XlVa	9.578528072837656	0.02251046220780328	3	Kruskal-Wallis rank sum test	0	0.001	0	0.002	0.09968918977741453
Enterococcus	9.219827586206899	0.026506530849574467	3	Kruskal-Wallis rank sum test	0	0	0	0	0.10956032751157448
Anaeroplasma	9.053738317756974	0.028584873070461612	3	Kruskal-Wallis rank sum test	0	0	0	0	0.11076638314803874
Olsenella	8.807844893780402	0.03195785504806758	3	Kruskal-Wallis rank sum test	0.003	0	0	0.001	0.1165521772341288
Blautia	8.208317669172958	0.04189699521091646	3	Kruskal-Wallis rank sum test	0	0	0	0.011	0.14431187239315668
Turicibacter	7.131152521774339	0.06783292419447731	3	Kruskal-Wallis rank sum test	0.0205	0.0475	0.009000000000000001	0	0.22134954210829438
Erysipelotrichaceae Unclassified	6.811347743165906	0.07816013298256189	3	Kruskal-Wallis rank sum test	0.002	0.001	0.0055	0	0.24229641224594187
Acetatifactor	6.632775119617226	0.08457071155800999	3	Kruskal-Wallis rank sum test	0	0.002	0	0	0.2454703584006476
Butyricicoccus	6.565824468085102	0.08710238523893947	3	Kruskal-Wallis rank sum test	0	0	5e-4	0	0.2454703584006476
Oscillibacter	6.360372758729135	0.09533472835787625	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.25698926774731856
Enterorhabdus	5.300476190476189	0.15107149480492257	3	Kruskal-Wallis rank sum test	0	0	0	0.001	0.39026802824605
