genus	statistic	p.value	parameter	method	WM	C	WMR	p.value.adj
Unclassified	18.410578512396697	1.0050638941691202e-4	2	Kruskal-Wallis rank sum test	0	0.009000000000000001	0	0.003417217240175009
Acetatifactor	14.152318668252073	8.450123341165158e-4	2	Kruskal-Wallis rank sum test	0	0.013500000000000002	0.0015	0.01181030050406077
Peptostreptococcaceae Unclassified	13.73306288032453	0.0010420853385935973	2	Kruskal-Wallis rank sum test	0.004	0	0	0.01181030050406077
Lachnospiraceae Unclassified	11.89327303561333	0.002614619973083732	2	Kruskal-Wallis rank sum test	0.1405	0.2825	0.16	0.02222426977121172
Firmicutes Unclassified	10.107892720306525	0.006384089751252736	2	Kruskal-Wallis rank sum test	0	0.0035	0	0.0434118103085186
Clostridiales Unclassified	9.420534698521056	0.00900237048359106	2	Kruskal-Wallis rank sum test	0.001	0.0185	0.004	0.043725799491728
Clostridium XlVb	9.617744610281916	0.00815705317992031	2	Kruskal-Wallis rank sum test	0	0.002	0	0.043725799491728
Turicibacter	8.468138087153362	0.014493296546699296	2	Kruskal-Wallis rank sum test	0.0065	0.052500000000000005	0.034	0.061596510323472006
Akkermansia	7.884419263456089	0.019405288795765675	2	Kruskal-Wallis rank sum test	0.28049999999999997	0.007	0.15	0.07275325861662678
Ruminococcaceae Unclassified	7.688914027149315	0.021398017240184346	2	Kruskal-Wallis rank sum test	0.0055	0.0485	0.014	0.07275325861662678
Bacteroides	7.24296212549463	0.02674303902824305	2	Kruskal-Wallis rank sum test	0.3795	0.001	0.389	0.08266030245093306
Erysipelotrichaceae Unclassified	6.820883534136549	0.03302660708531955	2	Kruskal-Wallis rank sum test	0.01	5e-4	0.0075	0.09357538674173872
Coriobacteriaceae Unclassified	5.6000000000000245	0.060810062625217216	2	Kruskal-Wallis rank sum test	0	0	0	0.1590417022505681
Blautia	5.2500000000000036	0.07243975703425133	2	Kruskal-Wallis rank sum test	0	0.001	0	0.17592512422603893
Oscillibacter	4.879643916913939	0.08717637109599623	2	Kruskal-Wallis rank sum test	5e-4	0.008	0.001	0.1975997744842581
