day	statistic	p.value	parameter	method	p.value.adj
-1	11.782091097308497	0.0027640852000168077	2	Kruskal-Wallis rank sum test	0.02650240430135193
0	9.564699792960663	0.008376292402331276	2	Kruskal-Wallis rank sum test	0.02650240430135193
3	9.169590643274859	0.010205838488296072	2	Kruskal-Wallis rank sum test	0.02650240430135193
5	9.11594202898551	0.010483307858980046	2	Kruskal-Wallis rank sum test	0.02650240430135193
7	8.362146307798477	0.01528209871986153	2	Kruskal-Wallis rank sum test	0.02650240430135193
8	10.52171664943123	0.005190847373458461	2	Kruskal-Wallis rank sum test	0.02650240430135193
9	6.225559481743226	0.012591911490379673	1	Kruskal-Wallis rank sum test	0.02650240430135193
10	5.7692307692307665	0.016309171877755033	1	Kruskal-Wallis rank sum test	0.02650240430135193
1	7.684210526315795	0.021448399255889233	2	Kruskal-Wallis rank sum test	0.027882919032656005
6	7.8794765840220355	0.019453305164628336	2	Kruskal-Wallis rank sum test	0.027882919032656005
2	6.699896694214875	0.035086166356021735	2	Kruskal-Wallis rank sum test	0.04146546932984387
4	6.513443640124095	0.03851444858912766	2	Kruskal-Wallis rank sum test	0.04172398597155497
-2	4.341748993779731	0.1140778125856021	2	Kruskal-Wallis rank sum test	0.1140778125856021
