genus	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	M1	1RM1	p.value.adj
Clostridiales Unclassified	57.21714428419798	5.412034423350508e-10	7	Kruskal-Wallis rank sum test	5e-4	0	0.001	0	0	0	0	0.0025	3.6260630636448404e-8
Enterobacteriaceae Unclassified	53.98035323419859	2.3730307639339917e-9	7	Kruskal-Wallis rank sum test	0.1295	0.2465	0.002	0.571	0.17	0.545	0.072	0.0045000000000000005	7.949653059178872e-8
Bifidobacterium	52.7179302038259	4.214240907366825e-9	7	Kruskal-Wallis rank sum test	0.001	0.0125	0	0.018	0.006500000000000001	0.017	0	0.0045000000000000005	9.411804693119241e-8
Ruminococcaceae Unclassified	50.69021885744968	1.0571066366405221e-8	7	Kruskal-Wallis rank sum test	0	0.018000000000000002	0.008	0	0.005	0.007	0	5e-4	1.7706536163728746e-7
Lachnospiraceae Unclassified	40.057139329273205	1.2274866002948935e-6	7	Kruskal-Wallis rank sum test	0.022000000000000002	0.0935	0.094	0.001	0.032	0.093	0.024	0.052	1.644832044395157e-5
Peptostreptococcaceae Unclassified	39.47982786953526	1.5827924579411264e-6	7	Kruskal-Wallis rank sum test	0.0135	0.01	0	0.093	0.011	0.062	0.002	0	1.7674515780342577e-5
Bacteroides	38.61014721968522	2.319264466985907e-6	7	Kruskal-Wallis rank sum test	0.613	0.0035	0.718	0.033	0.255	0.001	0.48	0.3365	2.2198674184007967e-5
Lactobacillus	35.41268148915083	9.353857575225605e-6	7	Kruskal-Wallis rank sum test	0.0185	0.063	0.008	0.0465	0.0285	0.083	0.017	0.0245	7.833855719251444e-5
Turicibacter	34.52013662257484	1.3762767701339885e-5	7	Kruskal-Wallis rank sum test	0.0285	0.001	0.015	0	0.001	0	0.006	0.003	1.0245615955441915e-4
Erysipelotrichaceae Unclassified	34.10017609696975	1.649679944736926e-5	7	Kruskal-Wallis rank sum test	0.0025	0	0.003	0.001	0	0	0	0.006500000000000001	1.1052855629737403e-4
Hungatella	30.780000000000314	6.82588773564775e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	3.811120652403327e-4
Parabacteroides	30.7848101265826	6.8119748432315e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	3.811120652403327e-4
Akkermansia	28.507608396815748	1.778605605457466e-4	7	Kruskal-Wallis rank sum test	0.03	0.20900000000000002	0.061	0.001	0.219	0.095	0.002	0.099	9.166659658896172e-4
Porphyromonadaceae Unclassified	27.653321246024632	2.5407268570819144e-4	7	Kruskal-Wallis rank sum test	0.0015	5e-4	0.063	0.001	0	0.002	0.325	0.4445	0.0012159192816034877
Butyricicoccus	22.241319814230696	0.0023080765647170254	7	Kruskal-Wallis rank sum test	0	5e-4	0.001	0	0	0	0	0	0.009665070614752544
Dorea	22.364154250657275	0.0021978982179013877	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.009665070614752544
Clostridium XlVa	19.002858776443706	0.00817839027354335	7	Kruskal-Wallis rank sum test	0	0	0.004	0	0	0	0	0	0.032232479313376736
Clostridium IV	16.1571869091919	0.02371844225292962	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.08828531283034914
Bacillus	15.199999999999369	0.03351946661443163	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.10694306015080568
Lactobacillales Unclassified	15.199999999999369	0.03351946661443163	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.10694306015080568
Ruminococcus2	15.199999999999369	0.03351946661443163	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.10694306015080568
Coriobacteriaceae Unclassified	14.617030079723971	0.041234141332094784	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0	0.12557670314774322
Enterococcus	14.220226781149403	0.04740020747598564	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.13651167628799118
Pseudoflavonifractor	14.131008284371195	0.04889970493898192	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.13651167628799118
Bacteroidales Unclassified	13.896766268792165	0.053048225456797896	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.13670119636944075
Prevotella	13.956954791850286	0.051952272006294944	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.13670119636944075
Blautia	12.501825709899542	0.0852175065887007	7	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0.001	0	0	0.19076903755256386
