day	statistic	p.value	parameter	method	C	CWM	RM	FRM	p.value.adj
6	31.94867989188144	5.365434826029464e-7	3	Kruskal-Wallis rank sum test	1000	2098333.3333333335	20855000	36050000	5.3654348260294634e-6
4	27.92382045741043	3.768245159379055e-6	3	Kruskal-Wallis rank sum test	227500	34800000	10000	67733.33333333333	1.8111705052895305e-5
8	26.570110670023826	7.244682021158123e-6	3	Kruskal-Wallis rank sum test	0	5530000	660000	520000	1.8111705052895305e-5
9	26.85195285445735	6.323455489118001e-6	3	Kruskal-Wallis rank sum test	0	4865000	698833.333333335	91500	1.8111705052895305e-5
5	25.896541950113402	1.0025134992599426e-5	3	Kruskal-Wallis rank sum test	7833.333333333335	8340000	33900000	11000000	2.0050269985198853e-5
15	23.811696141479096	2.73463284336887e-5	3	Kruskal-Wallis rank sum test	0	5600000	0	0	4.5577214056147835e-5
10	22.020712797963427	6.458698840881433e-5	3	Kruskal-Wallis rank sum test	0	4260000	77133.33333333334	7033.33333333335	9.22671262983062e-5
2	14.443478260869568	0.0023596370685268664	3	Kruskal-Wallis rank sum test	12900000	162000000	37816666.66666667	43050000	0.002949546335658583
1	13.469514007077835	0.0037238253828254433	3	Kruskal-Wallis rank sum test	54500000	17816666.666666664	56800000	186000000	0.004137583758694937
3	9.918489323030144	0.019271866120484555	3	Kruskal-Wallis rank sum test	1286666.666666665	35500000	1920000	711666.6666666665	0.019271866120484555
0	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
