otu	statistic	p.value	parameter	method	C	CWM	FRM	RM	p.value.adj
Bacteroidales (OTU 38)	36.64838446918274	5.460989602271134e-8	3	Kruskal-Wallis rank sum test	0	0	0.017499999999999998	0	2.796026676362821e-6
Porphyromonadaceae (OTU 44)	36.64838446918274	5.460989602271134e-8	3	Kruskal-Wallis rank sum test	0	0	0.0195	0	2.796026676362821e-6
Porphyromonadaceae (OTU 48)	36.64838446918274	5.460989602271134e-8	3	Kruskal-Wallis rank sum test	0	0	0.010499999999999999	0	2.796026676362821e-6
Porphyromonadaceae (OTU 80)	36.66829665851672	5.408283650182223e-8	3	Kruskal-Wallis rank sum test	0	0	0.012	0	2.796026676362821e-6
Porphyromonadaceae (OTU 87)	36.65833785985879	5.434579979703498e-8	3	Kruskal-Wallis rank sum test	0	0	0.003	0	2.796026676362821e-6
Bacteria (OTU 43)	31.29176513062885	7.379078918584004e-7	3	Kruskal-Wallis rank sum test	0.0055	0	0	0	3.148407005262508e-5
Ruminococcaceae (OTU 27)	30.867630075370794	9.063855697614376e-7	3	Kruskal-Wallis rank sum test	0.0095	0	0	0	3.3147815122704e-5
Porphyromonadaceae (OTU 25)	29.70945589012152	1.588560227068166e-6	3	Kruskal-Wallis rank sum test	0	0	0.010499999999999999	0	5.083392726618131e-5
Porphyromonadaceae (OTU 14)	29.41086940914637	1.8356196154073461e-6	3	Kruskal-Wallis rank sum test	0	0	0.0395	0	5.221318017158673e-5
Porphyromonadaceae (OTU 10)	28.499741804817855	2.8525110232104734e-6	3	Kruskal-Wallis rank sum test	0.087	0	0.091	0	7.302428219418813e-5
Clostridiales (OTU 35)	27.279212883959058	5.144878938747613e-6	3	Kruskal-Wallis rank sum test	0.007	0	0	0	1.1973536439267174e-4
Ruminococcaceae (OTU 101)	26.56430729391452	7.264994726087202e-6	3	Kruskal-Wallis rank sum test	0.002	0	0	0	1.5498655415652695e-4
Lachnospiraceae (OTU 49)	25.904397200581	9.987246382710828e-6	3	Kruskal-Wallis rank sum test	0.001	0.005	0	0	1.813838493966609e-4
Ruminococcaceae (OTU 98)	25.824489795918375	1.0379423928866287e-5	3	Kruskal-Wallis rank sum test	0.001	0	0	0	1.813838493966609e-4
Firmicutes (OTU 129)	25.775393807713208	1.06279599255856e-5	3	Kruskal-Wallis rank sum test	0.002	0	0	0	1.813838493966609e-4
Porphyromonadaceae (OTU 21)	25.418035568829747	1.2624976069678971e-5	3	Kruskal-Wallis rank sum test	0	0	0.012	0	2.0199961711486354e-4
Ruminococcaceae (OTU 54)	23.899385560675892	2.621778358159651e-5	3	Kruskal-Wallis rank sum test	0.0075	0	0	0	3.94808976287571e-4
