day	p.value	method	C	1RM1	M1	1RM1-C	M1-C	M1-1RM1
1	0.0012306993283017348	Kruskal-Wallis rank sum test	61066666.66666667	1500	1625000	0.007157732570695678	0.006493506493506494	0.04382636546609423
2	0.0013205507555799528	Kruskal-Wallis rank sum test	112000000	3666.6666666666665	5600000	0.007157732570695678	0.007157732570695678	0.029480007049421282
5	0.00807231767324251	Kruskal-Wallis rank sum test	74750	0	0	0.02886515875727741	0.05691220653468644	0.17573433564422514
