day	statistic	p.value	parameter	method	WM	C	WMC	WMR	p.value.adj
6	15.066959706959707	5.348737322126641e-4	2	Kruskal-Wallis rank sum test	35.128	93.807	35.88	NA	0.0010697474644253283
30	2.4363636363636374	0.2957674373253233	2	Kruskal-Wallis rank sum test	77.971	89.735	NA	72.045	0.2957674373253233
