day	C-WM	WMN-WM	WMN-C	method	WM	C	WMN	p.value.adj
6	1.8391843660814903e-10	0.5500422283030979	2.7086373026306285e-6	Kruskal-Wallis rank sum test	1.466909	3.163116	1.341752	2.108056338679414e-8
30	4.5287846378811934e-5	1	9.009376167902169e-4	Kruskal-Wallis rank sum test	2.843252	3.492004	2.897758	8.22004049746091e-5
