genus	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj
Bacteroides	28.745770279161572	2.532508801008471e-6	3	Kruskal-Wallis rank sum test	0.586	0.001	0.515	0.012	5.3182684821177894e-5
Peptostreptococcaceae Unclassified	29.41880697970786	1.8285803035627814e-6	3	Kruskal-Wallis rank sum test	0.016	0.177	0	0.003	5.3182684821177894e-5
Enterobacteriaceae Unclassified	27.338413890192395	4.99987768374755e-6	3	Kruskal-Wallis rank sum test	0.177	0.674	0.002	0.8835	6.99982875724657e-5
Butyricicoccus	21.394618489333034	8.716582965044387e-5	3	Kruskal-Wallis rank sum test	0	0	0.0025	0	8.139537193488095e-4
Lactobacillus	21.10062893081762	1.0032982014729858e-4	3	Kruskal-Wallis rank sum test	0.025	0.101	0.0225	0.051500000000000004	8.139537193488095e-4
Ruminococcaceae Unclassified	20.792075118405112	1.1627910276411565e-4	3	Kruskal-Wallis rank sum test	0	0.002	0.0075	0.0015	8.139537193488095e-4
Olsenella	19.851024208566106	1.8224648271432964e-4	3	Kruskal-Wallis rank sum test	0	0	0.002	0	0.0010934788962859779
Chitinophagaceae Unclassified	19.000000000000018	2.733988874907986e-4	3	Kruskal-Wallis rank sum test	0	0	0	5e-4	0.0014353441593266928
Turicibacter	15.869858156028346	0.0012058204160851644	3	Kruskal-Wallis rank sum test	0.07	0	0.0315	0	0.0056271619417307675
Lachnospiraceae Unclassified	15.029870068731757	0.0017913000278548586	3	Kruskal-Wallis rank sum test	0.046	0.003	0.11049999999999999	0.001	0.007523460116990406
Clostridiales Unclassified	14.423650664496849	0.0023816998242590912	3	Kruskal-Wallis rank sum test	0	0	0.0025	0	0.009093762965352895
Alistipes	10.580963154492547	0.014221616315950867	3	Kruskal-Wallis rank sum test	0	0	0	0.001	0.04809952151923701
Blautia	10.481349833245554	0.014887947136906693	3	Kruskal-Wallis rank sum test	0	0	0	0.0325	0.04809952151923701
Akkermansia	9.791758457907179	0.020421786337664005	3	Kruskal-Wallis rank sum test	0	0.001	0.15	0.006	0.061265359012992016
Acetatifactor	9.473684210526288	0.02361297048396854	3	Kruskal-Wallis rank sum test	0	0	0	0	0.06153715370682826
Bacteroidales Unclassified	9.356508875739593	0.024907895548001914	3	Kruskal-Wallis rank sum test	0	0	0	5e-4	0.06153715370682826
Pseudoflavonifractor	9.49500000000004	0.023384611568228773	3	Kruskal-Wallis rank sum test	0	0	0	0	0.06153715370682826
Erysipelotrichaceae Unclassified	9.230876920085556	0.02637364514018563	3	Kruskal-Wallis rank sum test	0.002	0.001	0.0115	0	0.06153850532709981
Coriobacteriaceae Unclassified	9.09137191854236	0.028100393741785603	3	Kruskal-Wallis rank sum test	0	0	5e-4	0	0.06211665985026292
Dorea	6.767600487210726	0.07968583352084259	3	Kruskal-Wallis rank sum test	0	0	0	0	0.15937166704168518
Porphyromonadaceae Unclassified	6.823067685589517	0.0777562073750012	3	Kruskal-Wallis rank sum test	0	0.001	0	0.002	0.15937166704168518
Lactobacillales Unclassified	6.567567567567605	0.08703555611271158	3	Kruskal-Wallis rank sum test	0	0	0	0	0.1595559448210105
Phascolarctobacterium	6.558704453441334	0.08737587454483908	3	Kruskal-Wallis rank sum test	0	0	0	0	0.1595559448210105
Enterorhabdus	5.401707317073171	0.14463724471951014	3	Kruskal-Wallis rank sum test	0	0	5e-4	0	0.25311517825914276
Oscillibacter	3.7554339897884828	0.28911263500195217	3	Kruskal-Wallis rank sum test	0	0	0	0.003	0.4857092268032796
Clostridium XlVa	3.0211108410306498	0.3883817385332811	3	Kruskal-Wallis rank sum test	0	0	0	0.0015	0.5874377644066348
Firmicutes Unclassified	2.9999999999999925	0.39162517627108984	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5874377644066348
Ruminococcus	2.9999999999999925	0.39162517627108984	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5874377644066348
Dysgonomonas	2.076923076922982	0.556595471560962	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6679145658731543
Faecalibacterium	2.076923076922982	0.556595471560962	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6679145658731543
Odoribacter	2.076923076922982	0.556595471560962	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6679145658731543
Parasutterella	2.076923076922982	0.556595471560962	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6679145658731543
Prevotella	2.076923076922982	0.556595471560962	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6679145658731543
Unclassified	2.1094994311717663	0.5499933556494199	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6679145658731543
Veillonella	2.0990990990990275	0.5520950432300878	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6679145658731543
Bifidobacterium	1.9201292810161106	0.5891485035296313	3	Kruskal-Wallis rank sum test	0	0.001	0	5e-4	0.6762968137630668
