day	statistic	p.value	parameter	method	C	1RM1	M1	p.value.adj
1	10.304761904761904	0.005785613045533234	2	Kruskal-Wallis rank sum test	8.993	29.3905	20.889499999999998	0.014464032613833083
7	10.771929824561397	0.004580418487193078	2	Kruskal-Wallis rank sum test	66.483	85.697	68.1215	0.014464032613833083
2	8.024999999999999	0.018088118368376312	2	Kruskal-Wallis rank sum test	28.329	42.25	25.633	0.030146863947293854
baseline	2.8538011695906462	0.24005179059000617	2	Kruskal-Wallis rank sum test	63.962999999999994	66.5145	82.537	0.30006473823750773
5	2.1169590643274887	0.3469829859215523	2	Kruskal-Wallis rank sum test	52.980999999999995	64.907	65.002	0.3469829859215523
