otu	statistic	p.value	parameter	method	WM	WMR	CWM	RM	FRM	p.value.adj
Porphyromonadaceae (OTU 10)	44.716471647164745	4.55388013838423e-9	4	Kruskal-Wallis rank sum test	0	0	0	0	0.091	1.8367316558149727e-7
Bacteroidales (OTU 38)	44.716471647164745	4.55388013838423e-9	4	Kruskal-Wallis rank sum test	0	0	0	0	0.017499999999999998	1.8367316558149727e-7
Porphyromonadaceae (OTU 44)	44.716471647164745	4.55388013838423e-9	4	Kruskal-Wallis rank sum test	0	0	0	0	0.0195	1.8367316558149727e-7
Porphyromonadaceae (OTU 48)	44.716471647164745	4.55388013838423e-9	4	Kruskal-Wallis rank sum test	0	0	0	0	0.010499999999999999	1.8367316558149727e-7
Porphyromonadaceae (OTU 80)	44.73257698541332	4.518913844807998e-9	4	Kruskal-Wallis rank sum test	0	0	0	0	0.012	1.8367316558149727e-7
Porphyromonadaceae (OTU 87)	44.72452286640262	4.536366516903638e-9	4	Kruskal-Wallis rank sum test	0	0	0	0	0.003	1.8367316558149727e-7
Porphyromonadaceae (OTU 14)	32.803305785123946	1.3105185006625208e-6	4	Kruskal-Wallis rank sum test	0.066	0	0	0	0.0395	4.530649673719e-5
Porphyromonadaceae (OTU 25)	31.70792079207923	2.194898555852199e-6	4	Kruskal-Wallis rank sum test	0	0	0	0	0.010499999999999999	6.639568131452902e-5
Porphyromonadaceae (OTU 21)	31.140526552655277	2.865827105961715e-6	4	Kruskal-Wallis rank sum test	0	0	0	0	0.012	7.705890662697055e-5
Porphyromonadaceae (OTU 8)	29.363671423062083	6.594117264075876e-6	4	Kruskal-Wallis rank sum test	0	0	0	0	0.0225	1.5957763779063622e-4
Porphyromonadaceae (OTU 40)	28.497676819824424	9.886552281767797e-6	4	Kruskal-Wallis rank sum test	0	0	0	0	0.002	1.993788043489839e-4
Porphyromonadaceae (OTU 175)	28.51239669421483	9.818791801464364e-6	4	Kruskal-Wallis rank sum test	0	0	0	0	0.001	1.993788043489839e-4
Lachnospiraceae (OTU 49)	27.920241566014166	1.294588298264504e-5	4	Kruskal-Wallis rank sum test	0.005	0.002	0.005	0	0	2.4099259090769998e-4
Lachnospiraceae (OTU 33)	26.349620493358643	2.6901089141816503e-5	4	Kruskal-Wallis rank sum test	0	0	0	0.0025	0.002	4.6500454087997095e-4
Porphyromonadaceae (OTU 6)	25.628402578796525	3.760008874123623e-5	4	Kruskal-Wallis rank sum test	0	0	0	0	0.1285	6.066147650252778e-4
Porphyromonadaceae (OTU 15)	25.445286594031273	4.0932097074348946e-5	4	Kruskal-Wallis rank sum test	0	0	0	0	0.0645	6.190979682495278e-4
Clostridiales (OTU 91)	22.215792779380276	1.8153927150334036e-4	4	Kruskal-Wallis rank sum test	0.001	0.0025	0	0	0	0.0025842649237534333
Lachnospiraceae (OTU 46)	21.800990934944906	2.1955332152174382e-4	4	Kruskal-Wallis rank sum test	0.0015	0.0095	0	0	0	0.0029517724337923337
Lachnospiraceae (OTU 29)	21.65591397849464	2.3463228274245404e-4	4	Kruskal-Wallis rank sum test	0	0	0.0075	0.0025	0	0.002988474338088099
Lachnospiraceae (OTU 30)	21.299604970784323	2.761646645202723e-4	4	Kruskal-Wallis rank sum test	0.005	0.0175	0	0	0	0.003341592440695295
Bacteria (OTU 108)	20.90205318074723	3.311473200763973e-4	4	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0.0036426205208403705
Porphyromonadaceae (OTU 122)	20.909090909090924	3.300855085031865e-4	4	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0.0036426205208403705
Lachnospiraceae (OTU 70)	18.78622426389196	8.657028477460256e-4	4	Kruskal-Wallis rank sum test	0.0035	0.002	0	5e-4	0	0.009108699528458183
Erysipelotrichaceae (OTU 39)	17.09003937802909	0.0018566153205711526	4	Kruskal-Wallis rank sum test	0.01	0.0075	5e-4	5e-4	0	0.018720871149092457
Lachnospiraceae (OTU 149)	16.562312430895556	0.002350399220409831	4	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0.022751864453567163
Lachnospiraceae (OTU 161)	15.852697649572672	0.003223326494952539	4	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0.030001731222250555
Lachnospiraceae (OTU 17)	15.47493921825326	0.0038110559356241136	4	Kruskal-Wallis rank sum test	0.005	0.0025	0.0075	0.0085	0.004	0.0341583532007791
Lachnospiraceae (OTU 88)	15.388745482705282	0.003959265557067486	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.034219366600368985
Coriobacteriaceae (OTU 158)	15.223214285714278	0.004259957131385876	4	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0.035548607786047653
Butyricicoccus (OTU 56)	15.131753516624082	0.004435609396180791	4	Kruskal-Wallis rank sum test	0	0.003	0	5e-4	0	0.03578058246252505
Ruminococcaceae (OTU 60)	14.622890237175923	0.005550808846769661	4	Kruskal-Wallis rank sum test	0	0.003	0	0	0	0.043332120674782516
Lachnospiraceae (OTU 148)	14.196575776791404	0.00669338722803097	4	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0.05061874091198421
Porphyromonadaceae (OTU 99)	13.629629629629662	0.008575949635963585	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.05929656605437679
Porphyromonadaceae (OTU 190)	13.629629629629662	0.008575949635963585	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.05929656605437679
Porphyromonadaceae (OTU 194)	13.629629629629662	0.008575949635963585	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.05929656605437679
Acetatifactor (OTU 78)	13.512790146849776	0.009023911426852374	4	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0.060660737924952066
Akkermansia (OTU 3)	13.294352600086352	0.00992359691221803	4	Kruskal-Wallis rank sum test	0.28049999999999997	0.15	0.167	0.0715	0.049	0.06443712589400415
Lachnospiraceae (OTU 102)	13.249652902185598	0.010118226380050239	4	Kruskal-Wallis rank sum test	0	0	0.002	0	0	0.06443712589400415
Lachnospiraceae (OTU 11)	13.055429988974643	0.011008105077111578	4	Kruskal-Wallis rank sum test	0.017	0.0095	0	0.003	0	0.06830670329900006
Peptostreptococcaceae (OTU 12)	12.897224826889806	0.011789044020709846	4	Kruskal-Wallis rank sum test	0.004	0	0.001	0	0	0.07132371632529456
Lachnospiraceae (OTU 95)	12.70877849002849	0.012789996541016011	4	Kruskal-Wallis rank sum test	0	0	5e-4	0	0	0.07400241299850614
Lachnospiraceae (OTU 123)	12.69913419913421	0.012843393991476272	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.07400241299850614
Blautia (OTU 132)	12.35470466013657	0.014899587197603155	4	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0.08385349073999915
Coriobacteriaceae (OTU 204)	12.142857142857089	0.0163199653777599	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.08975980957767944
Lachnospiraceae (OTU 84)	11.886802915082395	0.018213181668968587	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.09606451620592008
Lachnospiraceae (OTU 94)	11.880778990545044	0.018260197295340178	4	Kruskal-Wallis rank sum test	0.0015	0	0.0025	0.003	0.0015	0.09606451620592008
Porphyromonadaceae (OTU 7)	11.385983774802071	0.022552014202916224	4	Kruskal-Wallis rank sum test	0	0	0	0	0.006	0.1141810855828931
Lachnospiraceae (OTU 20)	11.27999129986466	0.02359113338489527	4	Kruskal-Wallis rank sum test	0.016	0.011	0.0055	0	0	0.1141810855828931
Acetatifactor (OTU 165)	11.290909090909025	0.023481991952178996	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.1141810855828931
Lachnospiraceae (OTU 317)	11.302325581395278	0.023368388340253395	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.1141810855828931
Lachnospiraceae (OTU 24)	11.190107304216879	0.02450853804024726	4	Kruskal-Wallis rank sum test	0	0.0055	0.009000000000000001	0	0	0.11629541579882033
Lachnospiraceae (OTU 16)	10.880030228603815	0.027945915465623323	4	Kruskal-Wallis rank sum test	0.0025	0	0.0055	0.0035	0.0025	0.13005599120540084
Lachnospiraceae (OTU 31)	10.691372863247883	0.03026052710249898	4	Kruskal-Wallis rank sum test	0	0	0	5e-4	0	0.13817070865669348
Lachnospiraceae (OTU 90)	10.47794494785437	0.03310215235955037	4	Kruskal-Wallis rank sum test	0	0	0	0.001	0.001	0.14834668279650354
Ruminococcaceae (OTU 65)	10.380638245237876	0.03448149475687908	4	Kruskal-Wallis rank sum test	0	0	0.0015	5e-4	0	0.14946699550595693
Lachnospiraceae (OTU 113)	10.331084437086101	0.03520503613156837	4	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0.14946699550595693
Porphyromonadaceae (OTU 212)	10.340909090909095	0.035060433326405314	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.14946699550595693
Lachnospiraceae (OTU 26)	10.224077328646741	0.03681763684552406	4	Kruskal-Wallis rank sum test	5e-4	0.003	0.012	0.001	0	0.15361841580373833
Turicibacter (OTU 5)	10.153196184949717	0.03792468432858047	4	Kruskal-Wallis rank sum test	0.0065	0.034	0.0495	0.006500000000000001	0.027999999999999997	0.15555548487316057
Bacteroides (OTU 1)	10.033638719230073	0.03986483844864136	4	Kruskal-Wallis rank sum test	0.3795	0.389	0.4765	0.584	0.27849999999999997	0.16078818174285348
Clostridium (OTU 22)	9.567280183101273	0.04838299676618735	4	Kruskal-Wallis rank sum test	0.0045000000000000005	0	0.014499999999999999	0.0045000000000000005	0.0025	0.19194565930192356
Lachnospiraceae (OTU 4)	9.52537965306502	0.04922835614703137	4	Kruskal-Wallis rank sum test	0.015	0.045	0.0575	0.022	0.01	0.19214939012228371
Lachnospiraceae (OTU 117)	9.4797377676632	0.05016526037235073	4	Kruskal-Wallis rank sum test	0	0	5e-4	0	0	0.19269830174775995
Lachnospiraceae (OTU 68)	9.382966969062595	0.052208364757735895	4	Kruskal-Wallis rank sum test	0	0	0.0025	0.001	5e-4	0.19741287924018885
Clostridiales (OTU 35)	9.239313362504175	0.05538834380723352	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.20309059395985624
Ruminococcaceae (OTU 61)	9.255923507462672	0.05501142378065557	4	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0.20309059395985624
Clostridium (OTU 145)	8.883372601817559	0.06408164495031564	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.2271682841383242
Lachnospiraceae (OTU 164)	8.883372601817559	0.06408164495031564	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.2271682841383242
Lachnospiraceae (OTU 193)	8.857142857142922	0.06477112233696021	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.2271682841383242
Lachnospiraceae (OTU 127)	8.766746411483258	0.06720161237070525	4	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0.23232557419586675
Lachnospiraceae (OTU 83)	8.501424316975294	0.07484406659638948	4	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0.25510231149755286
Lactobacillus (OTU 13)	8.041692455282544	0.09006283037881178	4	Kruskal-Wallis rank sum test	0.0075	0.0105	0.0125	0.0075	0.002	0.30136434071892976
Lachnospiraceae (OTU 73)	8.01837455830386	0.0909074250929003	4	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0.30136434071892976
Blautia (OTU 19)	7.359999999999804	0.11804352222887245	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Lactobacillus (OTU 23)	6.981535327777122	0.13686722210417948	4	Kruskal-Wallis rank sum test	0.005	0.006	0.008	0.003	0.002	0.32467620432516237
Ruminococcaceae (OTU 27)	7.074033149171283	0.13202725232378773	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Ruminococcaceae (OTU 37)	6.649184581171225	0.1556299161228051	4	Kruskal-Wallis rank sum test	0	0	0.003	0	0	0.32467620432516237
Bacteria (OTU 43)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
Ruminococcaceae (OTU 52)	7.334167284408196	0.1192480795974804	4	Kruskal-Wallis rank sum test	0	0.002	0.001	0	0	0.32467620432516237
Lachnospiraceae (OTU 74)	7.144585630197153	0.12844197591575593	4	Kruskal-Wallis rank sum test	5e-4	0	0	0	5e-4	0.32467620432516237
Lachnospiraceae (OTU 81)	7.382757352941176	0.11699171293099894	4	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0.32467620432516237
Firmicutes (OTU 96)	6.666666666666574	0.15458730450476588	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.32467620432516237
