otu	statistic	p.value	parameter	method	C	CWM	FRM	RM	p.value.adj
Lachnospiraceae (OTU 11)	35.901414836817224	7.856522796718092e-8	3	Kruskal-Wallis rank sum test	0.0175	0	0	0	1.6924023615547414e-5
Oscillibacter (OTU 57)	34.50129882624589	1.5526627170226984e-7	3	Kruskal-Wallis rank sum test	0.0015	0	0	0	1.6924023615547414e-5
Porphyromonadaceae (OTU 44)	33.24752220362979	2.8558172355238184e-7	3	Kruskal-Wallis rank sum test	0	0	0.007	0	2.075227191147308e-5
Lachnospiraceae (OTU 31)	29.91614018334607	1.4372625964356204e-6	3	Kruskal-Wallis rank sum test	0.001	0	0	0	7.833081150574131e-5
Lachnospiraceae (OTU 33)	27.431946627176032	4.779050869255415e-6	3	Kruskal-Wallis rank sum test	0.006500000000000001	0	0	0	2.0836661789953612e-4
Lachnospiraceae (OTU 20)	25.089688815202162	1.4787935833841951e-5	3	Kruskal-Wallis rank sum test	0.009	0	0	0	5.372950019629242e-4
Enterobacteriaceae (OTU 2)	23.013711895721652	4.011813138099754e-5	3	Kruskal-Wallis rank sum test	0.0015	0.136	0.183	0.2545	6.246966172183902e-4
Peptostreptococcaceae (OTU 12)	24.411019353658425	2.0500066763201033e-5	3	Kruskal-Wallis rank sum test	0	0.009	0.033	0.023	6.246966172183902e-4
Lachnospiraceae (OTU 24)	23.883521934197418	2.6418448571314323e-5	3	Kruskal-Wallis rank sum test	0.0055	0	0	0	6.246966172183902e-4
Butyricicoccus (OTU 56)	23.152778721188255	3.7527540979912805e-5	3	Kruskal-Wallis rank sum test	0.001	0	0	0	6.246966172183902e-4
Lachnospiraceae (OTU 73)	24.050511877828043	2.4380697271188735e-5	3	Kruskal-Wallis rank sum test	0.0025	0	0	0	6.246966172183902e-4
Ruminococcaceae (OTU 106)	23.486842105263133	3.1965560105474e-5	3	Kruskal-Wallis rank sum test	0.001	0	0	0	6.246966172183902e-4
Lachnospiraceae (OTU 128)	23.43269723360653	3.280776375112047e-5	3	Kruskal-Wallis rank sum test	0.001	0	0	0	6.246966172183902e-4
Porphyromonadaceae (OTU 175)	23.30999999999992	3.479901015778703e-5	3	Kruskal-Wallis rank sum test	0	0	0.001	0	6.246966172183902e-4
Akkermansia (OTU 3)	22.373754268314123	5.4533217735783736e-5	3	Kruskal-Wallis rank sum test	0.09	0.208	0.002	0.001	7.925494310933903e-4
Lachnospiraceae (OTU 4)	21.937216869019966	6.722293140597896e-5	3	Kruskal-Wallis rank sum test	0.0525	0	0	0	8.945469881905787e-4
Porphyromonadaceae (OTU 8)	21.85993010671279	6.975825137265981e-5	3	Kruskal-Wallis rank sum test	0.0145	0	0.023	0	8.945469881905787e-4
Ruminococcaceae (OTU 50)	21.629560407338634	7.789439520863989e-5	3	Kruskal-Wallis rank sum test	0.002	0	0	0	9.433876753046386e-4
Porphyromonadaceae (OTU 14)	21.44302057729672	8.516990589213864e-5	3	Kruskal-Wallis rank sum test	0	0	0.007	0	9.772126044466432e-4
Lachnospiraceae (OTU 47)	20.761692131398064	1.1798005276218873e-4	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.0012859825751078571
Lachnospiraceae (OTU 77)	19.921829004329	1.7619323025167214e-4	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.001829053533088787
Bacteria (OTU 43)	19.498121540738772	2.1564621644730547e-4	3	Kruskal-Wallis rank sum test	0.0035	0	0	0	0.002136857962977845
Lactobacillus (OTU 13)	19.043730204959065	2.6776536126686164e-4	3	Kruskal-Wallis rank sum test	0.0155	0.009	0.003	0	0.0025379499459206884
