genus	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	1RM1	C-WM	WMR-WM	WMR-C	CWM-C	CWM-WMR	RM-C	RM-WMR	FRM-C	FRM-WMR	WMC-C	WMC-WMR	M1-C	M1-WMR	1RM1-C	1RM1-WMR	CWM-WM	RM-WM	RM-CWM	FRM-WM	FRM-CWM	FRM-RM	WMC-WM	WMC-CWM	WMC-RM	WMC-FRM	M1-WM	M1-CWM	M1-RM	M1-FRM	M1-WMC	1RM1-WM	1RM1-CWM	1RM1-RM	1RM1-FRM	1RM1-WMC	1RM1-M1
Clostridiales Unclassified	Kruskal-Wallis rank sum test	0	0	0.0025	0	0	0	0	0	0	0.31732310155824767	0.10380944648405274	3.852560524087636e-4	0.7488206287808201	0.1568587676971736	0.7488206287808201	0.03356683228900228	0.7488206287808201	0.07451627775047535	0.8681381156748575	0.31732310155824767	0.31732310155824767	0.2950453911862693	0.31732310155824767	0.31732310155824767	0.8681381156748575	0.7488206287808201	1	0.47836017932737485	0.7488206287808201	0.7488206287808201	0.7488206287808201	0.8681381156748575	0.8164663138096068	NA	0.9369191538707323	0.8164663138096068	0.7488206287808201	0.47313090365752924	0.7488206287808201	0.9240664646566251	0.8164663138096068	0.7488206287808201	0.47313090365752924	0.7488206287808201	1
Clostridium sensu stricto	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.7440426435381332	NA	0.7440426435381332	0.11344358367856702	0.18457246691021725	0.7440426435381332	NA	0.7440426435381332	NA	0.8917558535067943	NA	0.7440426435381332	NA	0.7440426435381332	NA	0.11344358367856702	NA	0.15223681729977878	NA	0.2922433192195483	NA	NA	0.7440426435381332	NA	NA	NA	0.2922433192195483	NA	NA	NA	NA	0.2922433192195483	NA	NA	NA	NA
Dorea	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.001	0.017407019153947052	0.2878122636752897	0.24819125770003314	NA	0.6001880272009982	NA	0.413834468357291	NA	0.5731950181580653	NA	0.8230632737581215	NA	0.5731950181580653	2.2206636227130276e-4	0.09817216703583578	0.2878122636752897	0.1003683514866582	NA	0.24819125770003314	NA	NA	0.49834635941938954	NA	NA	NA	0.24819125770003314	NA	NA	NA	NA	0.2878122636752897	0.11524272908658152	0.017407019153947052	0.09817216703583578	0.2950615663788095	0.09817216703583578
Enterobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0.177	0.674	0.002	0.512	0.843	0.7484999999999999	0.8835	0.14700000000000002	0.0395	2.1997164115357385e-5	0.018620571033567585	1.0466498823452131e-4	0.09844880861576001	0.01038961038961039	0.014152183832461945	0.001028761336604863	0.10964685873959992	0.003927882093185101	0.07859000268832647	0.061816312337023394	0.001337585541439887	0.07859000268832647	0.001028761336604863	0.08993546507145991	0.0013268465280849183	2.343419550368215e-4	0.023739398716507487	0.0021174142003590867	0.036283983359705646	0.54162499902694	0.025210084033613443	0.10964685873959992	0.2120302317877062	0.24739789759515715	0.07859000268832647	0.01038961038961039	0.0028771706315554864	0.010584264208409919	0.08993546507145991	3.3171163202122956e-4	0.01038961038961039	0.0028771706315554864	0.010584264208409919	0.08993546507145991	0.16235907037014255
Erysipelotrichaceae Unclassified	Kruskal-Wallis rank sum test	0.002	0.001	0.0115	0	0	0	0	5e-4	0.0055	0.20555773302160793	0.12878920575859534	0.03551047544861154	0.18282063007034793	0.062344710216853366	0.18556822474580778	0.03551047544861154	0.12966211095828786	0.05512828515315917	0.24740700735223867	0.18556822474580778	0.7605381695574449	0.11411534143697638	0.03551047544861154	0.7949108496182888	0.09962804351140221	0.062344710216853366	0.6937249324653357	0.062344710216853366	1	0.5793094139558654	0.18556822474580778	0.7949108496182888	0.5403190354009099	0.7949108496182888	0.35742683374549	0.44789841753564763	0.5793094139558654	0.35742683374549	0.44789841753564763	0.15062209761285575	0.03963371482836841	0.03551047544861154	0.03551047544861154	0.1429128401848262	0.062344710216853366
Lachnospiraceae Unclassified	Kruskal-Wallis rank sum test	0.046	0.003	0.11049999999999999	0.002	0.0025	0	0.001	0.035	0.023	0.011462876532824786	0.0910838552170415	0.020166649569851838	0.9582163687389287	0.10348862064457533	0.742278877545543	0.02852048301762173	0.020166649569851838	0.020166649569851838	0.34435894273253265	0.175926272972461	0.02852048301762173	0.134996902214296	0.020166649569851838	0.10348862064457533	0.05565828757762721	0.02852048301762173	0.8128339975887752	0.011462876532824786	0.02852048301762173	0.07054949140224967	0.11934352957151938	0.48400052752371536	0.46287444050568577	0.45927970666227125	0.742278877545543	0.06658051973514358	0.07153054398835788	0.020166649569851838	0.134996902214296	0.134996902214296	0.056236550060296285	0.13720500175489153	0.020166649569851838	0.11165650005486288	0.22208506602499475
Lactobacillus	Kruskal-Wallis rank sum test	0.025	0.136	0.0225	0.223	0.0965	0.14450000000000002	0.051500000000000004	0.0215	0.0195	1.7814840197652333e-5	0.6947270999957865	4.322735024242277e-4	0.033916139206232716	0.003996003996003996	0.22356722720473562	0.003996003996003996	1	0.003996003996003996	0.10000104999720903	0.2337662337662338	0.002338734552990469	0.9851576994434136	0.002338734552990469	0.6947270999957865	0.0043682205040865285	0.001502607068725415	0.027928704372361748	0.003996003996003996	0.12874082439299833	0.44801990613208165	0.16761591060375747	0.14285714285714285	0.2272440891595639	0.11688311688311688	0.6947270999957865	0.00974025974025974	0.005973750375487465	0.005973750375487465	0.11688311688311688	0.4325885425954414	0.00974025974025974	0.005544647573931754	0.005973750375487465	0.11688311688311688	0.9851576994434136
Olsenella	Kruskal-Wallis rank sum test	0	0	0.002	0	0	0	0	0	0	0.019028260420170598	0.015255624073906805	6.900105584903647e-6	NA	0.030373811256493456	NA	0.0028902815742551384	NA	0.019028260420170598	NA	0.17344540754255716	NA	0.019028260420170598	0.015255624073906805	0.06618722000891172	0.2731338494363315	0.12063928270565233	NA	0.2499284971535857	NA	NA	0.532003680262202	NA	NA	NA	0.2499284971535857	NA	NA	NA	NA	0.8824201140755036	0.27259403531275195	0.1012071687515238	0.2499284971535857	0.5337481522297527	0.2499284971535857
Peptostreptococcaceae Unclassified	Kruskal-Wallis rank sum test	0.016	0.139	0	0.08	0.020999999999999998	0.0905	0.003	0.0015	0	4.2641769927615593e-5	0.0016550978715640526	6.0912222380570476e-5	0.4147143113837304	0.007421975274700014	0.001036695612222668	0.0011071197094621136	0.19862761731101997	0.0012148965009947808	0.05403662440997338	0.0757223055573302	0.0012148965009947808	0.014036871460290873	0.0012023038314329555	0.28172853347160925	0.07055161568322096	0.28172853347160925	0.12668041177544292	0.0036363558439922485	0.9573283858998145	0.021816418875242403	0.21843278511140987	0.28172853347160925	0.1915814493513545	0.11509589118462311	0.12126066353403721	0.12006340553746973	0.045493470821467284	0.013840960887920662	1	0.015389148331479292	0.05403662440997338	0.007421975274700014	0.01099364277011562	0.4147143113837304	0.11509589118462311
Porphyromonadaceae Unclassified	Kruskal-Wallis rank sum test	0	0.001	0	0.005	0	5e-4	0.002	0.0375	0.348	0.02253804090048581	0.5791449109691722	0.5844592224018168	0.1529160173902829	0.343680115568856	0.08838191191667144	0.7861829116329094	0.3279058767568345	0.9793797305514639	1	0.9578705455746575	0.003435948852280395	0.1154251416699585	0.0026568699768312106	0.007731877082284717	0.025478529580741493	0.7000325600432439	0.04764053629251442	0.5555771073602491	0.12796190366059684	0.7861829116329094	0.5791449109691722	0.355085355956786	0.6686231156229928	0.7861829116329094	0.0026568699768312106	0.1529160173902829	0.003435948852280395	0.016911710961588267	0.160466924917499	0.0026568699768312106	0.02390823907236537	0.003435948852280395	0.016911710961588267	0.14285714285714285	0.00974025974025974
Pseudoflavonifractor	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8075570593088758	0.1075114221366443	0.0995220562356925	0.8075570593088758	0.39922788506489526	0.8075570593088758	0.39922788506489526	0.8075570593088758	0.39922788506489526	0.8917558535067943	0.8075570593088758	0.8075570593088758	0.39922788506489526	0.8075570593088758	0.39922788506489526	NA	0.7788835065954086	0.8075570593088758	NA	NA	0.8075570593088758	NA	NA	0.8801693107051176	NA	NA	NA	0.8075570593088758	NA	NA	NA	NA	0.8075570593088758	NA	NA	NA
Ruminococcaceae Unclassified	Kruskal-Wallis rank sum test	0	0.001	0.0075	0	0.002	0	0.0015	0	5e-4	0.005211950740925845	0.0022114213255776975	0.05812532898216634	0.26289452154378096	0.07840271710182499	0.5612777595158118	0.552415972168744	0.05812532898216634	0.035129102368081234	0.9641273444972753	0.49281046039429655	0.05812532898216634	0.035129102368081234	0.7400755359657238	0.1251875865978043	0.20570415889398103	0.03141283953534363	0.2745761205624622	NA	0.49680183922349574	0.1251875865978043	0.049910790289125616	0.552415972168744	0.6885609184022299	0.2586412744683825	NA	0.49680183922349574	0.1251875865978043	NA	0.2586412744683825	0.035129102368081234	0.5028661565503054	0.5028661565503054	0.15264556309660912	0.8849237248200956	0.15264556309660912
Turicibacter	Kruskal-Wallis rank sum test	0.07	0	0.0315	0	0	0	0	0.041999999999999996	0.019	0.0016277878592470606	0.08734196635552742	0.0020824910432273224	0.5894488976259465	0.018322071631773088	0.7739422703413154	0.01584220725782369	0.1733867631269339	0.013892150550495162	0.4631982780738009	0.11132600094923897	0.002476911680048358	0.6835654907338976	0.004457544439953394	0.46447020337174366	0.027308827148196508	0.01584220725782369	0.776737294805725	0.01584220725782369	0.4631982780738009	0.3086109400435067	0.1311229774805217	0.7739422703413154	0.5931422673002918	NA	0.28908395251815916	0.018135242851798402	0.018135242851798402	0.013892150550495162	0.11132600094923897	0.11132600094923897	0.018135242851798402	0.018608512054818366	0.013892150550495162	0.11132600094923897	0.3999517086210866
